# Combined data from 'ATLAS-ZTF' for 'SN 2018lph'
ra, dec, filter, mjd, mag, dmag, flux, dflux, zp, source
250.90224, 33.5336, o, 58205.622599, -20.874, 0.829, -16, 13, nan, ATLAS-ZTF
250.90224, 33.5336, o, 58205.634979, -22.124, 2.818, -5, 14, nan, ATLAS-ZTF
250.90224, 33.5336, o, 58205.647533, 20.02, 0.922, 36, 33, 20.00924374808178, ATLAS-ZTF
250.90224, 33.5336, o, 58207.543332, 20.127, 0.684, 32, 22, 20.137125054200233, ATLAS-ZTF
250.90224, 33.5336, o, 58207.553138, 21.208, 1.894, 12, 23, 21.202046884880936, ATLAS-ZTF
250.90224, 33.5336, o, 58207.554103, -20.311, 0.784, -27, 21, nan, ATLAS-ZTF
250.90224, 33.5336, o, 58207.55456, 21.728, 3.348, 7, 25, 21.787254899964356, ATLAS-ZTF
250.90224, 33.5336, o, 58213.619385, 20.377, 0.829, 26, 21, 20.362566630072955, ATLAS-ZTF
250.90224, 33.5336, o, 58213.625187, 20.927, 1.212, 16, 19, 20.889700043360186, ATLAS-ZTF
250.90224, 33.5336, o, 58213.638652, -20.555, 1.268, -22, 28, nan, ATLAS-ZTF
250.90224, 33.5336, o, 58221.609662, -21.803, 2.087, -7, 14, nan, ATLAS-ZTF
250.90224, 33.5336, o, 58221.610614, 21.345, 1.143, 10, 12, 21.4, ATLAS-ZTF
250.90224, 33.5336, o, 58221.642401, -20.355, 6.405, -26, 168, nan, ATLAS-ZTF
250.90224, 33.5336, c, 58227.59954, 20.348, 0.558, 26, 15, 20.362566630072955, ATLAS-ZTF
250.90224, 33.5336, c, 58227.609072, -20.682, 1.49, -19, 29, nan, ATLAS-ZTF
250.90224, 33.5336, c, 58227.617682, -19.397, 2.182, -63, 138, nan, ATLAS-ZTF
250.90224, 33.5336, c, 58227.63281, 19.555, 0.479, 55, 26, 19.54909327626439, ATLAS-ZTF
250.90224, 33.5336, o, 58231.555658, 20.859, 1.354, 16, 22, 20.889700043360186, ATLAS-ZTF
250.90224, 33.5336, o, 58231.565744, 19.623, 1.948, 51, 100, 19.631074559755156, ATLAS-ZTF
250.90224, 33.5336, o, 58231.567213, -19.537, 0.595, -56, 33, nan, ATLAS-ZTF
250.90224, 33.5336, o, 58231.567668, 21.51, 2.907, 9, 26, 21.514393726401686, ATLAS-ZTF
250.90224, 33.5336, o, 58231.585372, 15.894, 3.079, 1594, 4908, 15.893779207349764, ATLAS-ZTF
250.90224, 33.5336, o, 58231.587554, 20.282, 0.51, 28, 14, 20.28210492164445, ATLAS-ZTF
250.90224, 33.5336, o, 58231.589942, -22.137, 2.811, -5, 14, nan, ATLAS-ZTF
250.90224, 33.5336, o, 58231.600047, 20.465, 0.693, 24, 16, 20.449471895720983, ATLAS-ZTF
250.90224, 33.5336, o, 58243.566429, -20.321, 3.32, -27, 90, nan, ATLAS-ZTF
250.90224, 33.5336, o, 58243.575731, 19.371, 0.952, 65, 62, 19.36771660839286, ATLAS-ZTF
250.90224, 33.5336, o, 58243.577462, -18.702, 1.819, -120, 218, nan, ATLAS-ZTF
250.90224, 33.5336, o, 58243.594984, -21.549, 2.061, -9, 18, nan, ATLAS-ZTF
250.90224, 33.5336, o, 58247.553488, 21.827, 1.544, 7, 10, 21.787254899964356, ATLAS-ZTF
250.90224, 33.5336, o, 58247.554401, 24.049, 13.625, 1, 12, 23.9, ATLAS-ZTF
250.90224, 33.5336, o, 58247.5634, -21.881, 1.457, -6, 9, nan, ATLAS-ZTF
250.90224, 33.5336, o, 58247.564312, -23.037, 4.81, -2, 11, nan, ATLAS-ZTF
250.90224, 33.5336, o, 58247.564767, 21.366, 0.798, 10, 8, 21.4, ATLAS-ZTF
