# Combined data from 'ATLAS-ZTF' for 'SN 2019cp'
ra, dec, filter, mjd, mag, dmag, flux, dflux, zp, source
163.70851, -7.381, o, 58482.565451, 16.142, 0.422, 1268, 535, 16.142201866135714, ATLAS-ZTF
163.70851, -7.381, o, 58482.571651, -17.145, 5.955, -504, 2998, nan, ATLAS-ZTF
163.70851, -7.381, o, 58482.572108, 16.722, 1.093, 744, 812, 16.7210676611353, ATLAS-ZTF
163.70851, -7.381, o, 58482.573022, -12.539, 0.271, -35028, 9504, nan, ATLAS-ZTF
163.70851, -7.381, o, 58482.579108, 15.784, 1.118, 1764, 1973, 15.783753548010496, ATLAS-ZTF
163.70851, -7.381, o, 58482.581468, 15.881, 2.962, 1612, 4777, 15.88158740632732, ATLAS-ZTF
163.70851, -7.381, o, 58482.583036, -15.944, 1.822, -1522, 2774, nan, ATLAS-ZTF
163.70851, -7.381, o, 58482.595743, -18.38, 13.133, -161, 2119, nan, ATLAS-ZTF
163.70851, -7.381, c, 58486.579597, 19.78, 0.189, 44, 8, 19.79136830878453, ATLAS-ZTF
163.70851, -7.381, c, 58486.591362, 19.915, 0.244, 39, 10, 19.92233848243375, ATLAS-ZTF
163.70851, -7.381, c, 58486.600576, 19.65, 0.185, 50, 9, 19.65257498915995, ATLAS-ZTF
163.70851, -7.381, c, 58486.606714, 19.37, 0.146, 65, 10, 19.36771660839286, ATLAS-ZTF
163.70851, -7.381, o, 58488.556261, 19.117, 0.191, 82, 16, 19.115465369040706, ATLAS-ZTF
163.70851, -7.381, o, 58488.564253, 19.017, 0.176, 90, 16, 19.014393726401686, ATLAS-ZTF
163.70851, -7.381, o, 58488.572355, 19.078, 0.178, 85, 15, 19.076452685714266, ATLAS-ZTF
163.70851, -7.381, o, 58488.580484, 19.319, 0.194, 68, 13, 19.318727718234406, ATLAS-ZTF
163.70851, -7.381, o, 58492.552784, 18.849, 0.133, 105, 14, 18.847026752325153, ATLAS-ZTF
163.70851, -7.381, o, 58492.554164, 18.695, 0.104, 121, 12, 18.69303657420887, ATLAS-ZTF
163.70851, -7.381, o, 58492.554626, 18.97, 0.15, 94, 14, 18.967180366000754, ATLAS-ZTF
163.70851, -7.381, o, 58492.56267, 18.58, 0.111, 134, 15, 18.58223800408798, ATLAS-ZTF
163.70851, -7.381, o, 58492.563591, 19.033, 0.153, 88, 14, 19.038793319624578, ATLAS-ZTF
163.70851, -7.381, o, 58492.564051, 18.572, 0.1, 135, 14, 18.574165578762482, ATLAS-ZTF
163.70851, -7.381, o, 58492.565434, 18.938, 0.139, 97, 13, 18.933070664334387, ATLAS-ZTF
163.70851, -7.381, o, 58492.571612, 18.729, 0.124, 117, 14, 18.729535345634595, ATLAS-ZTF
163.70851, -7.381, o, 58492.574187, 18.79, 0.114, 111, 13, 18.786692553033355, ATLAS-ZTF
163.70851, -7.381, o, 58492.575669, 18.593, 0.102, 133, 14, 18.590370897582282, ATLAS-ZTF
163.70851, -7.381, o, 58492.57997, 18.775, 0.117, 112, 13, 18.776954943324544, ATLAS-ZTF
163.70851, -7.381, o, 58492.583964, 18.757, 0.129, 114, 15, 18.75773787165882, ATLAS-ZTF
163.70851, -7.381, c, 58494.534977, 19.22, 0.111, 74, 8, 19.226920700672558, ATLAS-ZTF
163.70851, -7.381, c, 58494.543876, 19.227, 0.113, 74, 8, 19.226920700672558, ATLAS-ZTF
163.70851, -7.381, c, 58494.552746, 19.106, 0.09, 83, 8, 19.102304769059813, ATLAS-ZTF
163.70851, -7.381, c, 58494.561695, 18.996, 0.09, 92, 8, 18.99053043163611, ATLAS-ZTF
163.70851, -7.381, o, 58496.531718, 19.002, 0.123, 91, 11, 19.002396519197266, ATLAS-ZTF
163.70851, -7.381, o, 58496.539887, 18.963, 0.136, 94, 13, 18.967180366000754, ATLAS-ZTF
163.70851, -7.381, o, 58496.548118, 19.333, 0.172, 67, 12, 19.334812993247933, ATLAS-ZTF
163.70851, -7.381, o, 58496.556433, 18.931, 0.119, 97, 12, 18.933070664334387, ATLAS-ZTF
163.70851, -7.381, o, 58498.524162, 19.051, 0.123, 87, 11, 19.051201868453454, ATLAS-ZTF
163.70851, -7.381, o, 58498.532271, 19.056, 0.116, 87, 10, 19.051201868453454, ATLAS-ZTF
163.70851, -7.381, o, 58498.540402, 18.998, 0.097, 91, 9, 19.002396519197266, ATLAS-ZTF
163.70851, -7.381, o, 58498.548919, 19.203, 0.125, 76, 9, 19.197966019298022, ATLAS-ZTF
163.70851, -7.381, o, 58500.515438, 18.99, 0.215, 92, 20, 18.99053043163611, ATLAS-ZTF
163.70851, -7.381, o, 58500.523991, 18.79, 0.16, 111, 18, 18.786692553033355, ATLAS-ZTF
163.70851, -7.381, o, 58500.532193, 18.93, 0.169, 97, 16, 18.933070664334387, ATLAS-ZTF
163.70851, -7.381, o, 58500.54036, 19.285, 0.283, 70, 20, 19.287254899964356, ATLAS-ZTF
163.70851, -7.381, o, 58503.539211, 19.325, 0.531, 68, 36, 19.318727718234406, ATLAS-ZTF
163.70851, -7.381, o, 58503.55644, 19.154, 0.503, 79, 40, 19.155932271773896, ATLAS-ZTF
163.70851, -7.381, o, 58503.559663, 19.069, 0.433, 86, 37, 19.06375387189108, ATLAS-ZTF
163.70851, -7.381, o, 58503.56952, 19.23, 0.392, 74, 29, 19.226920700672558, ATLAS-ZTF
163.70851, -7.381, o, 58506.497382, 19.544, 0.366, 55, 20, 19.54909327626439, ATLAS-ZTF
163.70851, -7.381, o, 58506.506665, 19.224, 0.338, 74, 25, 19.226920700672558, ATLAS-ZTF
163.70851, -7.381, o, 58506.515536, 19.642, 0.471, 50, 24, 19.65257498915995, ATLAS-ZTF
163.70851, -7.381, o, 58506.524165, 19.448, 0.31, 60, 19, 19.45462187404089, ATLAS-ZTF
163.70851, -7.381, o, 58508.525959, 19.065, 0.274, 86, 24, 19.06375387189108, ATLAS-ZTF
163.70851, -7.381, o, 58508.527339, 20.12, 0.708, 32, 23, 20.137125054200233, ATLAS-ZTF
163.70851, -7.381, o, 58508.536898, 19.897, 0.542, 40, 22, 19.894850021680092, ATLAS-ZTF
163.70851, -7.381, o, 58508.546042, -21.991, 3.862, -6, 22, nan, ATLAS-ZTF
163.70851, -7.381, o, 58510.506145, 19.206, 0.181, 75, 14, 19.21234684152075, ATLAS-ZTF
163.70851, -7.381, o, 58510.519275, 20.008, 0.363, 36, 13, 20.00924374808178, ATLAS-ZTF
163.70851, -7.381, o, 58510.52019, 19.476, 0.232, 59, 14, 19.47286997089464, ATLAS-ZTF
163.70851, -7.381, o, 58510.521104, 20.379, 0.516, 26, 13, 20.362566630072955, ATLAS-ZTF
163.70851, -7.381, o, 58510.528036, 19.228, 0.178, 74, 13, 19.226920700672558, ATLAS-ZTF
163.70851, -7.381, o, 58510.528494, 19.178, 0.187, 77, 14, 19.183773187068795, ATLAS-ZTF
163.70851, -7.381, o, 58510.52946, 19.632, 0.295, 51, 15, 19.631074559755156, ATLAS-ZTF
163.70851, -7.381, o, 58510.537026, 19.495, 0.219, 58, 13, 19.491430016092657, ATLAS-ZTF
163.70851, -7.381, o, 58512.503781, 19.484, 0.253, 58, 15, 19.491430016092657, ATLAS-ZTF
163.70851, -7.381, o, 58512.512945, 19.948, 0.355, 38, 14, 19.950541008457975, ATLAS-ZTF
163.70851, -7.381, o, 58512.521802, 19.221, 0.208, 74, 16, 19.226920700672558, ATLAS-ZTF
163.70851, -7.381, o, 58512.530412, 19.289, 0.212, 70, 15, 19.287254899964356, ATLAS-ZTF
163.70851, -7.381, o, 58516.510319, 19.775, 0.392, 45, 18, 19.76696871556164, ATLAS-ZTF
163.70851, -7.381, o, 58516.516069, 20.066, 0.541, 34, 18, 20.07130270739436, ATLAS-ZTF
163.70851, -7.381, o, 58516.519077, 20.297, 0.689, 28, 19, 20.28210492164445, ATLAS-ZTF
163.70851, -7.381, o, 58516.525072, 20.169, 0.46, 31, 14, 20.171595765414317, ATLAS-ZTF
163.70851, -7.381, o, 58516.527759, 20.066, 0.603, 34, 21, 20.07130270739436, ATLAS-ZTF
163.70851, -7.381, o, 58516.534025, 21.043, 1.094, 14, 15, 21.034679910804403, ATLAS-ZTF
163.70851, -7.381, o, 58516.537212, 19.776, 0.418, 45, 19, 19.76696871556164, ATLAS-ZTF
163.70851, -7.381, o, 58516.543736, 21.903, 2.13, 6, 13, 21.95462187404089, ATLAS-ZTF
163.70851, -7.381, c, 58518.52392, 20.623, 0.4, 20, 8, 20.647425010840045, ATLAS-ZTF
163.70851, -7.381, c, 58518.532801, 20.549, 0.362, 22, 8, 20.543943297944484, ATLAS-ZTF
163.70851, -7.381, c, 58518.541049, 23.141, 3.688, 2, 7, 23.147425010840045, ATLAS-ZTF
163.70851, -7.381, c, 58518.549804, 20.518, 0.352, 22, 8, 20.543943297944484, ATLAS-ZTF
163.70851, -7.381, o, 58520.510252, 19.866, 0.337, 41, 14, 19.86804035820066, ATLAS-ZTF
163.70851, -7.381, o, 58520.519009, 19.952, 0.386, 38, 15, 19.950541008457975, ATLAS-ZTF
163.70851, -7.381, o, 58520.527704, 18.844, 0.617, 105, 65, 18.847026752325153, ATLAS-ZTF
163.70851, -7.381, o, 58528.483852, 19.563, 0.538, 54, 29, 19.569015600442576, ATLAS-ZTF
163.70851, -7.381, o, 58528.492707, 20.081, 1.045, 34, 35, 20.07130270739436, ATLAS-ZTF
163.70851, -7.381, o, 58528.493656, 20.172, 0.54, 31, 17, 20.171595765414317, ATLAS-ZTF
163.70851, -7.381, o, 58528.501258, 19.881, 0.506, 40, 20, 19.894850021680092, ATLAS-ZTF
163.70851, -7.381, o, 58528.502735, 20.2, 0.467, 30, 14, 20.207196863200842, ATLAS-ZTF
163.70851, -7.381, o, 58528.510449, 20.235, 0.695, 29, 20, 20.24400500525261, ATLAS-ZTF
163.70851, -7.381, o, 58528.511388, 20.184, 0.491, 31, 15, 20.171595765414317, ATLAS-ZTF
163.70851, -7.381, o, 58528.520311, -21.86, 2.304, -6, 15, nan, ATLAS-ZTF
