mjd,filter,uJy,duJy
59012.25003470015,ZTF_r,235.45547854537725,17.70544445423768
59022.234525499865,ZTF_r,252.13387589288226,12.634401084203052
59025.19484949997,ZTF_r,198.4065475199783,16.05096878960295
59028.24351850012,ZTF_r,161.5320854347762,11.625386271575797
59028.24399309978,ZTF_r,158.87545231833403,14.176425393820418
59031.2332175998,ZTF_r,152.28572667199995,13.38793385399656
59034.344143500086,ZTF_r,139.41914016534832,15.827832451197803
59037.19365740009,ZTF_r,129.3377197560843,13.276969507212101
59040.19993059989,ZTF_r,116.50484864355575,11.483142918633243
59046.16666670004,ZTF_r,64.33308827918157,9.18447093097964
59046.19383100001,ZTF_r,72.81485684154201,8.08682087796065
59049.17391199991,ZTF_r,62.853171994436366,9.022937233785536
59050.16493060021,ZTF_r,60.76367049369353,12.007863204229668
