mjd,filter,uJy,duJy
59290.33908559987,ZTF_r,70.29013865323248,10.467967162794427
59296.35091440007,ZTF_r,100.39276138007135,12.664879759647182
59297.27258099988,ZTF_r,100.85448127082994,15.123738986096468
59298.306273099966,ZTF_r,114.24657783701252,15.660208729996018
59303.33451389987,ZTF_r,135.44806340379847,20.08480159165865
59307.23141200002,ZTF_r,119.00423037137406,11.005889884266718
59309.27215280011,ZTF_r,117.29232633091898,10.671706921607047
59309.27543980023,ZTF_r,122.44740904476349,10.008859415826862
59312.30545140011,ZTF_r,107.59497772977953,8.34493256184111
59313.2946295999,ZTF_r,99.79941601897265,11.893241836870818
59314.273333299905,ZTF_r,101.61401227127928,9.16243839043678
59321.2738541998,ZTF_r,82.73780594150237,6.22032303940888
59321.27431710018,ZTF_r,84.49744945059723,7.884616032918564
59323.31462959992,ZTF_r,87.14907863806361,10.323308894592968
59323.31510420004,ZTF_r,79.90184359249861,10.76139072346952
59325.2719676001,ZTF_r,89.89228085314284,11.05762540617123
59334.33153939992,ZTF_r,56.4676871616537,13.878343985361365
59334.33200229984,ZTF_r,71.0624211264062,10.699219986295061
59336.313530100044,ZTF_r,51.9278091540883,8.801060824629355
59338.23201389983,ZTF_r,49.935430690973085,7.496415336482871
59339.25178240007,ZTF_r,50.275453875561574,9.014167371324202
59340.25151620014,ZTF_r,51.96656370502972,7.376278655240822
59341.20969909988,ZTF_r,43.706939815740604,7.169001769251109
59342.25230319984,ZTF_r,47.30832808525666,7.894371930686603
59343.21057870006,ZTF_r,43.77986318149823,7.421908420445501
59345.19020830002,ZTF_r,42.80293996387229,8.609280831710015
59346.278182900045,ZTF_r,49.09775110918809,7.71040119533138
59348.18918980006,ZTF_r,40.91185768890062,7.361280856740302
59348.189652800094,ZTF_r,33.73252104654424,7.445432562522264
