mjd,filter,uJy,duJy
59897.290962,o,88.0,13.0
59897.314163,o,39.0,12.0
59897.376087,o,66.0,13.0
59897.378931,o,91.0,12.0
59897.385866,o,95.0,13.0
59897.396025,o,65.0,12.0
59899.367534,o,124.0,9.0
59899.370715,o,69.0,10.0
59899.371167,o,98.0,12.0
59899.374822,o,54.0,13.0
59899.376651,o,127.0,11.0
59899.380753,o,110.0,12.0
59899.391658,o,74.0,13.0
59899.394403,o,86.0,12.0
59902.367643,o,95.0,13.0
59902.377527,o,46.0,11.0
59902.392774,o,79.0,14.0
59902.40304,o,87.0,13.0
59906.372947,o,9.0,10.0
59906.380194,o,44.0,10.0
59906.383818,o,50.0,14.0
59906.400725,o,36.0,12.0
59907.374907,o,22.0,11.0
59907.378076,o,-15.0,10.0
59907.384428,o,3.0,12.0
59907.407124,o,55.0,10.0
59909.407066,o,2.0,11.0
59909.410731,o,55.0,14.0
59909.417108,o,40.0,14.0
59909.429993,o,51.0,13.0
59910.307228,o,-64.0,38.0
59915.353968,o,16.0,14.0
59915.357136,o,49.0,14.0
59915.359922,o,48.0,12.0
59915.365823,o,96.0,12.0
59915.367209,o,58.0,16.0
59915.371303,o,119.0,16.0
59915.37584,o,38.0,18.0
59915.389031,o,67.0,15.0
59917.352362,o,80.0,26.0
59917.353266,o,-4.0,25.0
59917.356158,o,62.0,24.0
59917.357513,o,96.0,21.0
59917.360704,o,51.0,23.0
59917.364858,o,-17.0,22.0
59917.373733,o,72.0,18.0
59917.375541,o,-9.0,30.0
59926.345639,o,-12.0,16.0
59926.348803,o,3.0,16.0
59926.359748,o,-5.0,17.0
59926.365172,o,-4.0,16.0
59870.344270799775,ZTF_g,57.080004673363284,5.818317978144559
59874.21703700023,ZTF_g,156.1590650004062,8.72604108148147
59877.407615699805,ZTF_g,195.94040437695855,11.02438507463654
59880.2396644,ZTF_g,202.0737960667623,8.766261247247208
59882.221215299796,ZTF_g,196.0537709268389,14.148906745915001
59885.26483799983,ZTF_g,164.2320825489519,9.842259523153357
59894.38714119978,ZTF_g,89.78421709097265,24.46288687218558
59897.15313659981,ZTF_g,47.441498683979084,6.255944603746814
59903.21791670006,ZTF_g,30.940661890455974,6.202690959942853
59872.39160879981,ZTF_r,116.51075056425135,10.382746999309227
59874.27499999991,ZTF_r,154.2868100863946,13.259194569699845
59877.36789349979,ZTF_r,186.93559300115373,13.928664628694802
59880.227557899896,ZTF_r,196.11914896022378,12.351827210984746
59882.240833300166,ZTF_r,194.6109174322052,10.506309847149527
59888.32003469998,ZTF_r,123.43547709764785,32.827034349635746
59897.220324099995,ZTF_r,107.90560398995308,11.708068307510972
59899.17902779998,ZTF_r,114.95905894353085,17.111354076605824
59903.20193290012,ZTF_r,84.24885359896838,11.31671673307121
59907.18347219983,ZTF_r,56.29554138140429,7.2260450615623935
59913.28555560019,ZTF_r,58.754130020458625,11.190857979357444
