mjd,filter,uJy,duJy
59914.801348,o,511.0,19.0
59914.808915,o,526.0,20.0
59915.883193,o,535.0,22.0
59915.90219,o,541.0,19.0
59915.905345,o,537.0,20.0
59915.911256,o,604.0,18.0
59917.114272,o,532.0,32.0
59917.146784,o,512.0,31.0
59917.149937,o,519.0,31.0
59917.155342,o,589.0,32.0
59918.148017,o,527.0,33.0
59918.151171,o,576.0,33.0
59918.157475,o,577.0,31.0
59918.171678,o,557.0,30.0
59918.896869,o,372.0,159.0
59919.845083,o,554.0,25.0
59919.850761,o,548.0,31.0
59919.855568,o,532.0,27.0
59919.866531,o,485.0,26.0
59921.146702,o,451.0,29.0
59921.150305,o,493.0,40.0
59921.157151,o,578.0,34.0
59921.171693,o,556.0,26.0
59922.090477,o,603.0,28.0
59922.106864,o,549.0,23.0
59922.110078,o,531.0,24.0
59922.138476,o,606.0,48.0
59922.840265,o,570.0,20.0
59922.845644,o,550.0,16.0
59922.848832,o,575.0,20.0
59922.860794,o,946.0,119.0
59925.093834,o,515.0,13.0
59925.097594,o,534.0,15.0
59925.107563,o,524.0,15.0
59925.112662,o,516.0,14.0
59926.139446,o,511.0,15.0
59926.144996,o,537.0,14.0
59926.148155,o,524.0,16.0
59926.158597,o,538.0,17.0
59926.912127,o,522.0,14.0
59926.915299,o,503.0,14.0
59926.922152,o,502.0,15.0
59926.947585,o,505.0,16.0
59927.837494,o,503.0,12.0
59927.841862,o,488.0,14.0
59927.847347,o,521.0,13.0
59927.8574,o,476.0,15.0
59931.875102,o,404.0,11.0
59931.878254,o,430.0,13.0
59931.883667,o,417.0,12.0
59931.893712,o,419.0,13.0
59934.888214,o,328.0,13.0
59934.891418,o,338.0,14.0
59934.896856,o,306.0,13.0
59934.907525,o,315.0,13.0
59935.830229,o,313.0,12.0
59935.840182,o,330.0,12.0
59935.84338,o,326.0,13.0
59935.8495,o,337.0,12.0
59878.35664349981,ZTF_g,39.10929614777545,10.41998216981613
59880.35668980004,ZTF_g,168.23625800864184,21.519444450470285
59882.378124999814,ZTF_g,379.32651409528546,45.21021744424653
59887.27232640004,ZTF_g,1224.9433377810176,36.65846235186387
59897.25128469989,ZTF_g,1721.3706745235952,46.95746524352162
59898.29503470007,ZTF_g,1700.904773606287,47.23009254256251
59900.29020830011,ZTF_g,1447.038212988129,50.269976656407145
59901.29421300022,ZTF_g,1540.3733631705913,41.771979675542305
59902.2931597,ZTF_g,1440.0898850958329,42.54010560044132
59903.23697920004,ZTF_g,1411.5205327043327,36.733178271960625
59914.22380790021,ZTF_g,648.3913314586771,30.257661838055224
59923.2105556,ZTF_g,328.76562319830157,26.262267326993637
59932.19081019983,ZTF_g,185.04612709417324,11.263681676424635
59934.19180560019,ZTF_g,162.15860514905927,12.174645433068497
59969.170925899874,ZTF_g,81.4779324514112,20.162569231785643
59880.33586810017,ZTF_r,167.1541640646787,13.58022691651085
59882.31403939985,ZTF_r,397.267648761332,19.431416260423628
59887.30879630009,ZTF_r,1075.692151690206,30.141145952468285
59888.33040509978,ZTF_r,1219.3758795489714,85.81772176236082
59894.31443289993,ZTF_r,1479.4503672976957,54.12933005236487
59896.32856479986,ZTF_r,1521.3137831261129,42.70803363097101
59897.29039350012,ZTF_r,1490.4973217747943,38.291138913785524
59898.31452549994,ZTF_r,1474.6304584505388,39.3803918943397
59899.31508099986,ZTF_r,1429.9406093319599,51.99517814778425
59901.2728587999,ZTF_r,1352.1958539954596,37.853551707389876
59908.225879599806,ZTF_r,844.6508044085657,25.054547896095933
59910.230810199864,ZTF_r,740.8345019610804,24.906352213007338
59914.247824099846,ZTF_r,671.5865656966383,31.520585012047505
59923.207013899926,ZTF_r,593.6701322912209,30.843058712232605
59928.23375000013,ZTF_r,511.1217946254873,25.08314688708301
59932.231527800206,ZTF_r,419.2501242628139,15.450329970325171
59934.23141200002,ZTF_r,368.4858369011519,16.028780992211935
59936.209687499795,ZTF_r,325.9120364894242,14.809925591205298
59942.20236109989,ZTF_r,266.75219392420206,15.174066541828958
59965.17033560015,ZTF_r,131.47476402471642,18.90525104131159
59969.12706020009,ZTF_r,120.05349285276472,13.526397917032153
59970.13446759991,ZTF_r,117.732075427341,18.282782431480946
59972.16891200002,ZTF_r,104.26198763614654,13.733265417390212
