NED_name,raMean,decMean,maj,e_maj,min,e_min,PAHyp,Dist,e_Dist,a_b,e_a_b,MajorRad,MinorRad,NED_type,NED_vel,NED_redshift,NED_mag,NED_redshift_flag,dist/DLR,dist,TransientRA,TransientDEC,TransientName,TransientClass,GLADE_redshift,GLADE_source,objID,objName,objAltName1,objAltName2,objAltName3,uniquePspsOBid,ippObjID,surveyID,htmID,zoneID,tessID,projectionID,skyCellID,randomID,batchID,dvoRegionID,processingVersion,objInfoFlag,qualityFlag,raStack,decStack,raStackErr,decStackErr,raMeanErr,decMeanErr,epochMean,posMeanChisq,cx,cy,cz,lambda,beta,l,b,nStackObjectRows,nStackDetections,nDetections,ng,nr,ni,nz,ny,uniquePspsSTid,primaryDetection,bestDetection,gippDetectID,gstackDetectID,gstackImageID,gra,gdec,graErr,gdecErr,gEpoch,gPSFMag,gPSFMagErr,gApMag,gApMagErr,gKronMag,gKronMagErr,ginfoFlag,ginfoFlag2,ginfoFlag3,gnFrames,gxPos,gyPos,gxPosErr,gyPosErr,gpsfMajorFWHM,gpsfMinorFWHM,gpsfTheta,gpsfCore,gpsfLikelihood,gpsfQf,gpsfQfPerfect,gpsfChiSq,gmomentXX,gmomentXY,gmomentYY,gmomentR1,gmomentRH,gPSFFlux,gPSFFluxErr,gApFlux,gApFluxErr,gApFillFac,gApRadius,gKronFlux,gKronFluxErr,gKronRad,gexpTime,gExtNSigma,gsky,gskyErr,gzp,gPlateScale,rippDetectID,rstackDetectID,rstackImageID,rra,rdec,rraErr,rdecErr,rEpoch,rPSFMag,rPSFMagErr,rApMag,rApMagErr,rKronMag,rKronMagErr,rinfoFlag,rinfoFlag2,rinfoFlag3,rnFrames,rxPos,ryPos,rxPosErr,ryPosErr,rpsfMajorFWHM,rpsfMinorFWHM,rpsfTheta,rpsfCore,rpsfLikelihood,rpsfQf,rpsfQfPerfect,rpsfChiSq,rmomentXX,rmomentXY,rmomentYY,rmomentR1,rmomentRH,rPSFFlux,rPSFFluxErr,rApFlux,rApFluxErr,rApFillFac,rApRadius,rKronFlux,rKronFluxErr,rKronRad,rexpTime,rExtNSigma,rsky,rskyErr,rzp,rPlateScale,iippDetectID,istackDetectID,istackImageID,ira,idec,iraErr,idecErr,iEpoch,iPSFMag,iPSFMagErr,iApMag,iApMagErr,iKronMag,iKronMagErr,iinfoFlag,iinfoFlag2,iinfoFlag3,inFrames,ixPos,iyPos,ixPosErr,iyPosErr,ipsfMajorFWHM,ipsfMinorFWHM,ipsfTheta,ipsfCore,ipsfLikelihood,ipsfQf,ipsfQfPerfect,ipsfChiSq,imomentXX,imomentXY,imomentYY,imomentR1,imomentRH,iPSFFlux,iPSFFluxErr,iApFlux,iApFluxErr,iApFillFac,iApRadius,iKronFlux,iKronFluxErr,iKronRad,iexpTime,iExtNSigma,isky,iskyErr,izp,iPlateScale,zippDetectID,zstackDetectID,zstackImageID,zra,zdec,zraErr,zdecErr,zEpoch,zPSFMag,zPSFMagErr,zApMag,zApMagErr,zKronMag,zKronMagErr,zinfoFlag,zinfoFlag2,zinfoFlag3,znFrames,zxPos,zyPos,zxPosErr,zyPosErr,zpsfMajorFWHM,zpsfMinorFWHM,zpsfTheta,zpsfCore,zpsfLikelihood,zpsfQf,zpsfQfPerfect,zpsfChiSq,zmomentXX,zmomentXY,zmomentYY,zmomentR1,zmomentRH,zPSFFlux,zPSFFluxErr,zApFlux,zApFluxErr,zApFillFac,zApRadius,zKronFlux,zKronFluxErr,zKronRad,zexpTime,zExtNSigma,zsky,zskyErr,zzp,zPlateScale,yippDetectID,ystackDetectID,ystackImageID,yra,ydec,yraErr,ydecErr,yEpoch,yPSFMag,yPSFMagErr,yApMag,yApMagErr,yKronMag,yKronMagErr,yinfoFlag,yinfoFlag2,yinfoFlag3,ynFrames,yxPos,yyPos,yxPosErr,yyPosErr,ypsfMajorFWHM,ypsfMinorFWHM,ypsfTheta,ypsfCore,ypsfLikelihood,ypsfQf,ypsfQfPerfect,ypsfChiSq,ymomentXX,ymomentXY,ymomentYY,ymomentR1,ymomentRH,yPSFFlux,yPSFFluxErr,yApFlux,yApFluxErr,yApFillFac,yApRadius,yKronFlux,yKronFluxErr,yKronRad,yexpTime,yExtNSigma,ysky,yskyErr,yzp,yPlateScale,distance,g-r,r-i,i-z,z-y,g-rErr,r-iErr,i-zErr,z-yErr,gApMag_gKronMag,rApMag_rKronMag,iApMag_iKronMag,zApMag_zKronMag,yApMag_yKronMag,7DCD
NGC 4462,187.338,-23.1666,2.286,0.736,0.823,0.282,123.7,23.12,3.47,2.7777777777777777,0.042,68.58,24.689999999999998,G,1792.0,0.005977,,SUN,0.5879565853283779,32.63177071910444,187.32867,-23.16367,SN1998bn,,0.004293714535456125,True,80201873376021032,PSO J122921.024-230957.863,,,,1036735000057458,500874791151051,0,11242100794971,8020,1,840,27,0.970413557226223,1036735,116619,3,406323200,48,187.33760283,-23.16607331,,,,,56284.65424769,,-0.911839586165576,-0.11741765084012999,-0.39339759070509883,196.1593884391951,-18.31428598317212,296.3557289027053,39.423475467706474,,1,0,0,0,0,0,0,1025805000002948,1,0,7097,2522934602406828985,3422838,187.33760283,-23.16607331,,,55838.262266,,,,0.00016700000560376793,13.7568998336792,0.0004949999856762588,262144007,655360,196608,7,4982.81005859375,721.9910278320312,,,1.324079990386963,1.1925300359725952,87.97329711914062,0.06293729692697525,,,,1411.9200439453125,0.44887998700141907,-0.024912899360060692,0.4088819921016693,4.4225897789001465,1.2918200492858887,0.0,,-0.01923920027911663,3.2156399356608745e-06,0.904088020324707,3.0,0.01140930037945509,5.641929874400375e-06,11.056500434875488,681.0,,-3.1875799777481006e-08,6.564019940924481e-07,24.991300582885742,0.25,7097,2522938665982761913,3437976,187.33761948,-23.16605624,1.0022399692388717e-05,9.572830094839446e-06,56284.6542532,,2.099999983329326e-05,11.929400444030762,7.899999764049426e-05,,,186646529,524292,196608,19,4982.6201171875,722.2109985351562,4.008970063296147e-05,3.829149864031933e-05,1.1559699773788452,1.1301699876785278,56.59469985961914,0.46503299474716187,,0.9791010022163391,0.9791010022163391,25317000.0,,,,,,-0.041268300265073776,8.621220217719383e-07,0.06141119822859764,4.824869847652735e-06,0.565883994102478,2.9999899864196777,,,,1029.0,,-3.837579853893658e-08,6.399620247066196e-07,24.995800018310547,0.2499990016222,7097,2522937855307684793,3434956,187.33761773,-23.16605921,1.1253599950578064e-05,1.0428600035083946e-05,56046.8842618,,2.2000000171829015e-05,11.631799697875977,7.999999797903001e-05,,,186646529,524292,196608,14,4982.6201171875,722.2109985351562,4.5014199713477865e-05,4.1714498365763575e-05,1.2294399738311768,1.199970006942749,-51.42259979248047,0.11469999700784683,,0.9827439785003662,0.9827439785003662,22808700.0,,,,,,-0.05835999920964241,1.2552300177048892e-06,0.08077269792556763,6.4824498622328974e-06,0.6629260182380676,2.75,,,,758.0,,-5.295040139685625e-08,9.957350357581163e-07,24.994400024414062,0.25,7097,2522974392594471865,3571068,187.33761708,-23.16605975,2.001249958993867e-05,1.9609600713010877e-05,55827.5315884,,4.199999966658652e-05,11.807600021362305,9.40000027185306e-05,,,186646529,524292,196608,14,4982.6201171875,722.2109985351562,8.00498019088991e-05,7.84384974394925e-05,1.124079942703247,1.1098699569702148,-16.98539924621582,0.3103809952735901,,0.9828529953956604,0.9828529953956604,5659980.0,,,,,,-0.0480354018509388,2.009699983318569e-06,0.06869760155677795,6.489639872597763e-06,0.6629260182380676,2.75,,,,630.0,,-8.146390229057943e-08,1.7434299479646143e-06,25.01689910888672,0.25,7097,2523041297984396217,3820310,187.33761724,-23.1660601,4.805549906450324e-05,4.398250166559592e-05,55777.3824724,,0.00011500000255182385,12.323200225830078,0.00010900000052060932,,,186646529,524292,196608,16,4982.6201171875,722.2109985351562,0.00019222199625801295,0.00017593000666238368,0.9621549844741821,0.9001100063323975,-9.149370193481445,0.7982950210571289,,0.9848799705505371,0.9848799705505371,671844.0,,,,,,-0.027393899857997894,3.150049906253116e-06,0.04272909834980965,4.672619979828596e-06,0.7575780153274536,2.5000100135803223,,,,810.0,,-1.776950000476063e-07,3.6412700410437537e-06,25.010900497436523,0.2500010132789612,0.0006408846348459328,,0.29760074615478516,-0.17580032348632812,-0.5156002044677734,0.0001847430688790695,0.0001124321986970054,0.00012343419375411565,0.000143934014828242,,,,,,
NGC 0309,14.1777,-9.9139,2.134,0.687,1.686,0.578,0.0,79.26,11.89,1.2658227848101264,0.093,64.02,50.58,G,5661.0,0.018883,,S1L,1.2749369179235188,69.10394562447358,14.162,-9.90253,SN2012dt,,0.004293714535456125,True,96100141776124749,PSO J005642.627-095446.898,,,,913997000286685,403482112978875,0,9024442028045,9610,1,1058,59,0.495074311732384,913997,93943,3,135790592,16,14.17761317,-9.91302725,0.0010000000474974513,0.0010000000474974513,0.0010000000474974513,0.0010000000474974513,56518.47258102,,0.9550660774445303,0.24127184927735154,-0.17215307856964182,9.094573803654972,-14.70958715972881,127.31197116056929,-72.73992072072834,,1,0,0,0,0,0,0,943231000010682,0,0,325,2523069739526259013,3926263,14.1776123,-9.91302706,0.0020117899402976036,0.0019510099664330482,56014.747077,,0.004093000199645758,,0.0026310000102967024,,,186646529,524292,131072,10,91.37870025634766,1405.4100341796875,0.008047159761190414,0.007804059889167547,1.1392799615859985,1.1136499643325806,-37.643699645996094,0.36683499813079834,,0.9821540117263794,0.9821540117263794,6495.02978515625,,,,,,-0.00013111300359014422,5.366269988371641e-07,-6.587120151380077e-05,1.7333300661448447e-07,0.6629260182380676,2.75,,,,817.0,,1.2901700152667672e-08,6.161290002637543e-07,24.971799850463867,0.25,325,2523069766906675525,3926365,14.17761194,-9.9130504,,,55901.5480714,,,,0.0002690000110305846,14.640999794006348,0.0005549999768845737,262144007,655360,131072,15,91.37470245361328,1405.1099853515625,,,1.1734000444412231,1.1447299718856812,-11.95829963684082,0.5323590040206909,,,,1375.9300537109375,0.41906800866127014,0.005527430213987827,0.4701949954032898,4.0902299880981445,1.2142900228500366,0.0,,-0.003656730055809021,9.84578946372494e-07,0.8865320086479187,2.75,0.005053809843957424,2.8057099825673504e-06,10.225600242614746,1385.0,,-8.800769890626725e-09,5.869659958079865e-07,24.987899780273438,0.25,325,2523077958214615365,3956880,14.17761317,-9.91302725,0.12577100098133087,0.12275300174951553,56518.4725857,23.29509925842285,0.28041699528694153,16.369300842285156,0.0005119999987073243,,,186646529,524292,131072,22,91.37870025634766,1405.4100341796875,0.5030840039253235,0.49101200699806213,1.0150400400161743,0.9945449829101562,-33.34360122680664,0.5519049763679504,,0.9854419827461243,0.9854419827461243,4252.75,,,,,,1.745650024531642e-06,4.895100005342101e-07,0.0010287200566381216,5.270999849926739e-07,0.760761022567749,2.5,,,,1440.0,,-1.9256299665926235e-08,7.93694994172256e-07,25.01759910583496,0.25,325,2523078540182683973,3959048,14.17761136,-9.91302935,0.003254219889640808,0.003131069941446185,55929.3021631,,0.0071680000983178616,18.639699935913086,0.0020759999752044678,,,186646529,655364,131072,10,91.37870025634766,1405.4100341796875,0.013016900047659874,0.012524300254881382,1.0776400566101074,1.0543999671936035,37.90599822998047,0.37300100922584534,,0.9855690002441406,0.9855690002441406,8805.25,,,,,,-0.00016772799426689744,1.2022700275338138e-06,0.00012709399743471295,2.6387598950350366e-07,0.760761022567749,2.4999899864196777,,,,720.0,,-3.523220115653203e-08,1.2617799711733824e-06,25.013900756835938,0.2499990016222,325,2523069416598405445,3925060,14.17761212,-9.91302896,0.02563760057091713,0.0235252995043993,55970.71795,,0.06614299863576889,16.21380043029785,0.000645000021904707,,,186646529,655364,131072,13,91.37870025634766,1405.4100341796875,0.10254999995231628,0.09410139918327332,0.9651520252227783,0.9016100168228149,-2.3914999961853027,0.6041569709777832,,0.9970930218696594,0.9970930218696594,1120.3199462890625,,,,,,-3.497050056466833e-05,2.313040113222087e-06,0.0011870400048792362,7.654139722035325e-07,0.8370370268821716,2.25,,,,840.0,,5.986329654206202e-08,3.5283399029140128e-06,25.0314998626709,0.25,0.0008769313243759149,,,-2.2703990936279297,2.4258995056152344,0.0026447158751207477,0.0005783640761758589,0.002138204830161332,0.0021738907344450464,,,,,,
WISEA J122503.74+125313.3,186.2652,12.8871,4.356,1.403,3.877,1.33,132.9,18.45,1.84,1.1235955056179776,0.105,130.68,116.30999999999999,IrS,,,,,0.3672771702609811,46.55010133874369,186.26125,12.899444,SN1957B,,0.004293714535456125,True,123461862660354517,PSO J122503.851+125311.954,,,,1074871000090994,102546639250292,0,14889133921558,12346,1,1636,29,0.886547420999545,1074871,23876,3,847405056,101,186.26638433,12.88679949,0.0010000000474974513,0.0010000000474974513,0.03092999942600727,0.013009999878704548,55672.97298611,31.706600189208984,-0.9689894451537996,-0.10639628924429607,0.2230230589324243,180.5264267165442,14.296609436583532,278.20644016291214,74.47822501776679,,2,10,0,1,3,3,3,1134951000008848,1,0,8010,2522948789757550410,3475690,186.26638472,12.88679949,0.00038223201408982277,0.00036102699232287705,55797.5403408,15.251399993896484,0.0007220000261440873,15.63659954071045,0.0004299999854993075,,,186646529,655388,196608,9,4094.179931640625,1629.719970703125,0.001528920023702085,0.001444100053049624,1.2278599739074707,1.1822099685668945,27.649700164794922,0.3349280059337616,,0.9789230227470398,0.0,15730.400390625,,,,,,0.0028804000467061996,2.0807499367947457e-06,0.002020070096477866,8.688729735695233e-07,0.565883994102478,3.0000100135803223,,,,1061.0,,8.319179869431537e-07,8.111030069812841e-07,24.964000701904297,0.2500010132789612,8010,2522948964509032266,3476341,186.26638433,12.88679939,0.00019303199951536953,0.00018764899868983775,56032.0970312,14.345399856567383,0.0003499999875202775,14.950300216674805,0.000295000005280599,,,186646529,655388,196608,14,4094.179931640625,1629.719970703125,0.0007721279980614781,0.0007505930261686444,1.2963999509811401,1.2762600183486938,-30.16320037841797,0.4809580147266388,,0.9727309942245483,0.0,56983.30078125,,,,,,0.006635279860347509,2.3221100491355173e-06,0.0038010100834071636,1.1230999916733708e-06,0.48217400908470154,3.25,,,,1188.0,,1.5275300029315986e-06,1.312020003751968e-06,24.967199325561523,0.25,8010,2522949475610140490,3478245,186.26638433,12.88680027,0.00017591800133232027,0.00016777700511738658,56000.0586561,14.34160041809082,0.00039000000106170774,14.708000183105469,0.00028300000121816993,,,723517441,655388,196608,12,4094.179931640625,1629.719970703125,0.0007036739843897521,0.0006711069727316499,1.0418100357055664,1.0125499963760376,60.85340118408203,0.5057370066642761,,0.9853749871253967,0.0,65598.5,,,,,,0.006658140104264021,2.595020077933441e-06,0.004751299973577261,1.3430800436253776e-06,0.760761022567749,2.5,,,,1066.0,,1.9077099295827793e-06,1.4823200444880058e-06,24.983200073242188,0.25,8010,2523027973653667658,3770673,186.26637654,12.88680834,0.00023665699700359255,0.0002321780048077926,55729.5339481,14.24839973449707,0.0005639999872073531,14.96969985961914,0.000375000003259629,10.336299896240234,8.800000068731606e-05,799031303,1703960,196608,9,4094.300048828125,1629.8499755859375,0.0009466269984841347,0.0009287099819630384,0.9811149835586548,0.9707149863243103,-62.30690002441406,0.32103100419044495,0.0,0.9981399774551392,0.000905473018065095,33543.0,0.28791099786758423,0.0016014500288292766,0.27827000617980957,4.427690029144287,1.1167800426483154,0.007255120202898979,4.094129963050364e-06,0.0037333699874579906,1.4002199577589636e-06,0.8684750199317932,2.25,0.26636001467704773,2.355009928578511e-05,11.069199562072754,750.0,55.582401275634766,2.619379984025727e-06,2.174969949919614e-06,25.03070068359375,0.25,8010,2522948063639641930,3472985,186.26619493,12.88675095,0.00024020600540097803,0.0002345569955650717,55733.1905018,13.74209976196289,0.0006070000235922635,13.815799713134766,0.00021499999274965376,10.079000473022461,9.999999747378752e-05,262160391,655376,196608,12,4096.85009765625,1629.030029296875,0.0009608209948055446,0.0009382250136695802,0.9243360161781311,0.9021989703178406,86.78089904785156,0.8980090022087097,0.0,0.9958699941635132,0.3292970061302185,26473.80078125,0.3038859963417053,0.0013821900356560946,0.3008599877357483,4.640749931335449,1.1386300325393677,0.011565499939024448,7.018129963398678e-06,0.01080629974603653,2.3180800781119615e-06,0.8785349726676941,2.5000100135803223,0.3375979959964752,3.3821001125033945e-05,11.601900100708008,820.0,45.93349838256836,2.901439984270837e-06,3.662589961095364e-06,25.027000427246094,0.2500010132789612,0.0009040584066124143,0.6862993240356445,0.24230003356933594,-0.2616996765136719,1.153900146484375,0.0005214642755213037,0.0004087957971959076,0.00046980208932507524,0.0004322614941526401,,,,4.633399963378906,3.7367992401123047,3108.6841529701355
