2017fof 0.028308 253.59867999999997 41.33584
filter ATri
57953.381685 19.455 0.227
57953.391096 19.869 0.343
57953.402726 20.162 0.47
57953.409219 19.983 0.403
57955.374335 18.694 0.095
57955.383642 18.821 0.116
57955.391155 18.952 0.135
57955.404929 18.889 0.14
57957.372142 18.551 0.123
57957.382329 18.437 0.127
57957.390302 18.367 0.11
57957.403397 18.592 0.111
57959.374784 18.043 0.052
57959.385055 18.159 0.07
57959.392631 18.16 0.055
57959.406407 18.264 0.066
57965.362699 17.816 0.066
57965.370641 17.981 0.091
57965.371613 17.977 0.081
57965.383738 17.866 0.145
57967.353833 17.975 0.051
57967.3651 18.015 0.055
57967.372126 18.066 0.077
57967.385824 18.104 0.069
57969.346185 17.978 0.076
57969.353582 18.226 0.102
57969.365742 17.961 0.095
57969.372221 18.029 0.099
57972.323034 18.249 0.108
57972.333797 18.55 0.132
57972.342138 18.657 0.154
57972.354365 18.494 0.168
57974.286249 18.957 0.198
57974.297314 19.014 0.242
57974.306268 18.81 0.173
57974.313588 19.158 0.251
57976.324323 19.233 0.215
57976.328409 19.595 0.251
57978.320433 24.219 17.6
57978.329723 20.653 0.564
57978.343213 19.98 0.397
57978.343723 20.088 0.336
