index,objName,objAltName1,objAltName2,objAltName3,objID,uniquePspsOBid,ippObjID,surveyID,htmID,zoneID,tessID,projectionID,skyCellID,randomID,batchID,dvoRegionID,processingVersion,objInfoFlag,qualityFlag,raStack,decStack,raStackErr,decStackErr,raMean,decMean,raMeanErr,decMeanErr,epochMean,posMeanChisq,cx,cy,cz,lambda,beta,l,b,nStackObjectRows,nStackDetections,nDetections,ng,nr,ni,nz,ny,uniquePspsSTid,primaryDetection,bestDetection,gippDetectID,gstackDetectID,gstackImageID,gra,gdec,graErr,gdecErr,gEpoch,gPSFMag,gPSFMagErr,gApMag,gApMagErr,gKronMag,gKronMagErr,ginfoFlag,ginfoFlag2,ginfoFlag3,gnFrames,gxPos,gyPos,gxPosErr,gyPosErr,gpsfMajorFWHM,gpsfMinorFWHM,gpsfTheta,gpsfCore,gpsfLikelihood,gpsfQf,gpsfQfPerfect,gpsfChiSq,gmomentXX,gmomentXY,gmomentYY,gmomentR1,gmomentRH,gPSFFlux,gPSFFluxErr,gApFlux,gApFluxErr,gApFillFac,gApRadius,gKronFlux,gKronFluxErr,gKronRad,gexpTime,gExtNSigma,gsky,gskyErr,gzp,gPlateScale,rippDetectID,rstackDetectID,rstackImageID,rra,rdec,rraErr,rdecErr,rEpoch,rPSFMag,rPSFMagErr,rApMag,rApMagErr,rKronMag,rKronMagErr,rinfoFlag,rinfoFlag2,rinfoFlag3,rnFrames,rxPos,ryPos,rxPosErr,ryPosErr,rpsfMajorFWHM,rpsfMinorFWHM,rpsfTheta,rpsfCore,rpsfLikelihood,rpsfQf,rpsfQfPerfect,rpsfChiSq,rmomentXX,rmomentXY,rmomentYY,rmomentR1,rmomentRH,rPSFFlux,rPSFFluxErr,rApFlux,rApFluxErr,rApFillFac,rApRadius,rKronFlux,rKronFluxErr,rKronRad,rexpTime,rExtNSigma,rsky,rskyErr,rzp,rPlateScale,iippDetectID,istackDetectID,istackImageID,ira,idec,iraErr,idecErr,iEpoch,iPSFMag,iPSFMagErr,iApMag,iApMagErr,iKronMag,iKronMagErr,iinfoFlag,iinfoFlag2,iinfoFlag3,inFrames,ixPos,iyPos,ixPosErr,iyPosErr,ipsfMajorFWHM,ipsfMinorFWHM,ipsfTheta,ipsfCore,ipsfLikelihood,ipsfQf,ipsfQfPerfect,ipsfChiSq,imomentXX,imomentXY,imomentYY,imomentR1,imomentRH,iPSFFlux,iPSFFluxErr,iApFlux,iApFluxErr,iApFillFac,iApRadius,iKronFlux,iKronFluxErr,iKronRad,iexpTime,iExtNSigma,isky,iskyErr,izp,iPlateScale,zippDetectID,zstackDetectID,zstackImageID,zra,zdec,zraErr,zdecErr,zEpoch,zPSFMag,zPSFMagErr,zApMag,zApMagErr,zKronMag,zKronMagErr,zinfoFlag,zinfoFlag2,zinfoFlag3,znFrames,zxPos,zyPos,zxPosErr,zyPosErr,zpsfMajorFWHM,zpsfMinorFWHM,zpsfTheta,zpsfCore,zpsfLikelihood,zpsfQf,zpsfQfPerfect,zpsfChiSq,zmomentXX,zmomentXY,zmomentYY,zmomentR1,zmomentRH,zPSFFlux,zPSFFluxErr,zApFlux,zApFluxErr,zApFillFac,zApRadius,zKronFlux,zKronFluxErr,zKronRad,zexpTime,zExtNSigma,zsky,zskyErr,zzp,zPlateScale,yippDetectID,ystackDetectID,ystackImageID,yra,ydec,yraErr,ydecErr,yEpoch,yPSFMag,yPSFMagErr,yApMag,yApMagErr,yKronMag,yKronMagErr,yinfoFlag,yinfoFlag2,yinfoFlag3,ynFrames,yxPos,yyPos,yxPosErr,yyPosErr,ypsfMajorFWHM,ypsfMinorFWHM,ypsfTheta,ypsfCore,ypsfLikelihood,ypsfQf,ypsfQfPerfect,ypsfChiSq,ymomentXX,ymomentXY,ymomentYY,ymomentR1,ymomentRH,yPSFFlux,yPSFFluxErr,yApFlux,yApFluxErr,yApFillFac,yApRadius,yKronFlux,yKronFluxErr,yKronRad,yexpTime,yExtNSigma,ysky,yskyErr,yzp,yPlateScale,distance,SkyMapper_StarClass,g_elong,g_a,g_b,g_pa,r_elong,r_a,r_b,r_pa,i_elong,i_a,i_b,i_pa,z_elong,z_a,z_b,z_pa,NED_name,NED_type,NED_vel,NED_redshift,NED_mag,NED_redshift_flag,g-r,r-i,i-z,z-y,g-rErr,r-iErr,i-zErr,z-yErr,gApMag_gKronMag,rApMag_rKronMag,iApMag_iKronMag,zApMag_zKronMag,yApMag_yKronMag,7DCD,hasSimbad,sourceClass
3,469315487,,,,469315487,,,,,,,,,,,,,,0,,,,,116.990633,-48.157833,,,,,,,,,,261.66846,-11.230432,,,12,2,2,3,5,1,,1,1,,,,116.9906733,-48.1578044,32,46,,17.9209,0.0141,,,18.0366,0.1211,,,,,,,,,,,,,,,,0.6415,,,,,,1250.82,19.00141,,,,,1162.246,107.8067,4.84,,,,,,0.5,,,,116.9905968,-48.1578046,32,46,,17.67,0.012,,,17.819,0.1082,,,,,,,,,,,,,,,,0.6116,,,,,,1339.054,,,,,,1447.371,22.83135,5.83,,,,,,0.5,,,,116.9906129,-48.1578639,32,46,,17.4111,0.0365,,,17.4021,0.1021,,,,,,,,,,,,,,,,0.4982,,,,,,,,,,,,1541.656,21.44898,5.64,,,,,,0.5,,,,116.9906142,-48.1578703,32,46,,17.391,0.0165,,,17.3248,0.0434,,,,,,,,,,,,,,,,5.416,,,,,,,169.39,,,,,8569.548,323.0092,5.64,,,,,,0.5,,,,116.990633,-48.157833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,36.81,0.561,1.125,1.627,1.446,13.6,1.177,1.459,1.24,-0.73,1.053,1.541,1.464,-44.67,1.141,2.127,1.863,0.82,WISEA J074757.74-480928.3,IrS,,,,,,,,,,,,,,,,,,,0,1.0
5,469315489,,,,469315489,,,,,,,,,,,,,,0,,,,,116.987281,-48.151655,,,,,,,,,,261.66183,-11.229465,,,13,3,2,3,5,1,,1,1,,,,116.9872284,-48.1516471,28,23,,17.1837,0.0111,,,17.2108,0.0484,,,,,,,,,,,,,,,,0.477,,,,,,2290.859,23.09705,,,,,1978.816,145.2993,4.3,,,,,,0.5,,,,116.9873046,-48.1516561,28,23,,16.783,0.0082,,,16.8366,0.0484,,,,,,,,,,,,,,,,0.1417,,,,,,2739.488,,,,,,2510.531,12.36886,4.15,,,,,,0.5,,,,116.9872255,-48.1516538,28,23,,16.4438,0.0217,,,16.4916,0.0334,,,,,,,,,,,,,,,,0.1407,,,,,,,,,,,,3910.997,11.98761,3.5,,,,,,0.5,,,,116.9872657,-48.1516576,28,23,,16.2854,0.0076,,,16.3289,0.0204,,,,,,,,,,,,,,,,0.3788,,,,,,,54.29487,,,,,24879.75,367.4182,3.5,,,,,,0.5,,,,116.987281,-48.151655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,20.03,0.936,1.108,1.769,1.596,-30.37,1.051,1.878,1.787,-10.28,1.111,2.365,2.128,77.41,1.091,2.281,2.092,-7.41,WISEA J074756.93-480905.9,IrS,,,,,,,,,,,,,,,,,,,0,1.0
7,469315491,,,,469315491,,,,,,,,,,,,,,0,,,,,116.985027,-48.137721,,,,,,,,,,261.64862,-11.224167,,,10,2,2,2,4,1,,1,1,,,,116.985014,-48.1376957,35,29,,17.216,0.0133,,,17.1277,0.0608,,,,,,,,,,,,,,,,0.8493,,,,,,2409.868,24.78034,,,,,2482.717,131.9811,4.19,,,,,,0.5,,,,116.9850381,-48.1377006,35,29,,16.8199,0.0102,,,16.9114,0.0536,,,,,,,,,,,,,,,,0.8992,,,,,,2655.891,,,,,,2622.44,31.31731,5.22,,,,,,0.5,,,,116.9850504,-48.1377014,35,29,,16.5637,0.0097,,,16.615,0.045,,,,,,,,,,,,,,,,0.336,,,,,,,,,,,,3207.054,20.0835,3.53,,,,,,0.5,,,,116.9850726,-48.1377205,35,29,,16.4495,0.0063,,,16.5276,0.0216,,,,,,,,,,,,,,,,3.986,,,,,,,171.9837,,,,,21429.46,356.0794,3.53,,,,,,0.5,,,,116.985027,-48.137721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,50.66,0.949,1.036,2.15,2.076,28.63,1.097,1.927,1.756,-49.27,1.043,1.961,1.881,-0.68,1.049,2.161,2.06,-4.37,WISEA J074756.42-480815.6,IrS,,,,,,,,,,,,,,,,,,,0,1.0
8,469315494,,,,469315494,,,,,,,,,,,,,,0,,,,,116.97586,-48.143917,,,,,,,,,,261.6512,-11.232493,,,13,3,3,3,4,1,,1,1,,,,116.9758472,-48.1439315,23,24,,17.5497,0.0432,,,17.341,0.1598,,,,,,,,,,,,,,,,0.5433,,,,,,1767.438,18.5948,,,,,1652.813,112.9286,4.02,,,,,,0.5,,,,116.9758765,-48.1439302,23,24,,17.1112,0.0192,,,17.0745,0.0548,,,,,,,,,,,,,,,,0.8254,,,,,,2219.6,,,,,,2184.207,24.13114,3.5,,,,,,0.5,,,,116.9758719,-48.1439248,23,24,,16.7511,0.039,,,16.8004,0.0592,,,,,,,,,,,,,,,,1.525,,,,,,,,,,,,2910.242,41.42164,4.14,,,,,,0.5,,,,116.9758871,-48.1439213,23,24,,16.6318,0.009,,,16.6788,0.0411,,,,,,,,,,,,,,,,1.181,,,,,,,87.32791,,,,,17588.98,377.5845,4.14,,,,,,0.5,,,,116.97586,-48.143917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,27.26,0.869,1.134,2.012,1.775,74.54,1.16,2.107,1.816,73.38,1.072,1.864,1.739,-26.02,1.059,2.164,2.044,-27.07,WISEA J074754.19-480837.9,IrS,,,,,,,,,,,,,,,,,,,0,1.0
11,469315497,,,,469315497,,,,,,,,,,,,,,0,,,,,116.971287,-48.146248,,,,,,,,,,261.65182,-11.236285,,,12,2,2,3,5,1,,1,1,,,,116.9712972,-48.1462621,26,30,,16.5924,0.0094,,,16.638,0.0321,,,,,,,,,,,,,,,,0.9393,,,,,,3988.643,35.91649,,,,,3707.588,140.2307,3.51,,,,,,0.5,,,,116.9712975,-48.1462423,26,30,,16.0159,0.0095,,,16.0637,0.0554,,,,,,,,,,,,,,,,3.348,,,,,,6016.615,,,,,,5538.334,64.2136,3.5,,,,,,0.5,,,,116.9712477,-48.1462489,26,30,,15.6029,0.0108,,,15.5982,0.0156,,,,,,,,,,,,,,,,0.7188,,,,,,,,,,,,8641.804,34.631,3.63,,,,,,0.5,,,,116.9712868,-48.1462981,26,30,,15.4205,0.0066,,,15.359,0.0208,,,,,,,,,,,,,,,,19.91,,,,,,,491.8329,,,,,54498.93,507.0646,3.63,,,,,,0.5,,,,116.971287,-48.146248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,25.66,0.98,1.079,1.966,1.822,-34.05,1.073,2.504,2.333,73.09,1.088,2.764,2.541,84.64,1.27,3.259,2.566,-46.0,WISEA J074753.10-480846.5,IrS,,,,,,,,,,,,,,,,,,,0,1.0
13,469315499,,,,469315499,,,,,,,,,,,,,,0,,,,,116.970009,-48.136168,,,,,,,,,,261.64236,-11.232248,,,12,3,3,2,4,1,,1,1,,,,116.9699713,-48.1361826,55,25,,17.8017,0.0118,,,17.7543,0.0795,,,,,,,,,,,,,,,,0.399,,,,,,1313.478,19.28792,,,,,1203.921,103.2917,3.75,,,,,,0.5,,,,116.9700333,-48.1361671,55,25,,17.3382,0.013,,,17.4109,0.0798,,,,,,,,,,,,,,,,1.409,,,,,,1578.918,,,,,,1752.081,35.82742,5.19,,,,,,0.5,,,,116.9699977,-48.1361806,55,25,,17.1739,0.0114,,,17.2269,0.1035,,,,,,,,,,,,,,,,0.9281,,,,,,,,,,,,1969.215,26.53656,3.5,,,,,,0.5,,,,116.9700418,-48.1361714,55,25,,17.0305,0.0062,,,17.0863,0.0256,,,,,,,,,,,,,,,,0.309,,,,,,,42.95093,,,,,12353.25,325.4143,3.5,,,,,,0.5,,,,116.970009,-48.136168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,58.24,0.796,1.066,1.416,1.328,31.81,1.074,1.622,1.51,25.98,1.086,1.956,1.802,54.57,1.066,2.057,1.93,7.75,WISEA J074752.79-480810.0,IrS,,,,,,,,,,,,,,,,,,,0,1.0
23,469366784,,,,469366784,,,,,,,,,,,,,,0,,,,,116.965694,-48.149485,,,,,,,,,,261.65292,-11.241107,,,18,3,3,3,5,1,,1,1,,,,116.965679,-48.1494851,27,15,,15.1827,0.0065,,,15.1795,0.0112,,,,,,,,,,,,,,,,0.03076,,,,,,14464.57,9.317556,,,,,14035.1,195.115,3.5,,,,,,0.5,,,,116.9656987,-48.1494906,27,15,,14.9126,0.0126,,,14.9263,0.0104,,,,,,,,,,,,,,,,0.07167,,,,,,16858.22,,,,,,16469.47,13.55048,3.5,,,,,,0.5,,,,116.9656568,-48.1494813,27,15,,14.7366,0.0087,,,14.7627,0.0095,,,,,,,,,,,,,,,,2.468,,,,,,,,,,,,18624.35,84.75289,3.5,,,,,,0.5,,,,116.9656793,-48.1494861,27,15,,14.7065,0.0047,,,14.7528,0.0099,,,,,,,,,,,,,,,,1.795,,,,,,,183.4433,,,,,105879.5,501.3398,3.5,,,,,,0.5,,,,116.965694,-48.149485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,32.48,0.983,1.056,2.391,2.264,-41.21,1.071,2.87,2.68,72.39,1.071,2.853,2.663,80.2,1.076,2.627,2.441,-5.08,WISEA J074751.76-480858.0,IrS,,,,,,,,,,,,,,,,,,,0,1.0
24,469366785,,,,469366785,,,,,,,,,,,,,,0,,,,,116.966058,-48.1566,,,,,,,,,,261.65942,-11.244272,,,13,3,3,3,4,1,,1,1,,,,116.9660851,-48.1565804,35,20,,17.5722,0.0462,,,17.5979,0.1094,,,,,,,,,,,,,,,,1.351,,,,,,1858.952,29.718,,,,,1651.855,105.3491,3.76,,,,,,0.5,,,,116.9660247,-48.1566026,35,20,,17.1727,0.0229,,,17.2303,0.0762,,,,,,,,,,,,,,,,0.542,,,,,,1969.717,,,,,,1738.384,22.95076,3.9,,,,,,0.5,,,,116.9660463,-48.1565951,35,20,,17.0479,0.0354,,,17.1056,0.064,,,,,,,,,,,,,,,,0.224,,,,,,,,,,,,2252.873,13.37924,3.78,,,,,,0.5,,,,116.9660314,-48.1565917,35,20,,16.973,0.0084,,,17.0687,0.0224,,,,,,,,,,,,,,,,1.098,,,,,,,81.36506,,,,,13005.57,315.0068,3.78,,,,,,0.5,,,,116.966058,-48.1566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,36.6,0.913,1.132,1.982,1.75,89.85,1.077,1.711,1.589,-34.9,1.142,2.129,1.864,88.11,1.061,1.998,1.883,-27.43,WISEA J074751.87-480923.5,IrS,,,,,,,,,,,,,,,,,,,0,1.0
27,469366793,,,,469366793,,,,,,,,,,,,,,0,,,,,116.95651,-48.158127,,,,,,,,,,261.6577,-11.250603,,,13,3,3,2,5,1,,1,1,,,,116.956483,-48.1581227,15,18,,16.7309,0.0138,,,16.7828,0.0572,,,,,,,,,,,,,,,,0.8068,,,,,,3379.432,32.31458,,,,,3099.827,138.8182,3.61,,,,,,0.5,,,,116.9565273,-48.1581213,15,18,,16.2834,0.0071,,,16.347,0.0371,,,,,,,,,,,,,,,,1.64,,,,,,4657.896,,,,,,4256.024,41.68133,3.5,,,,,,0.5,,,,116.9565142,-48.1581342,15,18,,15.9085,0.0083,,,15.9471,0.0257,,,,,,,,,,,,,,,,0.643,,,,,,,,,,,,6074.686,29.23164,3.5,,,,,,0.5,,,,116.9565041,-48.1581301,15,18,,15.8338,0.0073,,,15.903,0.0173,,,,,,,,,,,,,,,,0.9662,,,,,,,96.75447,,,,,37607.93,393.3807,3.5,,,,,,0.5,,,,116.95651,-48.158127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,59.43,0.977,1.045,1.892,1.811,-54.63,1.078,2.431,2.255,62.2,1.086,2.606,2.4,64.18,1.093,2.358,2.157,-10.98,WISEA J074749.55-480929.1,IrS,,,,,,,,,,,,,,,,,,,0,1.0
29,469366796,,,,469366796,,,,,,,,,,,,,,0,,,,,116.960552,-48.141711,,,,,,,,,,261.6443,-11.240435,,,11,3,2,2,4,1,,1,1,,,,116.9604851,-48.1417085,52,52,,17.9026,0.0219,,,18.1393,0.0804,,,,,,,,,,,,,,,,2.184,,,,,,1123.514,44.86068,,,,,859.9343,91.0991,4.02,,,,,,0.5,,,,116.9604973,-48.141693,52,52,,17.6787,0.0159,,,17.7528,0.0916,,,,,,,,,,,,,,,,0.8176,,,,,,1328.151,,,,,,1077.906,26.46438,4.74,,,,,,0.5,,,,116.9605764,-48.1417184,52,52,,17.2149,0.0128,,,17.255,0.0636,,,,,,,,,,,,,,,,5.956,,,,,,,,,,,,1505.949,75.20966,3.5,,,,,,0.5,,,,116.9605648,-48.141705,52,52,,17.2022,0.026,,,17.2724,0.0297,,,,,,,,,,,,,,,,0.8873,,,,,,,69.9522,,,,,10633.0,335.5108,3.5,,,,,,0.5,,,,116.960552,-48.141711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,55.89,0.531,1.131,1.204,1.065,-62.6,1.011,1.355,1.34,-81.46,1.025,1.392,1.357,68.9,1.073,2.021,1.882,7.23,WISEA J074750.52-480829.9,IrS,,,,,,,,,,,,,,,,,,,0,1.0
