objName,objAltName1,objAltName2,objAltName3,objID,uniquePspsOBid,ippObjID,surveyID,htmID,zoneID,tessID,projectionID,skyCellID,randomID,batchID,dvoRegionID,processingVersion,objInfoFlag,qualityFlag,raStack,decStack,raStackErr,decStackErr,raMean,decMean,raMeanErr,decMeanErr,epochMean,posMeanChisq,cx,cy,cz,lambda,beta,l,b,nStackObjectRows,nStackDetections,nDetections,ng,nr,ni,nz,ny,uniquePspsSTid,primaryDetection,bestDetection,gippDetectID,gstackDetectID,gstackImageID,gra,gdec,graErr,gdecErr,gEpoch,gPSFMag,gPSFMagErr,gApMag,gApMagErr,gKronMag,gKronMagErr,ginfoFlag,ginfoFlag2,ginfoFlag3,gnFrames,gxPos,gyPos,gxPosErr,gyPosErr,gpsfMajorFWHM,gpsfMinorFWHM,gpsfTheta,gpsfCore,gpsfLikelihood,gpsfQf,gpsfQfPerfect,gpsfChiSq,gmomentXX,gmomentXY,gmomentYY,gmomentR1,gmomentRH,gPSFFlux,gPSFFluxErr,gApFlux,gApFluxErr,gApFillFac,gApRadius,gKronFlux,gKronFluxErr,gKronRad,gexpTime,gExtNSigma,gsky,gskyErr,gzp,gPlateScale,rippDetectID,rstackDetectID,rstackImageID,rra,rdec,rraErr,rdecErr,rEpoch,rPSFMag,rPSFMagErr,rApMag,rApMagErr,rKronMag,rKronMagErr,rinfoFlag,rinfoFlag2,rinfoFlag3,rnFrames,rxPos,ryPos,rxPosErr,ryPosErr,rpsfMajorFWHM,rpsfMinorFWHM,rpsfTheta,rpsfCore,rpsfLikelihood,rpsfQf,rpsfQfPerfect,rpsfChiSq,rmomentXX,rmomentXY,rmomentYY,rmomentR1,rmomentRH,rPSFFlux,rPSFFluxErr,rApFlux,rApFluxErr,rApFillFac,rApRadius,rKronFlux,rKronFluxErr,rKronRad,rexpTime,rExtNSigma,rsky,rskyErr,rzp,rPlateScale,iippDetectID,istackDetectID,istackImageID,ira,idec,iraErr,idecErr,iEpoch,iPSFMag,iPSFMagErr,iApMag,iApMagErr,iKronMag,iKronMagErr,iinfoFlag,iinfoFlag2,iinfoFlag3,inFrames,ixPos,iyPos,ixPosErr,iyPosErr,ipsfMajorFWHM,ipsfMinorFWHM,ipsfTheta,ipsfCore,ipsfLikelihood,ipsfQf,ipsfQfPerfect,ipsfChiSq,imomentXX,imomentXY,imomentYY,imomentR1,imomentRH,iPSFFlux,iPSFFluxErr,iApFlux,iApFluxErr,iApFillFac,iApRadius,iKronFlux,iKronFluxErr,iKronRad,iexpTime,iExtNSigma,isky,iskyErr,izp,iPlateScale,zippDetectID,zstackDetectID,zstackImageID,zra,zdec,zraErr,zdecErr,zEpoch,zPSFMag,zPSFMagErr,zApMag,zApMagErr,zKronMag,zKronMagErr,zinfoFlag,zinfoFlag2,zinfoFlag3,znFrames,zxPos,zyPos,zxPosErr,zyPosErr,zpsfMajorFWHM,zpsfMinorFWHM,zpsfTheta,zpsfCore,zpsfLikelihood,zpsfQf,zpsfQfPerfect,zpsfChiSq,zmomentXX,zmomentXY,zmomentYY,zmomentR1,zmomentRH,zPSFFlux,zPSFFluxErr,zApFlux,zApFluxErr,zApFillFac,zApRadius,zKronFlux,zKronFluxErr,zKronRad,zexpTime,zExtNSigma,zsky,zskyErr,zzp,zPlateScale,yippDetectID,ystackDetectID,ystackImageID,yra,ydec,yraErr,ydecErr,yEpoch,yPSFMag,yPSFMagErr,yApMag,yApMagErr,yKronMag,yKronMagErr,yinfoFlag,yinfoFlag2,yinfoFlag3,ynFrames,yxPos,yyPos,yxPosErr,yyPosErr,ypsfMajorFWHM,ypsfMinorFWHM,ypsfTheta,ypsfCore,ypsfLikelihood,ypsfQf,ypsfQfPerfect,ypsfChiSq,ymomentXX,ymomentXY,ymomentYY,ymomentR1,ymomentRH,yPSFFlux,yPSFFluxErr,yApFlux,yApFluxErr,yApFillFac,yApRadius,yKronFlux,yKronFluxErr,yKronRad,yexpTime,yExtNSigma,ysky,yskyErr,yzp,yPlateScale,distance,SkyMapper_StarClass,g_elong,g_a,g_b,g_pa,r_elong,r_a,r_b,r_pa,i_elong,i_a,i_b,i_pa,z_elong,z_a,z_b,z_pa
469315470,,,,469315470,,,,,,,,,,,,,,0,,,,,116.999577,-48.160453,,,,,,,,,,261.6737,-11.226427,,,1,0,0,0,1,1,,1,1,,,,,,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,116.9995772,-48.160453,36,36,,18.8112,0.0301,,,18.679,0.1485,,,,,,,,,,,,,,,,0.9389,,,,,,,62.9781,,,,,2405.795,278.0379,,,,,,,0.5,,,,116.999577,-48.160453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,59.66,,,,,,,,,,,,,,1.197,1.149,0.96,5.97
469315485,,,,469315485,,,,,,,,,,,,,,0,,,,,116.999249,-48.150124,,,,,,,,,,261.66434,-11.221711,,,2,0,0,0,2,1,,1,1,,,,,,68,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,68,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,68,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,116.9992288,-48.1500915,68,163,,19.1667,0.0545,,,19.2188,0.1396,,,,,,,,,,,,,,,,0.05334,,,,,,,14.76453,,,,,1686.196,234.175,,,,,,,0.5,,,,116.999249,-48.150124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,48.86,,,,,,,,,,,,,,1.077,0.745,0.691,-89.51
469315486,,,,469315486,,,,,,,,,,,,,,0,,,,,116.990704,-48.147475,,,,,,,,,,261.6592,-11.225469,,,3,0,0,0,3,1,,1,1,,,,,,36,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,36,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,36,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,116.9907032,-48.1475128,36,175,,18.2131,0.0155,,,18.1189,0.06,,,,,,,,,,,,,,,,1.94,,,,,,,93.95089,,,,,4206.091,256.2303,,,,,,,0.5,,,,116.990704,-48.147475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,31.21,,,,,,,,,,,,,,1.157,1.682,1.454,-0.59
469315487,,,,469315487,,,,,,,,,,,,,,0,,,,,116.990633,-48.157833,,,,,,,,,,261.66846,-11.230432,,,12,2,2,3,5,1,,1,1,,,,116.9906733,-48.1578044,32,46,,17.9209,0.0141,,,18.0366,0.1211,,,,,,,,,,,,,,,,0.6415,,,,,,1250.82,19.00141,,,,,1162.246,107.8067,4.84,,,,,,0.5,,,,116.9905968,-48.1578046,32,46,,17.67,0.012,,,17.819,0.1082,,,,,,,,,,,,,,,,0.6116,,,,,,1339.054,,,,,,1447.371,22.83135,5.83,,,,,,0.5,,,,116.9906129,-48.1578639,32,46,,17.4111,0.0365,,,17.4021,0.1021,,,,,,,,,,,,,,,,0.4982,,,,,,,,,,,,1541.656,21.44898,5.64,,,,,,0.5,,,,116.9906142,-48.1578703,32,46,,17.391,0.0165,,,17.3248,0.0434,,,,,,,,,,,,,,,,5.416,,,,,,,169.39,,,,,8569.548,323.0092,5.64,,,,,,0.5,,,,116.990633,-48.157833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,36.81,0.561,1.125,1.627,1.446,13.6,1.177,1.459,1.24,-0.73,1.053,1.541,1.464,-44.67,1.141,2.127,1.863,0.82
469315488,,,,469315488,,,,,,,,,,,,,,0,,,,,116.990313,-48.152207,,,,,,,,,,261.66333,-11.227946,,,7,0,0,3,4,1,,1,1,,,,,,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,116.9902993,-48.1522085,26,26,,16.9683,0.0096,,,17.0381,0.0475,,,,,,,,,,,,,,,,0.02909,,,,,,,,,,,,2236.616,5.529463,4.58,,,,,,0.5,,,,116.9903388,-48.1521917,26,26,,16.493,0.0099,,,16.5513,0.0196,,,,,,,,,,,,,,,,0.3671,,,,,,,50.51587,,,,,20340.73,352.3554,4.58,,,,,,0.5,,,,116.990313,-48.152207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,27.48,,,,,,,,,,1.105,1.838,1.663,57.46,1.057,2.212,2.094,-18.48
469315489,,,,469315489,,,,,,,,,,,,,,0,,,,,116.987281,-48.151655,,,,,,,,,,261.66183,-11.229465,,,13,3,2,3,5,1,,1,1,,,,116.9872284,-48.1516471,28,23,,17.1837,0.0111,,,17.2108,0.0484,,,,,,,,,,,,,,,,0.477,,,,,,2290.859,23.09705,,,,,1978.816,145.2993,4.3,,,,,,0.5,,,,116.9873046,-48.1516561,28,23,,16.783,0.0082,,,16.8366,0.0484,,,,,,,,,,,,,,,,0.1417,,,,,,2739.488,,,,,,2510.531,12.36886,4.15,,,,,,0.5,,,,116.9872255,-48.1516538,28,23,,16.4438,0.0217,,,16.4916,0.0334,,,,,,,,,,,,,,,,0.1407,,,,,,,,,,,,3910.997,11.98761,3.5,,,,,,0.5,,,,116.9872657,-48.1516576,28,23,,16.2854,0.0076,,,16.3289,0.0204,,,,,,,,,,,,,,,,0.3788,,,,,,,54.29487,,,,,24879.75,367.4182,3.5,,,,,,0.5,,,,116.987281,-48.151655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,20.03,0.936,1.108,1.769,1.596,-30.37,1.051,1.878,1.787,-10.28,1.111,2.365,2.128,77.41,1.091,2.281,2.092,-7.41
469315490,,,,469315490,,,,,,,,,,,,,,0,,,,,116.975701,-48.152426,,,,,,,,,,261.65878,-11.236629,,,6,0,0,2,4,1,,1,1,,,,,,70,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,70,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,116.975557,-48.152405,70,132,,18.055,0.0157,,,17.9798,0.1234,,,,,,,,,,,,,,,,0.2981,,,,,,,,,,,,883.1035,13.10141,6.92,,,,,,0.5,,,,116.9756736,-48.1524433,70,132,,17.6471,0.0226,,,17.7259,0.0445,,,,,,,,,,,,,,,,0.4018,,,,,,,44.84896,,,,,6767.915,400.9721,6.92,,,,,,0.5,,,,116.975701,-48.152426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,9.01,,,,,,,,,,1.001,0.808,0.808,0.77,1.08,1.85,1.713,-9.64
469315491,,,,469315491,,,,,,,,,,,,,,0,,,,,116.985027,-48.137721,,,,,,,,,,261.64862,-11.224167,,,10,2,2,2,4,1,,1,1,,,,116.985014,-48.1376957,35,29,,17.216,0.0133,,,17.1277,0.0608,,,,,,,,,,,,,,,,0.8493,,,,,,2409.868,24.78034,,,,,2482.717,131.9811,4.19,,,,,,0.5,,,,116.9850381,-48.1377006,35,29,,16.8199,0.0102,,,16.9114,0.0536,,,,,,,,,,,,,,,,0.8992,,,,,,2655.891,,,,,,2622.44,31.31731,5.22,,,,,,0.5,,,,116.9850504,-48.1377014,35,29,,16.5637,0.0097,,,16.615,0.045,,,,,,,,,,,,,,,,0.336,,,,,,,,,,,,3207.054,20.0835,3.53,,,,,,0.5,,,,116.9850726,-48.1377205,35,29,,16.4495,0.0063,,,16.5276,0.0216,,,,,,,,,,,,,,,,3.986,,,,,,,171.9837,,,,,21429.46,356.0794,3.53,,,,,,0.5,,,,116.985027,-48.137721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,50.66,0.949,1.036,2.15,2.076,28.63,1.097,1.927,1.756,-49.27,1.043,1.961,1.881,-0.68,1.049,2.161,2.06,-4.37
469315494,,,,469315494,,,,,,,,,,,,,,0,,,,,116.97586,-48.143917,,,,,,,,,,261.6512,-11.232493,,,13,3,3,3,4,1,,1,1,,,,116.9758472,-48.1439315,23,24,,17.5497,0.0432,,,17.341,0.1598,,,,,,,,,,,,,,,,0.5433,,,,,,1767.438,18.5948,,,,,1652.813,112.9286,4.02,,,,,,0.5,,,,116.9758765,-48.1439302,23,24,,17.1112,0.0192,,,17.0745,0.0548,,,,,,,,,,,,,,,,0.8254,,,,,,2219.6,,,,,,2184.207,24.13114,3.5,,,,,,0.5,,,,116.9758719,-48.1439248,23,24,,16.7511,0.039,,,16.8004,0.0592,,,,,,,,,,,,,,,,1.525,,,,,,,,,,,,2910.242,41.42164,4.14,,,,,,0.5,,,,116.9758871,-48.1439213,23,24,,16.6318,0.009,,,16.6788,0.0411,,,,,,,,,,,,,,,,1.181,,,,,,,87.32791,,,,,17588.98,377.5845,4.14,,,,,,0.5,,,,116.97586,-48.143917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,27.26,0.869,1.134,2.012,1.775,74.54,1.16,2.107,1.816,73.38,1.072,1.864,1.739,-26.02,1.059,2.164,2.044,-27.07
469315495,,,,469315495,,,,,,,,,,,,,,0,,,,,116.975676,-48.141871,,,,,,,,,,261.64932,-11.231629,,,2,0,0,0,2,1,,1,1,,,,,,133,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,133,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,133,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,116.9756369,-48.1418352,133,181,,18.9336,0.0484,,,18.9154,0.1232,,,,,,,,,,,,,,,,1.428,,,,,,,77.59672,,,,,2271.394,334.9565,,,,,,,0.5,,,,116.975676,-48.141871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,34.5,,,,,,,,,,,,,,1.257,1.24,0.986,14.4
