# Created by M.D. Woods -- 2025-05-15 15:04:42.155826 -- NUM TARGETS: 212
objname, origin, subtype, algo, ra, dec, z, z_err, z_cmb, MJDs, MJDe, chisquare, chisquare_err, mu, mu_err, hostMass, hostMass_err, Tmax, Tmax_err, stretch, stretch_err, color, color_err, amplitude, amplitude_err, peak_mag, peak_mag_err
2006fw, CSP, 91bg, SALT, 26.793083000000003, -0.14699999999999996, 0.0835, 0.0, 0.08215156304994824, 54001.75, 54039.73, 1132.965948567453, 0.0, 37.82373869564629, 0.10231700689334364, 9.842210908409118, 0.10051104088386144, 54004.66542633904, 0.11560924811419682, -0.6598805472573088, 0.07555962346532302, 0.21544353667728747, 0.005744955249352662, 0.00037265859008988233, 2.2251512957149156e-06, 19.0192, 0.0164
2008C, CSP, 91bg, SALT, 104.29804199999998, 20.437139, 0.0166, 0.0, 0.016903903224004785, 54469.81, 54552.5, 20934.069727121518, 0.0, 34.544093719885524, 0.1009894428258251, 10.028240434860418, 0.100005330562861, 54467.39380422134, 0.11750586591733736, -0.5051782490342127, 0.04406299581348749, 0.2582715990363634, 0.003430480633106142, 0.006943618589042854, 4.4726751753701795e-05, 15.931700000000001, 0.010399999999999998
2005ag, CSP, 91bg, SALT, 224.18187499999996, 9.328472000000003, 0.0797, 0.0, 0.08049898772468446, 53412.82, 53480.84, 19574.798096127815, 0.0, 37.93975059593704, 0.10041803234471633, 10.925112928401077, 0.10001950532250435, 53415.233951667506, 0.07461939239146886, 0.4001187116880345, 0.03503871805980274, 0.044427992107235664, 0.0023133964926462768, 0.0006217687063419616, 1.5699479080655632e-06, 18.633825, 0.014325
2006py, CSP, 91bg, SALT, 340.425208, -0.136917, 0.0579, 0.0, 0.056012583196732316, 54069.54, 54091.54, 153.09523325149183, 0.0, 37.17938617307643, 0.10322340370842863, 9.823198012980697, 0.10022784130563545, 54071.50702938561, 0.1359576828253921, -0.08259860264677454, 0.11683936627551489, 0.10637831924283216, 0.005714559817401614, 0.000987159978266479, 6.133246669450245e-06, 18.129800000000003, 0.02026666666666667
2009D, CSP, 91bg, SALT, 58.59512500000002, -19.181722000000004, 0.025, 0.0, 0.025176933726842318, 54834.67, 54884.53, 3913.5794694547035, 0.0, 35.28203387758296, 0.10006872389204934, 10.288567554002853, 0.10000481429434087, 54841.83334037175, 0.014458404832112137, 0.719641050550609, 0.010630098286362744, 0.05787338582397671, 0.0010238737246080754, 0.0072484209237593505, 8.94397888001696e-06, 16.042025000000002, 0.0068000000000000005
2008hu, CSP, 91bg, SALT, 122.31150000000001, -18.65363900000001, 0.0497, 0.0, 0.050623552738642955, 54806.76, 54844.84, 714.719168479689, 0.0, 37.055289127596566, 0.10069278576086339, 10.107881298730984, 0.10025303477236472, 54806.52587914869, 0.06575811278526089, -1.7416648993482342, 0.028832569192155377, 0.09448831641309158, 0.0032928777163547117, 0.0009050329351652091, 4.022441495756764e-06, 18.246000000000002, 0.011199999999999998
2006ej, CSP, 91bg, SALT, 9.749042, -9.015721999999998, 0.0205, 0.0, 0.018069132884244235, 53979.74, 54046.74, 8327.209559201714, 0.0, 34.983385909879004, 0.10062651321198356, 10.279706103453293, 0.10000325657534177, 53976.03701030585, 0.07659775912907207, -1.4058483076582085, 0.01678495839847427, 0.004723381070307614, 0.0030285974788911403, 0.008184222906893603, 4.624973365556987e-05, 15.837, 0.0075
2008gl, CSP, 91bg, SALT, 20.228417, 4.805306000000001, 0.034, 0.0, 0.032742544933472346, 54765.7, 54844.55, 30443.172088683437, 0.0, 35.94992430741414, 0.1001434383006451, 11.359976556285138, 0.10022198065335708, 54768.5065886941, 0.027576255964959273, -1.2225594322570954, 0.01431904550654195, 0.0619796707740336, 0.0015246050360357144, 0.0029466589448881937, 4.905302814938822e-06, 16.98808, 0.0067599999999999995
2009al, CSP, 91bg, SALT, 162.8419580000001, 8.578528, 0.0221, 0.0, 0.023294362161299355, 54897.7, 54947.57, 2858.30554215365, 0.0, 34.9788718840138, 0.10039292312129247, 10.676596531095123, 0.10000149448209737, 54896.99799795559, 0.07213045713069732, -0.4874559651050614, 0.022410175087505535, 0.21158698581411525, 0.0024105467779783505, 0.005301603621402387, 1.9150272732194885e-05, 16.284142857142857, 0.008857142857142857
2006hx, CSP, 91bg, SALT, 18.488792, 0.37166699999999997, 0.0455, 0.0, 0.043686906535194706, 54012.66, 54080.59, 1073.298397808816, 0.0, 36.513222404512845, 0.10294875576326613, 10.307434104151445, 0.1000189650649231, 54022.41361864875, 0.04342410370736616, -0.10299785832549646, 0.053888038896548474, 0.1784911623090342, 0.006952411850954627, 0.0014915784625368792, 1.3821844157946251e-05, nan, nan
2008go, CSP, 91bg, SALT, 332.68679200000014, -20.788110999999994, 0.0623, 0.0, 0.06071935029069365, 54765.61, 54776.58, 448.004795531436, 0.0, 37.27831750180099, 0.10185698129316538, 10.908950503065558, 0.1000150006443601, 54766.19580998218, 0.08536905344953993, -0.2865160143826073, 0.10725961326286754, 0.08991676557928377, 0.0032584862430932887, 0.0009161306953958167, 2.829289934483123e-06, 18.214350000000003, 0.012300000000000002
2005hj, CSP, 91bg, SALT, 21.701125, -1.2379999999999998, 0.0574, 0.0, 0.05548572073168324, 53671.67, 53761.57, 7320.407108365491, 0.0, 37.30922937429491, 0.10076686437642944, 9.52474382794979, 0.10036437533398969, 53674.99081481962, 0.08233689120970666, 1.5375348016162937, 0.04913478099563606, 0.07405719971852111, 0.003104078471065924, 0.0012026221489465105, 3.817956357575495e-06, 17.9012, 0.011733333333333333
2008bq, CSP, 91bg, SALT, 100.26045799999999, -38.038611, 0.034, 0.0, 0.035317653145700935, 54562.49, 54606.46, 983.3494355284128, 0.0, 36.010879624830324, 0.10016902865726607, 11.946576632579085, 0.1891837152082599, 54563.973680566254, 0.0386315265459416, 0.450897432173345, 0.020103358024526896, 0.17803217027438092, 0.0014895195503429515, 0.0025646536672157545, 5.105164201167224e-06, 17.058941176470586, 0.007470588235294118
2008bf, CSP, 91bg, SALT, 181.012083, 20.245167000000002, 0.0235, 0.0, 0.024411752508128857, 54547.73, 54646.49, 70069.76562483545, 0.0, 35.4071893656962, 0.10013981879884748, 9.335821037180079, 0.10474959584291142, 54555.423441344035, 0.014658261228760239, 0.642111099033642, 0.014222233386244065, -0.016513562624829396, 0.0014709998312259368, 0.007836201946059641, 1.449344164099366e-05, 16.004266666666663, 0.008133333333333334
2006lu, CSP, 91bg, SALT, 138.82345800000004, -25.60008299999999, 0.0534, 0.0, 0.055620130925735006, 54040.84, 54137.75, 20335.909810153742, 0.0, 37.16415433055789, 0.100656163367582, 10.312301203111709, 0.10005269717103293, 54039.181600342075, 6.527065488626249e-05, -0.2076804821813072, 0.026625436988664264, 0.09154391614577453, 0.0033684396349680716, 0.0010244903552434563, 3.5691946095337374e-06, 18.1107, 0.0113
2008cf, CSP, 91bg, SALT, 211.885667, -26.551832999999995, 0.046, 0.0, 0.04668465270812782, 54595.77, 54654.65, 34641.53331780488, 0.0, 36.877802768823344, 0.10031662615192279, 8.754352914249603, 0.10048998277034027, 54595.537688011595, 0.07157676591305062, 1.1046425142103822, 0.02562478496015208, -0.011940929058657858, 0.002120122823864176, 0.002131653451891151, 5.600726101665366e-06, 17.39193333333333, 0.006866666666666669
2007hx, CSP, 91bg, SALT, 31.612832999999995, -0.8995279999999998, 0.0794, 0.0, 0.07815815296284123, 54354.78, 54411.73, 628.5417096235166, 0.0, 38.231460175644976, 0.10292345290802536, 10.947106485783687, 0.10020909294180855, 54354.7747996948, 0.1920666701371374, 0.4554886952657411, 0.09787797926929243, 0.2015440715218808, 0.0059821257151139945, 0.0003112083956123925, 2.0506652128775513e-06, 19.2674, 0.0189
2007jg, CSP, 91bg, SALT, 52.461750000000016, 0.056833000000000015, 0.0371, 0.0, 0.035639792744478135, 54363.82, 54425.78, 3789.22247883743, 0.0, 36.60516090675818, 0.10043988908668054, 8.983217199440995, 0.10114633276657468, 54366.8411449651, 0.04762657695391681, -0.34328154251953735, 0.033859087802729226, 0.135339298355409, 0.0024642584365726873, 0.0014914282438214948, 3.738644261243603e-06, 17.651450000000004, 0.010400000000000001
2005ku, CSP, 91bg, SALT, 344.9275419999999, 0.013693999999999996, 0.0454, 0.0, 0.043721915471377965, 53699.56, 53739.53, 146.65662021859524, 0.0, 36.66325318042421, 0.10337471469781218, 7.895610204112348, 0.12351223859884536, 53699.21569510634, 0.17561648813352804, -0.032224639955027445, 0.11248423496345861, 0.17227527768061313, 0.006037716871134987, 0.001334671690661787, 1.0018290945286658e-05, 17.751600000000003, 0.017300000000000003
2007jd, CSP, 91bg, SALT, 44.97237499999999, 1.1607220000000003, 0.0726, 0.0, 0.0717710864312675, 54362.83, 54409.83, 395.3145440178669, 0.0, 37.90180343119706, 0.1031039951130023, 10.066482342060203, 0.1001075447532651, 54362.03881062486, 0.23482054331543623, -0.7927233602020672, 0.09090299463638096, 0.1863549187630104, 0.00628195765448917, 0.0003686624413269517, 3.158912417170567e-06, 19.09295, 0.023550000000000005
