# Created by M.D. Woods -- 2025-05-21 14:42:23.584631 -- NUM TARGETS: 380
# WARNING: For files with SNPY & SALT, the 'stretch' and 'color' are NOT identical.
objname, origin, subtype, algo, ra, dec, z, z_err, z_cmb, MJDs, MJDe, chisquare, chisquare_err, mu, mu_err, hostMass, hostMass_err, Tmax, Tmax_err, stretch, stretch_err, color, color_err, amplitude, amplitude_err, peak_mag, peak_mag_err
2006fw, CSP, 91bg, SALT, 26.793083000000003, -0.14699999999999996, 0.0835, 0.0, 0.08215156304994824, 54001.75, 54039.73, 1132.965948567453, 0.0, 37.82373869564629, 0.02165109465159967, 9.842210908409118, 0.010122714041069385, 54004.66542633904, 0.11560924811419682, -0.6598805472573088, 0.07555962346532302, 0.21544353667728747, 0.005744955249352662, 0.00037265859008988233, 2.2251512957149156e-06, 19.0192, 0.0164
2005A, CSP, 91bg, SALT, 37.680208, -2.9388329999999994, 0.0191, 0.0, 0.018175475414380166, 53376.65, 53432.52, 14299.47782778193, 0.0, 34.661799057582414, 0.007410000283075098, 3.2610126934232015, 3.5302173689058103, 53378.87408260123, 0.051819588225043844, 0.1682557320359146, 0.019844725625138837, 1.0229235511718817, 0.002020652290587278, 0.0008399486855008461, 2.3757031148703607e-06, 17.55225, 0.011291666666666667
2005ku, CSP, 91bg, SALT, 344.9275419999999, 0.013693999999999996, 0.0454, 0.0, 0.043721915471377965, 53699.56, 53739.53, 146.65662021859524, 0.0, 36.66325318042421, 0.026197931957581345, 7.895610204112348, 0.07249326233311687, 53699.21569510634, 0.17561648813352804, -0.032224639955027445, 0.11248423496345861, 0.17227527768061313, 0.006037716871134987, 0.001334671690661787, 1.0018290945286658e-05, 17.751600000000003, 0.017300000000000003
2020vnq, ATLAS-ZTF, 91bg, SALT, 26.94648823333301, 42.00450613333301, 0.07943621982136113, 5.632208257229376e-06, 0.07802645200848286, 59110.469687, 59187.425275, 141.95715636137606, 0.0, 37.970108312607906, 0.07748213687881828, 10.471831216276883, 0.0028420022994600546, 59141.54658319954, 0.20977042919912492, 0.2605702851393421, 0.2718853715215591, 0.03489556678199401, 0.020462600154764008, 0.0006085665264878083, 1.3200779181583898e-05, 18.600626949406713, 0.14707897210621146
2019ycb, ATLAS-ZTF, 91bg, SALT, 184.70266700000008, 5.737611000000001, 0.046035180778296964, 2.0013845711889123e-05, 0.04683877826596701, 58826.63506, 58904.553158, 205.17406097957783, 0.0, 36.95016145695597, 0.08003112814699931, 9.607961236393159, 0.003775645074153557, 58850.73126290621, 0.30268163836808526, 0.2708613156750228, 0.1886224111152135, 0.20857731065609597, 0.022728592118236576, 0.0009680281249805538, 2.797665878785215e-05, 18.013913041085434, 0.060822572549507424
2021lny, ATLAS-ZTF, 91bg, SALT, 205.26646278000004, -25.60259172, 0.09510348953030158, 4.67832785962935e-06, 0.09642312934297749, 59321.460752, 59399.300548, 151.42861293344626, 0.0, 38.91621404312081, 0.18410256633718503, 9.94237038465702, 0.011807558360289957, 59353.55738547257, 0.3954838235222269, 2.413209557683109, 0.5491969061256413, -0.015772640321529013, 0.05036416579318759, 0.00039628149702099257, 2.3955125010317456e-05, 19.04111323697495, 0.2308028229927001
2021abzi, ATLAS-ZTF, 91bg, SALT, 127.21563620999997, 12.538382189999998, 0.06715312364529197, 2.0013845711889123e-05, 0.068628234445802, 59493.608164, 59565.420389, 117.49126329204672, 0.0, 37.65186535314207, 0.12055490633786714, 10.062173217785807, 0.004143475711551588, 59518.173637012434, 0.28044649260118604, -0.031842598584749804, 0.35289468978812993, 0.05226007011070314, 0.03254579045335736, 0.0007464678165209068, 3.2334611327273965e-05, 18.48228250564842, 0.11968183857466687
2021gjm, ATLAS-ZTF, 91bg, SALT, 115.58841699999999, 12.165781, 0.045212676296850426, 3.6503369177272316e-06, 0.04580761433370152, 59272.46876, 59347.275522, 131.00992746687012, 0.0, 36.8970035999819, 0.04844136380434155, 8.61778358793296, 0.011070830402197838, 59309.38031226471, 0.11312972883388284, 0.6167523025457833, 0.15961294488972433, -0.022625383976200873, 0.012916845335101363, 0.0020133220900843186, 3.0387494716275103e-05, 17.402847933827644, 0.041993235408467104
2021ymm, ATLAS-ZTF, 91bg, SALT, 78.78752324444399, -16.027569955555997, 0.05937440894527106, 0.00032022153139022597, 0.05825998132844925, 59444.616352, 59523.508593, 566.2176780718128, 0.0, 37.46152874629772, 0.08842308641661378, 10.693614635429267, 0.002068869016549648, 59472.27842242981, 0.17287299505915144, -1.6618589474613277, 0.2435097223532029, 0.016817088501042608, 0.024765758972237074, 0.0007791781482187396, 2.2509838170103846e-05, 18.38877233963409, 0.08943719180221617
2020jjh, ATLAS-ZTF, 91bg, SALT, 248.07225, 50.19053900000001, 0.047369437159089575, 6.671281903963041e-05, 0.0469537590570458, 58960.55189, 59072.19968750002, 1440.4758965147166, 0.0, 36.820925536858276, 0.02927930547730249, 10.88034546830369, 0.0010400038336614418, 58993.19003602701, 0.0652466596729937, 0.5471785843591959, 0.07303117833798944, 0.12088533342011318, 0.008376768912760095, 0.0014421877329203177, 1.3885995686587762e-05, 17.617136128610365, 0.04494142326961514
