# Data from 'ZTF' for 'SN ZTF2018ast'
ra, dec, filtercode, mjd, mag, magerr, flux, dflux, magzp, source
175.28217230000001, 24.821828499999999, zg, 58202.2896759, 15.0288916, 0.0206131469, 32623.425458240574, 619.3691049491345, 26.3127155, ZTF
175.28223170000001, 24.821821700000001, zg, 58205.228750000002, 15.0939007, 0.0204754882, 31290.221681602376, 590.0904492355573, 26.3324223, ZTF
175.28216950000001, 24.821854200000001, zg, 58205.261030100002, 15.0060434, 0.0206634551, 34016.51672447942, 647.3936881853039, 26.335268, ZTF
175.28220630000001, 24.821829000000001, zg, 58208.276585599997, 15.1239338, 0.0204147361, 19628.22374845465, 369.06295118501635, 25.8561363, ZTF
175.28222439999999, 24.821887700000001, zg, 58208.318449099999, 15.101965, 0.0204589926, 13578.845282763526, 255.87200089591911, 25.4341221, ZTF
175.28232299999999, 24.8219022, zg, 58215.262766200001, 14.7685051, 0.0212404095, 18246.042410973107, 356.94988420301576, 25.4214268, ZTF
175.28230980000001, 24.8218809, zg, 58216.261956000002, 14.8080759, 0.0211379118, 38230.17094874931, 744.2931147291048, 26.2640915, ZTF
175.28215639999999, 24.821811700000001, zg, 58229.273356500002, 15.0753489, 0.0205139257, 32242.714668208435, 609.1946185190299, 26.3464279, ZTF
175.28221160000001, 24.821828700000001, zg, 58230.295868100002, 15.1237459, 0.0204151124, 15251.474747735478, 286.7736839540536, 25.5820255, ZTF
175.2822578, 24.821815600000001, zg, 58230.308946800003, 15.1254835, 0.0204116534, 13605.38638500986, 255.77891761080733, 25.4597607, ZTF
175.2821916, 24.821847900000002, zg, 58234.377604200003, 15.0583382, 0.0205497686, 21126.537262293332, 399.86273844125935, 25.870409, ZTF
175.28214850000001, 24.821805099999999, zg, 58235.171851899999, 15.0858927, 0.0204919931, 31884.646030410982, 601.7851699038428, 26.3448467, ZTF
175.28215069999999, 24.8217879, zg, 58235.210104199999, 15.0857191, 0.0204923525, 31478.918269479716, 594.1379560429901, 26.3307686, ZTF
175.28212959999999, 24.821794400000002, zg, 58235.220219900002, 15.0701275, 0.020524865, 31160.490118172027, 589.0609986168707, 26.3041382, ZTF
175.2822486, 24.821785800000001, zg, 58235.220671299998, 15.0323944, 0.0206055194, 31911.62795027035, 605.6311523307472, 26.2922668, ZTF
175.28225029999999, 24.821893800000002, zg, 58236.1707523, 15.0600147, 0.0205462147, 30559.82901544694, 578.3069638785213, 26.272892, ZTF
175.28219490000001, 24.821832499999999, zg, 58236.187384299999, 14.9917259, 0.0206954777, 32319.41714370674, 616.048146726013, 26.2653847, ZTF
175.282138, 24.821801099999998, zg, 58236.190844899997, 15.0651598, 0.0205353275, 31043.920315141324, 587.1565005952308, 26.2951012, ZTF
175.28224750000001, 24.821811400000001, zg, 58236.191840300002, 15.0572395, 0.0205521025, 31243.862653470285, 591.420885603691, 26.2941513, ZTF
175.2821916, 24.821827299999999, zg, 58237.187152799997, 15.0012407, 0.0206741579, 32261.35766569347, 614.3079686630743, 26.2729473, ZTF
175.28219039999999, 24.8218414, zg, 58237.209236100003, 14.9936705, 0.0206911061, 33411.94208924665, 636.7384966495305, 26.3034248, ZTF
175.28224650000001, 24.821786899999999, zg, 58238.170115699999, 15.0921297, 0.0204791315, 31075.07603830836, 586.1373745962403, 26.3231602, ZTF
175.28222400000001, 24.821825, zg, 58242.203171300003, 15.1292391, 0.020404201, 30549.334934604365, 574.1125401274155, 26.3417435, ZTF
175.28218709999999, 24.8218344, zg, 58242.204085600002, 15.1144047, 0.0204338115, 30688.78396725819, 577.5701537841535, 26.3318539, ZTF
175.28220590000001, 24.821810299999999, zg, 58243.210057900003, 15.1392374, 0.0203844886, 29438.361900904212, 552.6995875626511, 26.3115215, ZTF
175.28215230000001, 24.821824500000002, zg, 58244.211192100003, 15.099472, 0.0204640795, 30260.18647594937, 570.3474370798964, 26.301651, ZTF
175.28220999999999, 24.8218733, zg, 58245.2333449, 15.3508492, 0.0200198255, 1583.6518775167858, 29.20086306571702, 23.3499985, ZTF
175.28218630000001, 24.821863799999999, zg, 58247.193055600001, 14.9447536, 0.0208031498, 34885.89585850697, 668.4280346102977, 26.3013783, ZTF
175.28222339999999, 24.821854999999999, zg, 58248.170972200001, 15.0236177, 0.0206246711, 33476.80788488091, 635.9262490075728, 26.3354778, ZTF
175.28214610000001, 24.821800400000001, zg, 58248.229016199999, 15.0280457, 0.0206149947, 32506.523114083295, 617.2049884451799, 26.307972, ZTF
175.28227649999999, 24.8218757, zg, 58249.228194399999, 14.858758, 0.0210102014, 34428.39047970419, 666.2275925647783, 26.2010498, ZTF
175.28222310000001, 24.821862400000001, zg, 58250.194455999997, 14.8004293, 0.0211575367, 39996.30578076809, 779.4004692047062, 26.305479, ZTF
175.2821864, 24.821846600000001, zg, 58258.169560200004, 15.0201674, 0.0206322409, 32477.38098853953, 617.1675453209211, 26.2991199, ZTF
175.28219659999999, 24.8218031, zg, 58262.214247700002, 15.0320415, 0.020606285, 61777.16296212678, 1172.4743274749833, 27.0091114, ZTF
175.2822046, 24.8218231, zg, 58263.250995399998, 14.9916458, 0.0206956603, 95847.0697267184, 1826.9800593565642, 27.4455929, ZTF
175.28228419999999, 24.821893299999999, zg, 58267.185208299998, 14.9196777, 0.0208622236, 33532.45882627641, 644.3200943523976, 26.2333412, ZTF
175.28230400000001, 24.8219083, zg, 58268.1683796, 14.8688908, 0.0209851619, 35957.5985988781, 694.9902055635769, 26.2583675, ZTF
175.28218570000001, 24.821845199999998, zg, 58274.221747700001, 14.9328098, 0.0208311509, 33566.820023421475, 644.0196891995545, 26.2475853, ZTF
175.28211379999999, 24.8218207, zg, 58276.215370400001, 15.11796, 0.0204266775, 29656.187579292906, 557.9415855407268, 26.2982483, ZTF
175.28216839999999, 24.821822900000001, zg, 58276.217222200001, 15.0897474, 0.0204840358, 30624.775943090142, 577.7821574302072, 26.3049297, ZTF
175.282196, 24.821822399999999, zg, 58277.193958299998, 15.040535, 0.0205878876, 29676.51369283508, 562.7303626704219, 26.2215672, ZTF
175.2822018, 24.821864300000001, zg, 58278.193553199999, 14.9650345, 0.0207561739, 32412.493299684753, 619.6342578542942, 26.2418156, ZTF
175.2821333, 24.821798399999999, zg, 58280.214444400001, 15.0804071, 0.0205033813, 30372.694369361558, 573.5674384203778, 26.2866154, ZTF
175.28217509999999, 24.821824700000001, zg, 58280.215370400001, 15.0630131, 0.020539863, 31192.74824008749, 590.1016956394269, 26.2981472, ZTF
175.28219100000001, 24.821840000000002, zg, 58282.245428200004, 15.008522, 0.020657951, 29895.603161985156, 568.8139554794656, 26.1975403, ZTF
175.28212529999999, 24.821870100000002, zg, 58283.255277800003, 15.0897541, 0.0204840191, 28190.218365995373, 531.8501574430402, 26.2150002, ZTF
175.2821816, 24.8218326, zg, 58283.260520800002, 15.0533609, 0.0205603633, 28657.356078884502, 542.6784605848036, 26.1964512, ZTF
175.28217989999999, 24.821839099999998, zg, 58284.215162, 15.1530867, 0.0203575492, 26168.84049014995, 490.665647374131, 26.1975479, ZTF
175.2821802, 24.821824800000002, zg, 58286.218205999998, 15.0254383, 0.0206206832, 30931.914424580405, 587.4697788685002, 26.2514553, ZTF
175.2822089, 24.821799500000001, zg, 58289.177303199998, 15.0206747, 0.0206311215, 30616.49282586104, 581.7735289898814, 26.2355633, ZTF
175.28219469999999, 24.821857900000001, zg, 58292.194884299999, 15.0505533, 0.0205663592, 30621.117783597947, 580.0349151875953, 26.2656059, ZTF
175.28216979999999, 24.821821199999999, zg, 58295.177662000002, 15.050581, 0.020566307, 29622.96735702605, 561.1262093367295, 26.2296524, ZTF
175.2832808, 24.819886799999999, zg, 58215.262766200001, 16.6355934, 0.021340033, 3268.3861388663254, 64.23979209175187, 25.4214268, ZTF
175.28311550000001, 24.819751700000001, zg, 58229.273356500002, 17.79603, 0.0345148556, 2631.2321076985672, 83.6451762861965, 26.3464279, ZTF
175.28315860000001, 24.819717300000001, zg, 58234.377604200003, 17.9559669, 0.0380836911, 1464.7949701337106, 51.37969879141425, 25.870409, ZTF
175.28321650000001, 24.819761199999999, zg, 58237.187152799997, 18.0937958, 0.041647248, 1869.2207782729386, 71.70056683964808, 26.2729473, ZTF
175.28320389999999, 24.819715200000001, zg, 58238.170115699999, 18.1327705, 0.0427439436, 1888.6691217280024, 74.35431006575615, 26.3231602, ZTF
175.28316559999999, 24.819881800000001, zg, 58242.203171300003, 18.1280212, 0.0426081195, 1929.696103914155, 75.72808370388195, 26.3417435, ZTF
175.28307770000001, 24.819898999999999, zg, 58242.204085600002, 18.0873909, 0.0414709002, 1985.1128470733179, 75.82358993458722, 26.3318539, ZTF
175.28309619999999, 24.819839000000002, zg, 58243.210057900003, 18.2145233, 0.0451798066, 1733.0028622463822, 72.11395715682174, 26.3115215, ZTF
175.28323499999999, 24.819748799999999, zg, 58244.211192100003, 18.255352, 0.0464676507, 1653.9394264778578, 70.78577578211315, 26.301651, ZTF
175.28314320000001, 24.819703400000002, zg, 58247.193055600001, 18.1626587, 0.0436128415, 1800.8927097581065, 72.33989984397978, 26.3013783, ZTF
175.2831903, 24.819727700000001, zg, 58248.170972200001, 18.1995716, 0.044720225, 1796.2322104841573, 73.98473796219554, 26.3354778, ZTF
175.28312109999999, 24.819846999999999, zg, 58258.169560200004, 18.3679981, 0.0502809174, 1487.4717281598053, 68.88546478479068, 26.2991199, ZTF
175.28313800000001, 24.819828300000001, zg, 58262.214247700002, 18.3013535, 0.0479778796, 3041.607427116568, 134.40638185329135, 27.0091114, ZTF
175.28307000000001, 24.820070000000001, zg, 58263.250995399998, 17.826828, 0.0351578742, 7038.918876651428, 227.9314471459908, 27.4455929, ZTF
175.28311070000001, 24.819915600000002, zg, 58274.221747700001, 18.0662746, 0.0408971384, 1872.9417902091075, 70.5493279800773, 26.2475853, ZTF
175.28315409999999, 24.819815200000001, zg, 58276.215370400001, 18.4893532, 0.0548425056, 1329.1011690481823, 67.13531149376155, 26.2982483, ZTF
175.28301310000001, 24.820238199999999, zg, 58276.217222200001, 18.2317333, 0.0457167439, 1695.4249110461128, 71.38870944921861, 26.3049297, ZTF
175.2832124, 24.819829599999998, zg, 58280.214444400001, 18.3744316, 0.0505106412, 1461.7514051923679, 68.0036277943919, 26.2866154, ZTF
175.2831071, 24.8199285, zg, 58280.215370400001, 18.3103867, 0.0482819788, 1567.127024799644, 69.68911366931826, 26.2981472, ZTF
175.2831999, 24.819801099999999, zg, 58283.255277800003, 18.5367241, 0.0567584336, 1178.4480442914726, 61.60507937364754, 26.2150002, ZTF
175.2830051, 24.819987300000001, zg, 58283.260520800002, 18.359375, 0.0499750674, 1364.0505970288723, 62.785527667573824, 26.1964512, ZTF
175.2830702, 24.819914399999998, zg, 58284.215162, 18.3564911, 0.0498733222, 1369.0607508753951, 62.88784295904844, 26.1975479, ZTF
175.28319819999999, 24.816532500000001, zg, 58202.2896759, 20.2256355, 0.180084586, 272.16482775225086, 45.14235604811946, 26.3127155, ZTF
175.2846327, 24.8196859, zg, 58205.261030100002, 18.9875717, 0.0792566463, 869.1175506501451, 63.44390285884047, 26.335268, ZTF
175.28220880000001, 24.821860600000001, zr, 58214.216967599998, 14.1591415, 0.021997299, 21003.864117631187, 425.54377124582567, 24.9648895, ZTF
175.28227459999999, 24.821896899999999, zr, 58215.240601899997, 14.1203508, 0.0220666062, 43585.81789448623, 885.8423207843567, 25.7187138, ZTF
175.28224560000001, 24.821864099999999, zr, 58215.2468171, 14.0980492, 0.0221070033, 22353.610535701566, 455.1486260787964, 24.9714184, ZTF
175.2822328, 24.821868899999998, zr, 58216.224120400002, 13.9995193, 0.0222900603, 80163.60510771887, 1645.7511353915847, 26.2594624, ZTF
175.2821683, 24.8218204, zr, 58217.240983800002, 14.0547552, 0.0221865363, 64694.20792395893, 1321.9973564613833, 26.0819187, ZTF
