# Data from 'ATLAS' for 'SN ATLAS2021mab'
RA, Dec, F, MJD, m, dm, uJy, duJy, zp, source
178.79438, -7.84308, o, 59248.580667, 20.72, 0.794, 19, 15, 20.703115997617928, ATLAS
178.79438, -7.84308, o, 59248.584354, -19.33, 0.246, -67, 16, nan, ATLAS
178.79438, -7.84308, o, 59248.5908, -18.641, 0.121, -127, 15, nan, ATLAS
178.79438, -7.84308, o, 59248.601857, -19.355, 0.283, -66, 19, nan, ATLAS
178.79438, -7.84308, o, 59252.575712, -18.47, 0.071, -149, 10, nan, ATLAS
178.79438, -7.84308, o, 59252.578936, -19.487, 0.2, -58, 12, nan, ATLAS
178.79438, -7.84308, o, 59252.589082, 19.686, 0.25, 48, 12, 19.69689690656103, ATLAS
178.79438, -7.84308, o, 59252.595068, 21.208, 1.045, 12, 12, 21.202046884880936, ATLAS
178.79438, -7.84308, c, 59254.640414, -18.924, 0.313, -98, 31, nan, ATLAS
178.79438, -7.84308, c, 59254.643617, -19.109, 0.229, -82, 19, nan, ATLAS
178.79438, -7.84308, c, 59254.653753, -18.215, 0.061, -188, 12, nan, ATLAS
178.79438, -7.84308, c, 59254.661102, -18.494, 0.107, -145, 16, nan, ATLAS
178.79438, -7.84308, c, 59254.67031, -20.254, 1.233, -29, 35, nan, ATLAS
178.79438, -7.84308, c, 59256.484334, 22.383, 2.171, 4, 9, 22.394850021680092, ATLAS
178.79438, -7.84308, c, 59256.48618, -20.82, 0.469, -17, 8, nan, ATLAS
178.79438, -7.84308, c, 59256.494972, 20.138, 0.302, 32, 10, 20.137125054200233, ATLAS
178.79438, -7.84308, c, 59256.529401, -19.007, 0.076, -91, 7, nan, ATLAS
178.79438, -7.84308, c, 59258.4935, -19.581, 0.185, -53, 10, nan, ATLAS
178.79438, -7.84308, c, 59258.495331, -18.748, 0.097, -115, 11, nan, ATLAS
178.79438, -7.84308, c, 59258.49997, -19.337, 0.162, -67, 11, nan, ATLAS
178.79438, -7.84308, c, 59258.510034, -19.552, 0.178, -55, 10, nan, ATLAS
178.79438, -7.84308, c, 59260.481099, -19.593, 0.152, -53, 8, nan, ATLAS
178.79438, -7.84308, c, 59260.48294, -19.065, 0.093, -86, 8, nan, ATLAS
178.79438, -7.84308, c, 59260.486637, -22.334, 2.171, -4, 9, nan, ATLAS
178.79438, -7.84308, c, 59260.508271, 20.054, 0.304, 34, 10, 20.07130270739436, ATLAS
178.79438, -7.84308, c, 59261.448195, -20.497, 0.451, -23, 10, nan, ATLAS
178.79438, -7.84308, c, 59261.452331, 19.604, 0.23, 52, 12, 19.609991640913, ATLAS
178.79438, -7.84308, c, 59261.463339, -21.147, 0.74, -13, 9, nan, ATLAS
178.79438, -7.84308, c, 59261.468873, -19.425, 0.172, -62, 11, nan, ATLAS
178.79438, -7.84308, c, 59262.485477, 20.026, 0.307, 35, 11, 20.03982988912431, ATLAS
178.79438, -7.84308, c, 59262.487765, -21.495, 1.122, -9, 10, nan, ATLAS
178.79438, -7.84308, c, 59262.490966, -19.457, 0.163, -60, 10, nan, ATLAS
178.79438, -7.84308, c, 59262.51972, -18.33, 0.058, -169, 10, nan, ATLAS
178.79438, -7.84308, c, 59266.637963, 18.349, 0.837, 166, 139, 18.34972977989986, ATLAS
178.79438, -7.84308, o, 59268.450439, -22.355, 3.243, -4, 14, nan, ATLAS
178.79438, -7.84308, o, 59268.453219, 24.558, 24.25, 0, 13, inf, ATLAS
178.79438, -7.84308, o, 59268.460019, 18.871, 0.15, 103, 15, 18.86790693823707, ATLAS
178.79438, -7.84308, o, 59268.46832, 19.586, 0.269, 53, 14, 19.589310325998028, ATLAS
178.79438, -7.84308, o, 59276.50661, 18.768, 0.124, 113, 14, 18.767303891291448, ATLAS
178.79438, -7.84308, o, 59276.509372, 20.439, 0.672, 24, 16, 20.449471895720983, ATLAS
178.79438, -7.84308, o, 59276.514437, -20.133, 0.458, -32, 15, nan, ATLAS
178.79438, -7.84308, o, 59276.524594, -20.13, 0.461, -32, 15, nan, ATLAS
178.79438, -7.84308, o, 59278.521033, 23.811, 49.5, 1, 54, 23.9, ATLAS
178.79438, -7.84308, o, 59278.524242, 22.097, 7.792, 5, 41, 22.15257498915995, ATLAS
178.79438, -7.84308, o, 59278.556029, -20.056, 0.592, -34, 20, nan, ATLAS
178.79438, -7.84308, o, 59278.585714, 18.913, 0.192, 99, 19, 18.910912013506124, ATLAS
178.79438, -7.84308, o, 59279.537325, 19.442, 0.179, 61, 11, 19.43667541247308, ATLAS
178.79438, -7.84308, o, 59279.556019, -18.735, 0.09, -116, 10, nan, ATLAS
178.79438, -7.84308, o, 59279.559267, 19.693, 0.247, 48, 12, 19.69689690656103, ATLAS
178.79438, -7.84308, o, 59279.570063, -21.481, 1.326, -9, 12, nan, ATLAS
178.79438, -7.84308, o, 59280.494895, -25.84, 66.0, 0, 11, inf, ATLAS
178.79438, -7.84308, o, 59280.500435, 18.1, 0.044, 209, 9, 18.099634284722363, ATLAS
178.79438, -7.84308, o, 59280.50413, -20.365, 0.398, -26, 10, nan, ATLAS
178.79438, -7.84308, o, 59280.533378, -18.198, 0.058, -191, 11, nan, ATLAS
178.79438, -7.84308, o, 59288.514367, -23.629, 12.733, -1, 16, nan, ATLAS
178.79438, -7.84308, o, 59288.514828, -19.221, 0.149, -74, 11, nan, ATLAS
178.79438, -7.84308, o, 59288.51774, 18.101, 0.095, 209, 20, 18.099634284722363, ATLAS
178.79438, -7.84308, o, 59288.5182, -17.897, 0.043, -252, 11, nan, ATLAS
178.79438, -7.84308, o, 59288.553371, -20.612, 0.542, -21, 11, nan, ATLAS
178.79438, -7.84308, o, 59292.465244, 19.652, 0.323, 50, 16, 19.65257498915995, ATLAS
178.79438, -7.84308, o, 59292.465704, 19.294, 0.155, 70, 11, 19.287254899964356, ATLAS
178.79438, -7.84308, o, 59292.468467, -21.002, 1.257, -14, 18, nan, ATLAS
178.79438, -7.84308, o, 59292.468928, -18.914, 0.111, -99, 11, nan, ATLAS
178.79438, -7.84308, o, 59292.474914, -21.339, 1.304, -11, 14, nan, ATLAS
178.79438, -7.84308, o, 59292.509735, -22.136, 3.042, -5, 15, nan, ATLAS
178.79438, -7.84308, o, 59292.510196, -18.92, 0.121, -98, 12, nan, ATLAS
178.79438, -7.84308, o, 59296.572784, -16.829, 0.019, -674, 13, nan, ATLAS
178.79438, -7.84308, o, 59296.573243, 20.528, 0.565, 22, 13, 20.543943297944484, ATLAS
178.79438, -7.84308, o, 59296.576475, 19.001, 0.168, 91, 15, 19.002396519197266, ATLAS
178.79438, -7.84308, o, 59296.576935, -18.852, 0.111, -104, 12, nan, ATLAS
178.79438, -7.84308, o, 59296.583393, 21.337, 2.129, 11, 23, 21.296518287104437, ATLAS
178.79438, -7.84308, o, 59296.584313, -18.438, 0.088, -153, 13, nan, ATLAS
178.79438, -7.84308, o, 59296.593533, -19.217, 0.245, -75, 18, nan, ATLAS
178.79438, -7.84308, o, 59296.594473, -20.43, 0.651, -24, 16, nan, ATLAS
178.79438, -7.84308, o, 59304.440456, 18.548, 0.134, 138, 19, 18.550302283996906, ATLAS
178.79438, -7.84308, o, 59304.448992, -19.117, 0.211, -82, 17, nan, ATLAS
178.79438, -7.84308, o, 59304.460842, 20.772, 1.598, 18, 28, 20.761818737241732, ATLAS
178.79438, -7.84308, o, 59304.46638, -18.745, 0.201, -115, 23, nan, ATLAS
178.79438, -7.84308, o, 59305.495574, -20.499, 1.168, -23, 27, nan, ATLAS
178.79438, -7.84308, o, 59305.498782, 22.318, 5.355, 4, 23, 22.394850021680092, ATLAS
178.79438, -7.84308, o, 59305.50521, 18.56, 0.212, 137, 29, 18.558198582108982, ATLAS
178.79438, -7.84308, o, 59305.515781, -20.286, 0.842, -28, 24, nan, ATLAS
178.79438, -7.84308, o, 59306.427432, -23.144, 7.941, -2, 16, nan, ATLAS
178.79438, -7.84308, o, 59306.43614, -19.017, 0.153, -90, 14, nan, ATLAS
