2024ejr 0.04 105.990191687 27.9023611064
filter ATri
60684.368818 20.997 1.112
60684.371617 22.197 3.667
60691.492915 21.469 2.338
60692.465013 20.976 1.341
60695.364852 15.728 0.007
60695.408539 22.769 4.667
60697.277705 20.474 0.543
60700.451609 21.523 1.38
60700.470935 22.018 2.431
60703.408848 21.601 1.79
60708.400225 20.767 0.773
60710.385115 21.364 1.402
