2024sza 0.027 261.722448 56.848197
filter ATri
60683.648335 19.609 0.252
60683.652513 19.453 0.222
60687.661386 20.671 1.484
60687.666758 19.073 0.358
60693.666635 21.24 1.559
60697.659572 20.917 0.792
60697.666933 19.985 0.578
60709.632964 20.685 0.625
60709.63852 20.292 0.425
60709.660577 21.375 1.358
60709.671366 18.759 0.345
60710.619751 19.802 0.399
