2025gp 0.03 248.0554741 44.4028821
filter ATri
60695.64598 16.808 0.024
60695.650092 16.785 0.024
60695.65794 16.811 0.024
60695.669458 16.97 0.035
60697.588079 16.623 0.064
60697.594981 16.785 0.025
60697.596705 16.795 0.025
60697.603916 16.804 0.022
60697.636632 16.753 0.064
60699.640817 16.803 0.026
60699.653678 16.858 0.028
60699.658791 16.857 0.026
60699.663881 16.876 0.026
60709.626502 17.402 0.038
60709.629726 17.481 0.039
60709.652528 17.363 0.034
60709.665741 17.316 0.047
60711.580134 17.407 0.037
60711.58386 17.316 0.038
60711.586604 17.352 0.04
60711.599376 17.498 0.042
60715.579985 18.359 0.829
60715.592577 17.393 0.364
60716.524044 17.401 0.064
60716.52825 17.667 0.109
60716.533441 17.532 0.083
60716.556449 17.582 0.066
60719.56182 17.405 0.065
60719.584645 17.563 0.065
60719.602062 17.462 0.06
60719.612712 17.672 0.069
60723.575367 17.571 0.044
60723.595011 17.69 0.05
60723.598219 17.62 0.045
