2021lnf 0.038934 144.50762500000002 -16.85871900000001
filter r
59338.16609949991 18.339754 0.09187083161183053
59341.19320600014 17.782804 0.06524700942820187
filter ATgr
59337.290365 18.878499570595203 0.13837814374392157
59337.29361 18.796518287104437 0.11844394961018183
59337.299571 18.631975075880327 0.1272347114953125
59337.309683 19.076452685714266 0.2426939751816471
59349.242712 17.671595765414317 0.07004749708129032
59349.245934 17.584151806525387 0.05493308178845239
59349.251438 17.63373741898782 0.043970625114890964
59349.261573 17.668099027432906 0.041893358383022515
59367.258706 19.76696871556164 0.2654021833857778
59367.262851 20.10371515030528 0.329010971139394
59367.269323 19.089301784845293 0.11632887908142858
59367.279932 19.014393726401686 0.12063735608444445
filter ATri
59321.303741 19.97949568983251 0.41081910450378384
59321.313376 21.034679910804403 0.6204206884342858
59323.322456 19.287254899964356 0.12408413768685715
59323.328012 19.79136830878453 0.1974065826836364
59323.339079 19.30287727315686 0.18882368778434783
59328.320184 21.95462187404089 3.619120682533334
59328.344172 19.351140161145327 0.42771426248121214
59331.338754 20.647425010840045 1.4114570661880002
59332.301231 20.543943297944484 0.9870329134181819
59332.310461 19.529529932484497 0.40715107678500007
59333.337095 20.889700043360186 1.221453230355
59333.354072 21.4 2.7143405119
59333.359114 22.394850021680092 6.24298317737
59334.293788 21.296518287104437 1.08573620476
59334.298445 19.226920700672558 0.17606533050162165
59334.314522 19.950541008457975 0.3142920592726316
59335.294462 19.27185412820231 0.15292059221971832
59335.297692 19.051201868453454 0.11231753842344828
59335.303226 19.287254899964356 0.13959465489771428
59335.317529 20.00924374808178 0.30159339021111115
59343.271367 17.817576772813986 0.04006406659630997
59343.274588 18.232070678992464 0.058688443500540546
59343.281041 17.858398731654297 0.045758997135478936
59343.291663 17.7782342002373 0.042502129011957296
59344.283698 17.68215406130703 0.04243920018605863
59344.286481 17.7782342002373 0.042502129011957296
59344.292957 17.657675879816964 0.034577586138853506
59344.303114 17.995680409956016 0.04720592194608696
59348.259633 17.98628003777275 0.046798974343103455
59348.265174 17.555452262316813 0.03776473755686957
59348.272546 17.664613514953892 0.03827916106525641
59348.275764 17.590633832971086 0.03900848639856288
59353.249307 17.57450075449229 0.06405523331917405
59353.253435 18.02437995416459 0.0920936959394643
59353.258921 18.12592458143525 0.11708919855254904
59353.26952 18.06386562212267 0.11561079958092593
59355.273071 18.203115997617928 0.1028592193983158
59355.277703 18.22039598365875 0.09289721538053476
59355.285087 18.019543704721592 0.09650988486755557
59355.297544 18.542462999364762 0.1640320884889209
59357.275565 18.169359821608808 0.1938814651357143
59357.278777 18.232070678992464 0.1701964861515676
59357.284326 19.1697634932738 0.4036711530517949
59357.296757 17.862566630072955 0.11692543743569232
59359.248262 18.180495675174434 0.15110761612639179
59359.251489 18.330283238465814 0.15418739002508877
59359.257015 18.34972977989986 0.1569739091219277
59359.268534 18.08416034767812 0.12803492980660378
59361.254058 18.12592458143525 0.13305590744607843
59361.257826 18.910912013506124 0.25224174454020204
59361.264241 18.104841662593095 0.12527725439538465
59361.279513 18.52695221836155 0.21560718959773054
59362.266728 19.30287727315686 0.2989708389918841
59362.276823 18.323877696554312 0.11496030403341177
59362.280507 18.152867308975733 0.08183941241909548
59362.284637 18.417188504113845 0.1948757290594872
59362.287392 18.967180366000754 0.7623254203634043
59362.291079 21.514393726401686 3.4984833264488895
59362.302105 19.21234684152075 0.3040061373328001
59366.286102 19.491430016092657 0.24335466658413796
59366.289324 18.836735336838075 0.14339912138339625
59366.295276 18.417188504113845 0.1113575594625641
59373.253673 22.707196863200842 7.238241365066668
59373.259187 19.609991640913 0.31319313598846155
59373.271553 18.323877696554312 0.09580025336117648
