# Object Type: Normal SNe Ia (HSF); Date: 2004-2009, 2019-2023; Number SNe: 738
Name,RA,DEC,Redshift,Redshift Error,Discovery Date (UT),Data Source(s)
SN 2022rbp,25.2798614,-13.3572934,0.06610906802732176,0.00013175781760327006,2022-08-10 09:37:26.400,HSF
SN 2020jht,179.80122268571,11.505493042857,0.030441059327783362,1.0006922855944561e-05,2020-05-09 04:03:46.656,HSF
SN 2020mbf,305.886333,19.7111,0.04734942331337769,0.0001467682018871869,2020-06-09 11:24:00.000,HSF
SN 2020jgl,142.243442219,-14.8055223401,0.00676534697880892,1.4343256093520538e-05,2020-05-07 06:54:43.200,HSF
SN 2019rrt,154.332458,36.651061,0.03349650643979843,1.3342563807926082e-05,2019-10-02 12:07:14.000,HSF
SN 2021lma,160.383852098,52.6510161544,0.06425445165802003,2.6685127615852164e-05,2021-05-06 04:48:58.000,HSF
SN 2021bnb,79.7020475,-36.62507,0.041943350022501234,7.772043418116943e-05,2021-02-02 08:47:02.400,HSF
SN 2021hwk,214.761322569,-7.39058508787,0.04111622062408591,5.7871304469971074e-06,2021-04-03 09:59:49.004,HSF
SN 2019hvj,231.278875,11.585211,0.08524263809198296,1.1674743331935322e-05,2019-06-20 04:31:47.000,HSF
SN 2021adu,92.225167,-39.693589,0.053420289845984056,0.0001300899971272793,2021-01-13 09:12:57.600,HSF
SN 2020uea,37.8382026836,43.464791341,0.01954352033765973,0.00022649002063954528,2020-09-24 09:37:11.004,HSF
SN 2021zqc,278.108917,51.568781,0.033335374693592434,3.794588879554167e-06,2021-09-27 04:24:57.600,HSF
SN 2021hlw,150.97594894,49.41953297,0.05077412587877712,1.7011768855105755e-05,2021-03-29 04:15:53.997,HSF
SN 2021dov,134.077958,-0.442139,0.012698117976003254,1.0674051046340867e-05,2021-02-22 06:36:00.000,HSF
SN 2022mzs,205.6478611,30.190925266666667,0.034737364873935556,4.3363332375759766e-05,2022-06-17 06:52:51.001,HSF
SN 2021huu,178.611208,55.073981,0.046188620262088115,1.6678204759907602e-05,2021-04-03 06:50:49.920,HSF
SN 2021huu,178.611208,55.073981,0.046188620262088115,1.6678204759907602e-05,2021-04-03 06:50:49.920,HSF
SN 2021huu,178.611208,55.073981,0.046188620262088115,1.6678204759907602e-05,2021-04-03 06:50:49.920,HSF
SN 2021huu,178.611208,55.073981,0.046188620262088115,1.6678204759907602e-05,2021-04-03 06:50:49.920,HSF
SN 2021huu,178.611208,55.073981,0.046188620262088115,1.6678204759907602e-05,2021-04-03 06:50:49.920,HSF
SN 2021huu,178.611208,55.073981,0.046188620262088115,1.6678204759907602e-05,2021-04-03 06:50:49.920,HSF
SN 2021huu,178.611208,55.073981,0.046188620262088115,1.6678204759907602e-05,2021-04-03 06:50:49.920,HSF
SN 2021huu,178.611208,55.073981,0.046188620262088115,1.6678204759907602e-05,2021-04-03 06:50:49.920,HSF
SN 2021wvj,222.3415533,9.6752903,0.028159480916627996,6.671281903963041e-06,2021-08-24 04:24:32.000,HSF
SN 2020ocv,266.653851576,20.5047249554,0.062160237437430134,2.8118561104933937e-06,2020-07-08 05:29:28.320,HSF
SN 2020obe,24.191333,-11.73425,0.04349809227021982,0.00013075712531767562,2020-07-06 13:35:02.400,HSF
