# Created by M.D. Woods -- 2025-05-14 14:35:57.852295 -- NUM TARGETS: 34
objname, origin, subtype, algo, ra, dec, z, z_cmb, MJDs, MJDe, mu, mu_err, hostMass, hostMass_err, Tmax, Tmax_err, stretch, stretch_err, color, color_err, amplitude, amplitude_err, peak_mag, peak_mag_err
2006py, CSP, 91bg, SNPY, 340.425208, -0.136917, 0.0579, 0.056012583196732316, 54069.54, 54091.54, 36.81599168990577, 0.10313574635988099, 9.823198012980697, 0.10022784130563545, 54071.47348524334, 0.2877641544337388, 0.9455341029589669, 0.02597530576486343, 0.12863200469003722, 0.014183054984356949, nan, nan, 18.129800000000003, 0.02026666666666667
2008hu, CSP, 91bg, SNPY, 122.31150000000001, -18.65363900000001, 0.049700000000000015, 0.050623552738642955, 54806.76, 54844.84, 36.74249381324528, 0.10131898843917775, 10.107881298730984, 0.10025303477236472, 54807.08795742272, 0.17177447893273293, 0.7821506823634329, 0.008034979367727315, 0.046117371084234214, 0.01137610869407544, nan, nan, 18.246000000000002, 0.011199999999999998
2006ej, CSP, 91bg, SNPY, 9.749042, -9.015721999999998, 0.020500000000000004, 0.018069132884244235, 53979.74, 54046.74, 34.741862380437055, 0.10077675243159585, 10.279706103453293, 0.10000325657534177, 53976.76437201089, 0.15007475040876278, 0.8248134826292026, 0.004554998767006024, 0.03354817941639823, 0.006063249361689839, nan, nan, 15.919, 0.0082
2008gl, CSP, 91bg, SNPY, 20.228417, 4.805306000000001, 0.03400000000000001, 0.032742544933472346, 54765.7, 54844.55, 35.71450821451583, 0.10027293965319548, 11.359976556285138, 0.10022198065335708, 54768.64878679134, 0.05418845477080587, 0.8505252713990232, 0.00428138216004161, 0.09145042856276614, 0.004188026623336964, nan, nan, 16.98808, 0.0067599999999999995
2008go, CSP, 91bg, SNPY, 332.68679200000014, -20.788110999999994, 0.06230000000000001, 0.06071935029069365, 54765.61, 54776.58, 36.978409864199584, 0.1031783781340422, 10.908950503065558, 0.1000150006443601, 54766.36885679717, 0.2664246380653513, 0.9096623645249373, 0.031946731473669734, 0.11190303433191218, 0.012049216445342738, nan, nan, 18.214350000000003, 0.012300000000000002
2008bq, CSP, 91bg, SNPY, 100.26045799999999, -38.038611, 0.034, 0.035317653145700935, 54562.49, 54606.46, 35.77514409081165, 0.10139082777374037, 11.946576632579085, 0.1891837152082599, 54562.919323585986, 0.09509323782504203, 1.1422063984613742, 0.012079571355954376, 0.11233600943270154, 0.008303822007213075, nan, nan, 17.035999999999998, 0.007416666666666666
2008bf, CSP, 91bg, SNPY, 181.012083, 20.245167000000002, 0.023500000000000004, 0.024411752508128857, 54547.73, 54646.49, 35.04256241350599, 0.10029495646219963, 9.335821037180079, 0.10474959584291142, 54555.133044963346, 0.03210668565670411, 1.0271254011355468, 0.004641318122869112, -0.0025464571881786808, 0.003017681819250161, nan, nan, 16.004266666666663, 0.008133333333333334
2006lu, CSP, 91bg, SNPY, 138.82345800000004, -25.60008299999999, 0.053399999999999996, 0.055620130925735006, 54040.84, 54137.75, 36.853926508416144, 0.10115350857316646, 10.312301203111709, 0.10005269717103293, 54034.851218581236, 0.1769743104609552, 1.0575240002390307, 0.00870780950374526, -0.0028964472667189645, 0.006217063121398098, nan, nan, nan, nan
2008cf, CSP, 91bg, SNPY, 211.885667, -26.551832999999995, 0.04599999999999999, 0.04668465270812782, 54595.77, 54654.65, 36.46828990608607, 0.10379020529552949, 8.754352914249603, 0.10048998277034027, 54594.86776139872, 0.27507212943933596, 1.1285091558532558, 0.02564547315725578, -0.034865374058332135, 0.013811166199097755, nan, nan, 17.39193333333333, 0.006866666666666669
2007jg, CSP, 91bg, SNPY, 52.461750000000016, 0.056833000000000015, 0.03710000000000001, 0.035639792744478135, 54363.82, 54425.78, 36.22073646096834, 0.10121844270524001, 8.983217199440995, 0.10114633276657468, 54366.73532512652, 0.12110002523367688, 0.930839875459897, 0.00916179601869837, 0.12073858353648607, 0.007843441179502031, nan, nan, 17.651450000000004, 0.010400000000000001
2007jd, CSP, 91bg, SNPY, 44.97237499999999, 1.1607220000000003, 0.07259999999999998, 0.0717710864312675, 54362.83, 54409.83, 37.588129259272904, 0.10670657062881753, 10.066482342060203, 0.1001075447532651, 54361.422493491904, 0.8300982294528686, 0.9073026267793196, 0.02728844560540727, 0.18984060819262355, 0.018577845774286138, nan, nan, 19.09295, 0.023550000000000005
2005hc, CSP, 91bg, SNPY, 29.19975, -0.21372200000000008, 0.0459, 0.04394137948007002, 53662.72, 53755.61, 36.58241108580918, 0.10071372128646744, 10.515068680685955, 0.10001325769290403, 53667.55547412357, 0.057940152744708484, 1.1335442353316147, 0.011277025827654007, 0.029073731316823653, 0.005447519666580266, nan, nan, 17.538700000000002, 0.0088
2008bz, CSP, 91bg, SNPY, 189.74058300000007, 11.1295, 0.06029999999999998, 0.061705666074794226, 54580.72, 54651.52, 37.19998555384424, 0.10089381172941364, 10.467466688012156, 0.10003190480939134, 54579.36309648373, 0.20730818829483164, 0.9256249302857833, 0.009888227003275215, -0.0019822058086656556, 0.006543606795122222, nan, nan, 18.170866666666665, 0.01266666666666667
2005iq, CSP, 91bg, SNPY, 359.63541699999996, -18.709167000000004, 0.033999999999999996, 0.032251788271707396, 53682.55, 53755.55, 35.93284906450875, 0.10048731396019125, 10.473486783488507, 0.10000588792375244, 53688.09309924042, 0.04857675811733587, 0.8721123931193404, 0.0054475165569935575, 0.011435572130106838, 0.005679299412701801, nan, nan, 17.008760000000002, 0.01052
