# Combination of '2023sps' data from 'ATLAS', 'ZTF'
filter, zp, ra, dec, mjd, mag, dmag, flux, dflux, source
o, 23.9, 356.06338, -23.52914, 60106.358969, 19.039, 0.316, 88.0, 28.0, ATLAS
c, 23.9, 356.06338, -23.52914, 60110.347655, 21.177, 0.747, 12.0, 9.0, ATLAS
c, 23.9, 356.06338, -23.52914, 60112.367884, 21.257, 0.962, 11.0, 11.0, ATLAS
o, 23.9, 356.06338, -23.52914, 60126.058605, 19.975, 0.422, 37.0, 16.0, ATLAS
o, 23.9, 356.06338, -23.52914, 60127.294732, 19.645, 0.558, 50.0, 28.0, ATLAS
o, 23.9, 356.06338, -23.52914, 60128.364576, 19.709, 0.702, 48.0, 33.0, ATLAS
o, 23.9, 356.06338, -23.52914, 60128.382682, 19.235, 0.505, 74.0, 37.0, ATLAS
o, 23.9, 356.06338, -23.52914, 60128.394595, 19.459, 0.638, 60.0, 38.0, ATLAS
c, 23.9, 356.06338, -23.52914, 60138.07409, 20.505, 0.381, 23.0, 9.0, ATLAS
o, 23.9, 356.06338, -23.52914, 60139.292128, 19.916, 0.296, 39.0, 12.0, ATLAS
o, 23.9, 356.06338, -23.52914, 60139.29758, 20.741, 0.746, 18.0, 14.0, ATLAS
c, 23.9, 356.06338, -23.52914, 60147.03529, 20.339, 0.351, 27.0, 9.0, ATLAS
c, 23.9, 356.06338, -23.52914, 60147.040448, 20.199, 0.323, 30.0, 10.0, ATLAS
c, 23.9, 356.06338, -23.52914, 60150.068466, 20.891, 0.654, 16.0, 10.0, ATLAS
o, 23.9, 356.06338, -23.52914, 60154.256944, 19.473, 0.293, 59.0, 17.0, ATLAS
o, 23.9, 356.06338, -23.52914, 60154.259722, 20.013, 0.454, 36.0, 16.0, ATLAS
o, 23.9, 356.06338, -23.52914, 60154.265453, 19.109, 0.598, 82.0, 49.0, ATLAS
o, 23.9, 356.06338, -23.52914, 60157.204873, 19.786, 0.824, 44.0, 36.0, ATLAS
o, 23.9, 356.06338, -23.52914, 60157.23746, 19.215, 0.489, 75.0, 37.0, ATLAS
