# Combination of '2024xhs' data from 'ATLAS', 'ZTF'
filter, zp, ra, dec, mjd, mag, dmag, flux, dflux, source
o, 23.9, 353.4826, -23.72858, 60490.331546, 20.652, 0.882, 20.0, 18.0, ATLAS
c, 23.9, 353.4826, -23.72858, 60521.243997, 17.98, 0.787, 233.0, 184.0, ATLAS
o, 23.9, 353.4826, -23.72858, 60522.943669, 20.281, 0.566, 28.0, 16.0, ATLAS
o, 23.9, 353.4826, -23.72858, 60539.957225, 19.827, 0.76, 43.0, 32.0, ATLAS
o, 23.9, 353.4826, -23.72858, 60544.389269, 19.534, 0.749, 56.0, 42.0, ATLAS
o, 23.9, 353.4826, -23.72858, 60544.399461, 19.504, 0.589, 57.0, 34.0, ATLAS
o, 23.9, 353.4826, -23.72858, 60545.347032, 20.009, 0.706, 36.0, 25.0, ATLAS
o, 23.9, 353.4826, -23.72858, 60545.351643, 19.466, 0.374, 59.0, 22.0, ATLAS
o, 23.9, 353.4826, -23.72858, 60545.35752, 20.156, 0.791, 32.0, 25.0, ATLAS
o, 23.9, 353.4826, -23.72858, 60547.425423, 19.274, 0.762, 71.0, 54.0, ATLAS
o, 23.9, 353.4826, -23.72858, 60552.035485, 20.438, 0.637, 24.0, 16.0, ATLAS
o, 23.9, 353.4826, -23.72858, 60553.286777, 19.646, 0.285, 50.0, 14.0, ATLAS
o, 23.9, 353.4826, -23.72858, 60562.920493, 19.804, 0.396, 44.0, 17.0, ATLAS
o, 23.9, 353.4826, -23.72858, 60565.199026, 19.731, 0.746, 46.0, 35.0, ATLAS
o, 23.9, 353.4826, -23.72858, 60566.885546, 20.114, 0.767, 33.0, 25.0, ATLAS
o, 23.9, 353.4826, -23.72858, 60573.182547, 19.664, 0.584, 50.0, 29.0, ATLAS
o, 23.9, 353.4826, -23.72858, 60574.184872, 20.311, 0.619, 27.0, 17.0, ATLAS
c, 23.9, 353.4826, -23.72858, 60577.222041, 20.006, 0.517, 36.0, 19.0, ATLAS
c, 23.9, 353.4826, -23.72858, 60577.225197, 20.535, 0.586, 22.0, 13.0, ATLAS
o, 23.9, 353.4826, -23.72858, 60579.969696, 19.425, 0.203, 62.0, 12.0, ATLAS
c, 23.9, 353.4826, -23.72858, 60581.224503, 20.218, 0.419, 30.0, 12.0, ATLAS
c, 23.9, 353.4826, -23.72858, 60581.226766, 19.833, 0.259, 42.0, 11.0, ATLAS
c, 23.9, 353.4826, -23.72858, 60581.227744, 20.307, 0.475, 27.0, 13.0, ATLAS
c, 23.9, 353.4826, -23.72858, 60581.230105, 20.083, 0.366, 34.0, 12.0, ATLAS
c, 23.9, 353.4826, -23.72858, 60581.233807, 19.929, 0.332, 39.0, 13.0, ATLAS
c, 23.9, 353.4826, -23.72858, 60581.243873, 19.935, 0.386, 39.0, 15.0, ATLAS
c, 23.9, 353.4826, -23.72858, 60581.247533, 19.838, 0.239, 42.0, 10.0, ATLAS
c, 23.9, 353.4826, -23.72858, 60582.164916, 19.816, 0.233, 43.0, 10.0, ATLAS
c, 23.9, 353.4826, -23.72858, 60585.170901, 19.665, 0.213, 50.0, 10.0, ATLAS
o, 23.9, 353.4826, -23.72858, 60593.086146, 19.295, 0.289, 70.0, 20.0, ATLAS
o, 23.9, 353.4826, -23.72858, 60595.829196, 18.455, 0.216, 151.0, 33.0, ATLAS
o, 23.9, 353.4826, -23.72858, 60595.843457, 19.326, 0.461, 68.0, 31.0, ATLAS
o, 23.9, 353.4826, -23.72858, 60595.848464, 18.596, 0.274, 132.0, 36.0, ATLAS
o, 23.9, 353.4826, -23.72858, 60600.413449, 18.351, 0.372, 166.0, 62.0, ATLAS
o, 23.9, 353.4826, -23.72858, 60600.418986, 18.117, 0.241, 206.0, 50.0, ATLAS
o, 23.9, 353.4826, -23.72858, 60600.422454, 18.942, 0.517, 96.0, 50.0, ATLAS
o, 23.9, 353.4826, -23.72858, 60600.451909, 18.498, 0.596, 145.0, 86.0, ATLAS
o, 23.9, 353.4826, -23.72858, 60601.130784, 18.972, 0.336, 94.0, 32.0, ATLAS
o, 23.9, 353.4826, -23.72858, 60601.132139, 19.1, 0.278, 83.0, 23.0, ATLAS
o, 23.9, 353.4826, -23.72858, 60601.133959, 19.736, 0.611, 46.0, 28.0, ATLAS
o, 23.9, 353.4826, -23.72858, 60601.135331, 19.478, 0.406, 59.0, 24.0, ATLAS
o, 23.9, 353.4826, -23.72858, 60601.14083, 19.169, 0.391, 78.0, 30.0, ATLAS
o, 23.9, 353.4826, -23.72858, 60601.155345, 19.09, 0.352, 84.0, 30.0, ATLAS
o, 23.9, 353.4826, -23.72858, 60602.131215, 18.922, 0.266, 98.0, 26.0, ATLAS
o, 23.9, 353.4826, -23.72858, 60602.153367, 19.052, 0.279, 87.0, 24.0, ATLAS
o, 23.9, 353.4826, -23.72858, 60605.180313, 19.775, 0.324, 45.0, 14.0, ATLAS
o, 23.9, 353.4826, -23.72858, 60606.147532, 19.479, 0.232, 59.0, 14.0, ATLAS
o, 23.9, 353.4826, -23.72858, 60613.174368, 20.036, 0.658, 35.0, 23.0, ATLAS
o, 23.9, 353.4826, -23.72858, 60622.068817, 19.58, 0.409, 54.0, 22.0, ATLAS
o, 23.9, 353.4826, -23.72858, 60622.080027, 19.635, 0.425, 51.0, 22.0, ATLAS
o, 23.9, 353.4826, -23.72858, 60623.817504, 18.826, 0.333, 107.0, 36.0, ATLAS
o, 23.9, 353.4826, -23.72858, 60623.820689, 19.411, 0.407, 62.0, 25.0, ATLAS
o, 23.9, 353.4826, -23.72858, 60623.826611, 20.125, 0.988, 32.0, 32.0, ATLAS
o, 23.9, 353.4826, -23.72858, 60626.913596, 19.188, 0.427, 77.0, 33.0, ATLAS
o, 23.9, 353.4826, -23.72858, 60629.078125, 18.824, 0.424, 107.0, 45.0, ATLAS
o, 23.9, 353.4826, -23.72858, 60629.099813, 18.675, 0.335, 123.0, 41.0, ATLAS
o, 23.9, 353.4826, -23.72858, 60630.084585, 19.136, 0.444, 80.0, 36.0, ATLAS
o, 23.9, 353.4826, -23.72858, 60630.097511, 19.527, 0.517, 56.0, 29.0, ATLAS
o, 23.9, 353.4826, -23.72858, 60630.849744, 19.86, 0.643, 41.0, 27.0, ATLAS
o, 23.9, 353.4826, -23.72858, 60630.858105, 19.818, 0.542, 43.0, 23.0, ATLAS
o, 23.9, 353.4826, -23.72858, 60631.847227, 20.315, 0.743, 27.0, 20.0, ATLAS
o, 23.9, 353.4826, -23.72858, 60633.098123, 20.194, 0.469, 30.0, 14.0, ATLAS
o, 23.9, 353.4826, -23.72858, 60634.854251, 20.712, 0.896, 19.0, 17.0, ATLAS
o, 23.9, 353.4826, -23.72858, 60638.844965, 20.144, 0.879, 32.0, 28.0, ATLAS
c, 23.9, 353.4826, -23.72858, 60641.098527, 20.634, 0.683, 20.0, 14.0, ATLAS
o, 23.9, 353.4826, -23.72858, 60643.849129, 21.029, 0.918, 14.0, 13.0, ATLAS
o, 23.9, 353.4826, -23.72858, 60646.88251, 20.498, 0.694, 23.0, 16.0, ATLAS
o, 23.9, 353.4826, -23.72858, 60646.887556, 20.207, 0.544, 30.0, 16.0, ATLAS
o, 23.9, 353.4826, -23.72858, 60650.043249, 19.707, 0.381, 48.0, 18.0, ATLAS
o, 23.9, 353.4826, -23.72858, 60650.048748, 20.301, 0.64, 28.0, 18.0, ATLAS
o, 23.9, 353.4826, -23.72858, 60650.794973, 20.925, 0.982, 16.0, 15.0, ATLAS
o, 23.9, 353.4826, -23.72858, 60651.78761, 20.183, 0.823, 31.0, 25.0, ATLAS
o, 23.9, 353.4826, -23.72858, 60653.063643, 19.817, 0.479, 43.0, 21.0, ATLAS
o, 23.9, 353.4826, -23.72858, 60653.066944, 19.376, 0.441, 64.0, 28.0, ATLAS
o, 23.9, 353.4826, -23.72858, 60654.039408, 20.215, 0.937, 30.0, 28.0, ATLAS
o, 23.9, 353.4826, -23.72858, 60654.788528, 19.819, 0.65, 43.0, 28.0, ATLAS
o, 23.9, 353.4826, -23.72858, 60655.825762, 20.183, 0.777, 31.0, 24.0, ATLAS
o, 23.9, 353.4826, -23.72858, 60655.855992, 19.746, 0.774, 46.0, 36.0, ATLAS
o, 23.9, 353.4826, -23.72858, 60658.078935, 19.608, 0.91, 52.0, 47.0, ATLAS
o, 23.9, 353.4826, -23.72858, 60658.081684, 18.989, 0.461, 92.0, 42.0, ATLAS
o, 23.9, 353.4826, -23.72858, 60658.086243, 19.265, 0.496, 72.0, 36.0, ATLAS
o, 23.9, 353.4826, -23.72858, 60658.852668, 19.407, 0.611, 63.0, 38.0, ATLAS
o, 23.9, 353.4826, -23.72858, 60661.083265, 20.253, 0.968, 29.0, 28.0, ATLAS
