# Combination of '2024zls' data from 'ATLAS', 'ZTF'
filter, zp, ra, dec, mjd, mag, dmag, flux, dflux, source
o, 23.9, 11.66844, -14.33536, 60618.373702, 19.509, 0.288, 57.0, 16.0, ATLAS
o, 23.9, 11.66844, -14.33536, 60621.102497, 19.527, 0.305, 56.0, 17.0, ATLAS
o, 23.9, 11.66844, -14.33536, 60623.84916, 20.267, 0.758, 28.0, 22.0, ATLAS
o, 23.9, 11.66844, -14.33536, 60623.856644, 19.894, 0.54, 40.0, 22.0, ATLAS
o, 23.9, 11.66844, -14.33536, 60623.872883, 20.317, 0.842, 27.0, 23.0, ATLAS
o, 23.9, 11.66844, -14.33536, 60628.893226, 19.876, 0.766, 41.0, 31.0, ATLAS
o, 23.9, 11.66844, -14.33536, 60630.438926, 19.157, 0.437, 79.0, 34.0, ATLAS
o, 23.9, 11.66844, -14.33536, 60630.445036, 19.423, 0.497, 62.0, 31.0, ATLAS
o, 23.9, 11.66844, -14.33536, 60630.450121, 19.929, 0.877, 39.0, 34.0, ATLAS
o, 23.9, 11.66844, -14.33536, 60632.865413, 20.537, 0.75, 22.0, 17.0, ATLAS
o, 23.9, 11.66844, -14.33536, 60634.332698, 19.662, 0.267, 50.0, 13.0, ATLAS
o, 23.9, 11.66844, -14.33536, 60634.343232, 20.368, 0.605, 26.0, 16.0, ATLAS
c, 23.9, 11.66844, -14.33536, 60636.332095, 20.86, 0.742, 16.0, 12.0, ATLAS
o, 23.9, 11.66844, -14.33536, 60638.335064, 20.353, 0.497, 26.0, 13.0, ATLAS
c, 23.9, 11.66844, -14.33536, 60640.312144, 20.077, 0.595, 34.0, 20.0, ATLAS
o, 23.9, 11.66844, -14.33536, 60644.829223, 19.916, 0.369, 39.0, 14.0, ATLAS
o, 23.9, 11.66844, -14.33536, 60648.804269, 20.301, 0.945, 28.0, 26.0, ATLAS
o, 23.9, 11.66844, -14.33536, 60648.81695, 19.731, 0.326, 46.0, 15.0, ATLAS
o, 23.9, 11.66844, -14.33536, 60650.118244, 19.969, 0.381, 37.0, 14.0, ATLAS
o, 23.9, 11.66844, -14.33536, 60652.801658, 19.391, 0.399, 64.0, 25.0, ATLAS
o, 23.9, 11.66844, -14.33536, 60654.105471, 19.758, 0.861, 45.0, 39.0, ATLAS
o, 23.9, 11.66844, -14.33536, 60656.317645, 18.943, 0.403, 96.0, 39.0, ATLAS
o, 23.9, 11.66844, -14.33536, 60656.320827, 19.318, 0.58, 68.0, 40.0, ATLAS
o, 23.9, 11.66844, -14.33536, 60658.120634, 19.877, 0.814, 41.0, 33.0, ATLAS
o, 23.9, 11.66844, -14.33536, 60658.299042, 19.725, 0.449, 47.0, 21.0, ATLAS
o, 23.9, 11.66844, -14.33536, 60658.302246, 20.189, 0.826, 30.0, 25.0, ATLAS
o, 23.9, 11.66844, -14.33536, 60658.313352, 20.031, 0.747, 35.0, 26.0, ATLAS
o, 23.9, 11.66844, -14.33536, 60658.85873, 19.708, 0.521, 48.0, 25.0, ATLAS
o, 23.9, 11.66844, -14.33536, 60658.861926, 19.755, 0.669, 46.0, 30.0, ATLAS
o, 23.9, 11.66844, -14.33536, 60659.061652, 19.726, 0.54, 47.0, 25.0, ATLAS
o, 23.9, 11.66844, -14.33536, 60660.347611, 19.995, 0.742, 36.0, 27.0, ATLAS
o, 23.9, 11.66844, -14.33536, 60660.836488, 20.126, 0.669, 32.0, 22.0, ATLAS
o, 23.9, 11.66844, -14.33536, 60663.076329, 20.044, 0.392, 35.0, 14.0, ATLAS
o, 23.9, 11.66844, -14.33536, 60664.304343, 20.6, 0.626, 21.0, 13.0, ATLAS
c, 23.9, 11.66844, -14.33536, 60671.797265, 21.094, 0.892, 13.0, 12.0, ATLAS
o, 23.9, 11.66844, -14.33536, 60676.220436, 19.992, 0.434, 37.0, 16.0, ATLAS
o, 23.9, 11.66844, -14.33536, 60676.223626, 20.353, 0.871, 26.0, 23.0, ATLAS
o, 23.9, 11.66844, -14.33536, 60678.222618, 19.52, 0.27, 56.0, 15.0, ATLAS
o, 23.9, 11.66844, -14.33536, 60682.242134, 20.079, 0.614, 34.0, 21.0, ATLAS
o, 23.9, 11.66844, -14.33536, 60684.234356, 20.431, 0.832, 24.0, 20.0, ATLAS
o, 23.9, 11.66844, -14.33536, 60686.824397, 19.819, 0.531, 43.0, 23.0, ATLAS
o, 23.9, 11.66844, -14.33536, 60688.236257, 20.058, 0.822, 34.0, 28.0, ATLAS
o, 23.9, 11.66844, -14.33536, 60693.033083, 19.342, 0.85, 66.0, 57.0, ATLAS
o, 23.9, 11.66844, -14.33536, 60693.036249, 19.175, 0.485, 78.0, 38.0, ATLAS
o, 23.9, 11.66844, -14.33536, 60694.268876, 20.201, 0.568, 30.0, 17.0, ATLAS
c, 23.9, 11.66844, -14.33536, 60696.218644, 20.256, 0.556, 29.0, 16.0, ATLAS
