"# Soruce: CSP, ATLAS; Date: 2004-2009, 2024-2025; Object Type: normal SNe Ia; Number SNe: 403",,,,,
Name,RA,DEC,Redshift,Discovery Date,Source
SN 2009D,03:54:22.83,-19:10:54.2,0.0250,Unknown,CSP
SN 2009ds,11:49:04.11,-09:43:44.9,0.0193,Unknown,CSP
SN 2009I,02:45:10.40,-04:42:49.4,0.0262,Unknown,CSP
SN 2009le,02:09:17.14,-23:24:44.8,0.0178,Unknown,CSP
SN 2009P,11:20:38.78,-03:32:46.3,0.0251,Unknown,CSP
SN 2009Y,14:42:23.85,-17:14:48.4,0.0094,Unknown,CSP
SN 2024aalr,07:55:31.452,+21:17:54.97,0.11,Unknown,ATLAS
SN 2024aalt,23:23:33.539,+08:18:37.75,0.051,Unknown,ATLAS
SN 2024aaur,09:54:27.511,-06:57:10.65,0.020171,Unknown,ATLAS
SN 2024aayt,05:36:07.220,-29:38:24.29,0.04,Unknown,ATLAS
SN 2024abga,10:12:09.739,+15:39:00.19,0.071,Unknown,ATLAS
SN 2024abla,03:50:18.947,-47:46:57.96,0.06,Unknown,ATLAS
SN 2024ably,01:56:43.510,-09:10:47.17,0.061,Unknown,ATLAS
SN 2024abmg,00:10:00.540,-16:50:06.76,0.075,Unknown,ATLAS
SN 2024abmv,01:50:21.667,+43:51:00.82,0.05,Unknown,ATLAS
SN 2024abof,04:03:21.600,-35:01:36.16,0.06,Unknown,ATLAS
SN 2024abqi,21:21:07.758,+35:31:31.08,0.08,Unknown,ATLAS
SN 2024abrm,02:08:43.837,+06:30:21.73,0.086,Unknown,ATLAS
SN 2024abvc,03:10:52.849,-45:30:52.25,0.09,Unknown,ATLAS
SN 2024abvq,10:42:20.030,+06:11:54.78,0.028,Unknown,ATLAS
SN 2024acde,01:56:02.921,-02:26:35.25,0.05,Unknown,ATLAS
SN 2024acdf,03:47:07.969,-59:48:02.84,0.068,Unknown,ATLAS
SN 2024acdn,23:22:29.026,-37:01:31.76,0.06,Unknown,ATLAS
SN 2024aceg,01:08:18.290,-17:46:17.22,0.0775,Unknown,ATLAS
SN 2024aceh,14:56:19.831,+47:24:20.80,0.024,Unknown,ATLAS
SN 2024acei,01:32:47.261,-40:26:12.24,0.08,Unknown,ATLAS
SN 2024acfr,05:48:06.301,-74:39:11.59,0.09,Unknown,ATLAS
SN 2024acgn,09:44:39.050,+07:22:56.49,0.084,Unknown,ATLAS
SN 2024achm,11:04:16.644,-06:57:52.28,0.09,Unknown,ATLAS
SN 2024acnp,11:06:29.740,+32:04:17.58,0.035,Unknown,ATLAS
SN 2024acnq,10:22:59.753,+20:39:43.08,0.13,Unknown,ATLAS
SN 2024acnr,13:26:44.041,+16:51:42.47,0.027483,Unknown,ATLAS
SN 2024acoe,05:24:47.994,+17:57:38.90,0.03,Unknown,ATLAS
SN 2024acpg,00:43:10.659,-09:03:23.04,0.05773165,Unknown,ATLAS
SN 2024acpr,08:56:11.180,+41:20:34.78,0.1,Unknown,ATLAS
SN 2024act,15:32:39.238,-28:02:17.61,0.0212,Unknown,ATLAS
SN 2024actb,06:40:08.924,-22:18:46.24,0.06,Unknown,ATLAS
SN 2024acti,05:56:52.326,-70:06:07.25,0.07,Unknown,ATLAS
SN 2024adac,01:01:38.536,+40:45:54.68,0.078,Unknown,ATLAS
SN 2024addt,08:07:04.077,+15:22:42.54,0.086,Unknown,ATLAS
SN 2024addv,14:13:07.933,+31:34:10.11,0.061,Unknown,ATLAS
SN 2024adix,11:21:01.100,+21:20:20.54,0.021035,Unknown,ATLAS
SN 2024adkb,05:25:36.829,-31:32:48.63,0.09,Unknown,ATLAS
SN 2024adki,10:53:28.633,-32:56:39.98,0.07,Unknown,ATLAS
SN 2024ado,14:50:13.774,+29:46:23.56,0.053,Unknown,ATLAS
SN 2024advx,01:35:27.040,-14:56:27.56,0.05,Unknown,ATLAS
SN 2024adzy,05:52:13.251,-59:47:30.39,0.06,Unknown,ATLAS
SN 2024aebn,23:08:08.736,+15:20:54.09,0.04,Unknown,ATLAS
SN 2024aedt,01:51:34.198,+08:15:04.84,0.018413,Unknown,ATLAS
SN 2024aedu,00:23:21.280,-02:28:37.19,0.0866,Unknown,ATLAS
SN 2024aeec,12:06:39.759,+25:45:11.96,0.046257,Unknown,ATLAS
SN 2024aeed,14:08:22.877,+16:55:42.44,0.032,Unknown,ATLAS
SN 2024aeet,05:33:29.109,-35:21:54.02,0.042,Unknown,ATLAS
SN 2024aefe,14:39:10.300,+29:13:01.99,0.073,Unknown,ATLAS
SN 2024aeis,08:02:10.686,-22:56:33.45,0.019,Unknown,ATLAS
SN 2024aeje,01:27:13.510,-12:11:11.78,0.06,Unknown,ATLAS
SN 2024ael,03:58:23.126,-12:19:03.79,0.0862,Unknown,ATLAS
SN 2024aemf,01:57:54.820,-35:57:51.75,0.05,Unknown,ATLAS
SN 2024aemh,12:23:54.902,-26:52:50.72,0.07,Unknown,ATLAS
SN 2024aemk,05:49:02.436,-20:03:35.08,0.05,Unknown,ATLAS
SN 2024aemw,10:05:49.771,+20:08:04.38,0.079,Unknown,ATLAS
SN 2024aepl,11:10:07.228,+25:20:20.22,0.054,Unknown,ATLAS
SN 2024aepn,23:17:18.300,+07:40:18.39,0.04,Unknown,ATLAS
SN 2024aeuh,00:40:29.151,+06:41:22.32,0.031,Unknown,ATLAS
SN 2024aevx,04:20:31.378,+35:15:16.73,0.042,Unknown,ATLAS
SN 2024aevz,09:43:44.566,-02:41:21.16,0.096,Unknown,ATLAS
SN 2024aewc,11:42:48.876,+09:54:00.62,0.107,Unknown,ATLAS
SN 2024aewf,11:48:29.310,+03:39:58.03,0.06,Unknown,ATLAS
SN 2024aexl,06:01:06.690,-27:55:15.14,0.0925,Unknown,ATLAS
SN 2024aexm,04:20:08.949,-27:54:57.86,0.0738,Unknown,ATLAS
SN 2024aexz,11:10:51.195,+19:01:24.31,0.071,Unknown,ATLAS
SN 2024aeyc,15:51:26.813,+13:14:05.11,0.073718,Unknown,ATLAS
SN 2024aeye,14:52:51.249,+16:21:34.46,0.051,Unknown,ATLAS
SN 2024aeyp,02:06:57.610,-46:03:01.33,0.065,Unknown,ATLAS
SN 2024aeyv,07:47:54.952,-48:09:04.33,0.052,Unknown,ATLAS
SN 2024aezl,09:02:54.511,+17:06:54.88,0.11,Unknown,ATLAS
SN 2024afbd,08:59:16.323,+67:41:35.40,0.1,Unknown,ATLAS
SN 2024afbe,10:22:05.157,+74:12:39.63,0.055,Unknown,ATLAS
SN 2024afph,14:27:18.655,+16:33:19.95,0.047,Unknown,ATLAS
SN 2024afpi,14:38:47.028,+28:30:31.19,0.045375,Unknown,ATLAS
SN 2024afpj,14:50:08.130,+40:26:34.98,0.027,Unknown,ATLAS
SN 2024afpo,15:04:29.126,+21:25:47.01,0.069,Unknown,ATLAS
SN 2024afrn,15:21:15.232,+61:31:00.53,0.086,Unknown,ATLAS
SN 2024afro,11:04:54.303,+78:55:38.84,0.1095,Unknown,ATLAS
SN 2024afxa,03:23:50.364,-51:14:18.98,0.08,Unknown,ATLAS
SN 2024afze,11:33:30.060,+18:30:15.48,0.04,Unknown,ATLAS
SN 2024afzg,16:43:06.226,+25:56:35.48,0.036146,Unknown,ATLAS
SN 2024agag,07:06:52.291,-53:15:36.95,0.052,Unknown,ATLAS
SN 2024agky,09:21:48.929,-33:19:09.12,0.03,Unknown,ATLAS
SN 2024agld,01:13:51.246,-31:47:30.01,0.02,Unknown,ATLAS
SN 2024ahq,23:43:27.890,+29:01:33.31,0.030683,Unknown,ATLAS
SN 2024ana,12:58:22.578,+27:57:58.14,0.02005,Unknown,ATLAS
SN 2024anm,16:28:36.860,+40:56:02.08,0.029,Unknown,ATLAS
SN 2024ans,12:06:35.080,+54:08:02.11,0.051,Unknown,ATLAS
SN 2024any,03:08:57.840,-02:56:45.82,0.0082,Unknown,ATLAS
SN 2024aob,09:27:43.554,-04:31:58.19,0.09,Unknown,ATLAS
SN 2024aov,23:26:31.620,+00:50:10.81,0.028,Unknown,ATLAS
SN 2024apt,10:25:36.878,-02:12:39.29,0.018503,Unknown,ATLAS
SN 2024arb,14:40:39.972,+35:52:53.82,0.046,Unknown,ATLAS
SN 2024ard,11:02:36.548,+59:07:22.54,0.0331,Unknown,ATLAS
SN 2024ars,15:15:18.997,+06:03:46.67,0.041,Unknown,ATLAS
SN 2024at,11:43:37.889,+36:38:25.45,0.055255,Unknown,ATLAS
SN 2024auh,03:02:05.520,-10:20:35.94,0.0335,Unknown,ATLAS
SN 2024axd,05:00:12.210,-11:20:52.37,0.047,Unknown,ATLAS
SN 2024axg,12:31:07.062,-04:17:53.20,0.0335,Unknown,ATLAS
SN 2024B,02:53:17.135,-14:34:42.17,0.075,Unknown,ATLAS
SN 2024bce,18:15:57.360,+30:19:19.20,0.02,Unknown,ATLAS
SN 2024bcg,08:32:04.889,+21:37:41.05,0.0538,Unknown,ATLAS
SN 2024bdo,10:05:21.386,+28:58:06.55,0.058,Unknown,ATLAS
SN 2024beq,02:30:03.660,+32:05:53.34,0.064,Unknown,ATLAS
SN 2024bkg,13:18:01.468,+15:44:52.87,0.0756,Unknown,ATLAS
SN 2024bkp,17:24:11.326,+52:15:50.66,0.067,Unknown,ATLAS
SN 2024bks,13:07:21.620,-27:22:31.26,0.019807,Unknown,ATLAS
SN 2024bqq,16:20:49.790,-14:41:37.25,0.022536,Unknown,ATLAS
SN 2024brz,14:25:44.750,+20:05:41.98,0.079,Unknown,ATLAS
SN 2024bsa,14:12:36.137,+11:51:50.09,0.096358,Unknown,ATLAS
SN 2024bsc,15:59:11.878,+15:09:14.07,0.042708,Unknown,ATLAS
SN 2024btk,12:54:51.279,-41:01:12.52,0.1,Unknown,ATLAS
SN 2024byk,15:28:42.438,-00:41:22.71,0.07,Unknown,ATLAS
SN 2024bzx,12:42:50.745,+20:41:13.08,0.063,Unknown,ATLAS
SN 2024cdi,08:27:07.973,+22:50:28.01,0.023,Unknown,ATLAS
SN 2024cdu,10:39:25.558,-29:39:32.52,0.059,Unknown,ATLAS
SN 2024cet,13:18:44.540,+47:18:36.43,0.06489,Unknown,ATLAS
SN 2024dci,14:35:05.570,-05:21:32.47,0.04,Unknown,ATLAS
SN 2024ddb,03:11:06.639,+10:50:37.73,0.025,Unknown,ATLAS
SN 2024ddk,15:46:37.540,-13:22:39.65,0.026,Unknown,ATLAS
SN 2024dix,10:24:08.716,+47:31:16.24,0.0425500013,Unknown,ATLAS
SN 2024dru,02:52:51.098,+42:12:21.54,0.012005,Unknown,ATLAS
SN 2024drx,11:59:40.162,+55:37:27.61,0.081,Unknown,ATLAS
SN 2024dz,15:23:30.070,+20:26:29.33,0.04216,Unknown,ATLAS
SN 2024dza,14:44:39.430,-15:10:50.34,0.04,Unknown,ATLAS
SN 2024dzj,13:00:14.561,+38:55:19.93,0.072448,Unknown,ATLAS
SN 2024ea,10:52:18.961,+70:11:24.70,0.08,Unknown,ATLAS
SN 2024ecf,13:47:56.783,-25:38:38.55,0.13,Unknown,ATLAS
SN 2024ecv,11:55:12.950,-30:14:33.75,0.03,Unknown,ATLAS
SN 2024edz,11:36:04.799,-34:20:08.84,0.056,Unknown,ATLAS
SN 2024eeg,13:14:08.003,-58:32:40.93,0.02,Unknown,ATLAS
SN 2024egm,12:13:00.467,+53:25:20.68,0.06,Unknown,ATLAS
SN 2024eif,12:18:23.614,+28:58:25.70,0.074747,Unknown,ATLAS
SN 2024ejm,10:58:01.630,+40:07:13.80,0.058,Unknown,ATLAS
SN 2024ejq,06:52:19.280,+49:41:30.18,0.041032,Unknown,ATLAS
SN 2024ejr,07:03:57.646,+27:54:08.50,0.04,Unknown,ATLAS
SN 2024ejy,14:01:31.530,-23:57:25.65,0.0408,Unknown,ATLAS
SN 2024elv,16:17:44.594,+13:18:13.95,0.047,Unknown,ATLAS
SN 2024eno,13:52:11.892,+33:27:58.56,0.07,Unknown,ATLAS
SN 2024enp,06:19:34.348,+55:11:48.02,0.0443,Unknown,ATLAS
SN 2024eny,16:39:55.570,+48:45:57.56,0.041,Unknown,ATLAS
SN 2024enz,09:36:51.996,+55:44:31.37,0.13,Unknown,ATLAS
SN 2024eor,06:46:15.610,+51:41:17.08,0.039,Unknown,ATLAS
SN 2024epl,17:34:04.830,+49:22:43.84,0.0575,Unknown,ATLAS
SN 2024epm,11:54:01.599,+43:42:50.35,0.067396,Unknown,ATLAS
SN 2024ere,15:23:41.165,+27:23:43.14,0.072,Unknown,ATLAS
SN 2024fav,15:41:14.030,+70:18:12.85,0.056,Unknown,ATLAS
SN 2024fbo,13:06:13.289,-30:09:40.81,0.0115,Unknown,ATLAS
SN 2024fbr,09:51:45.756,+48:00:26.60,0.076,Unknown,ATLAS
SN 2024fbt,10:59:09.648,-04:28:40.60,0.0686,Unknown,ATLAS
SN 2024fcd,11:51:10.046,+00:14:48.87,0.04,Unknown,ATLAS
SN 2024ffz,15:29:57.568,+07:26:40.43,0.0447,Unknown,ATLAS
SN 2024fib,07:37:16.187,-38:26:58.24,0.02,Unknown,ATLAS
SN 2024fiu,09:37:10.703,-01:18:22.39,0.09,Unknown,ATLAS
SN 2024fjp,18:06:15.017,+45:06:49.97,0.03143,Unknown,ATLAS
SN 2024fke,09:57:33.390,+35:48:57.11,0.04,Unknown,ATLAS
SN 2024fkw,09:00:52.521,+55:08:08.10,0.04498,Unknown,ATLAS
SN 2024flg,15:59:32.594,-19:55:32.10,0.0472,Unknown,ATLAS
SN 2024flh,12:45:28.721,-12:06:50.65,0.01,Unknown,ATLAS
SN 2024fsf,06:26:56.209,-63:06:20.20,0.0746,Unknown,ATLAS
SN 2024ftz,13:23:24.705,-03:14:19.44,0.105,Unknown,ATLAS
SN 2024fuo,16:48:43.269,-04:49:09.08,0.054,Unknown,ATLAS
SN 2024fwj,12:13:39.635,+14:14:39.35,0.051567,Unknown,ATLAS
SN 2024fxh,11:07:44.375,+31:12:31.10,0.05,Unknown,ATLAS
SN 2024fxl,12:40:36.341,+26:30:21.36,0.02201,Unknown,ATLAS
SN 2024fyc,13:49:53.910,+26:28:44.88,0.059,Unknown,ATLAS
SN 2024gda,10:46:52.550,+11:50:11.06,0.0543,Unknown,ATLAS
SN 2024gdb,12:39:09.898,+13:28:21.70,0.078,Unknown,ATLAS
SN 2024geu,17:08:28.997,+09:44:29.59,0.04,Unknown,ATLAS
SN 2024gev,14:28:55.775,+51:01:25.96,0.029481,Unknown,ATLAS
SN 2024gjd,09:58:46.193,+30:39:17.71,0.088,Unknown,ATLAS
SN 2024grb,13:36:00.269,+06:35:13.42,0.022,Unknown,ATLAS
SN 2024gsn,14:33:03.920,+43:09:15.92,0.071438,Unknown,ATLAS
SN 2024hg,09:21:47.910,-03:53:33.58,0.06,Unknown,ATLAS
SN 2024hhr,13:30:11.589,+30:31:56.41,0.05,Unknown,ATLAS
SN 2024hig,09:21:02.432,+49:36:01.47,0.03,Unknown,ATLAS
SN 2024hl,05:54:44.270,-35:19:13.48,0.041,Unknown,ATLAS
SN 2024hlj,10:31:29.431,+24:02:49.07,0.041169,Unknown,ATLAS
SN 2024hm,03:24:06.521,-38:43:59.42,0.067,Unknown,ATLAS
SN 2024hpw,08:33:25.149,+63:20:20.86,0.054,Unknown,ATLAS
SN 2024hqp,09:39:03.353,+65:11:29.10,0.071188,Unknown,ATLAS
SN 2024hrs,11:59:07.296,+58:20:37.65,0.053696,Unknown,ATLAS
SN 2024hud,14:02:02.875,-31:53:01.30,0.05,Unknown,ATLAS
SN 2024hue,14:06:06.408,-31:33:27.54,0.068,Unknown,ATLAS
SN 2024ilb,07:58:56.116,+71:02:28.34,0.07,Unknown,ATLAS
SN 2024ind,22:55:42.457,-03:11:57.74,0.05,Unknown,ATLAS
SN 2024ixr,16:53:47.156,-58:45:28.31,0.009,Unknown,ATLAS
SN 2024jck,01:15:52.450,-32:28:52.46,0.02,Unknown,ATLAS
SN 2024jea,01:32:47.265,-27:02:27.26,0.04,Unknown,ATLAS
SN 2024jfl,00:05:33.833,+03:49:34.95,0.04,Unknown,ATLAS
SN 2024jhc,13:06:35.613,-29:43:56.39,0.075,Unknown,ATLAS
SN 2024jhm,11:25:43.990,+14:40:26.08,0.04,Unknown,ATLAS
SN 2024jjy,17:20:25.378,+65:02:34.86,0.1,Unknown,ATLAS
SN 2024jvc,14:37:43.447,+37:38:06.89,0.079,Unknown,ATLAS
SN 2024jxa,09:39:13.858,+20:30:15.16,0.044857,Unknown,ATLAS
SN 2024jz,15:33:04.830,-01:37:30.58,0.0093,Unknown,ATLAS
SN 2024kef,23:08:19.508,+24:15:48.82,0.063,Unknown,ATLAS
SN 2024kgh,23:17:52.967,+22:45:40.35,0.06,Unknown,ATLAS
SN 2024kgu,12:32:37.480,+17:19:37.16,0.075,Unknown,ATLAS
SN 2024klg,11:48:37.369,+51:00:56.82,0.059,Unknown,ATLAS
SN 2024kut,13:27:32.215,+20:12:23.36,0.095,Unknown,ATLAS
SN 2024kzl,23:58:34.396,+48:34:28.88,0.054,Unknown,ATLAS
SN 2024les,00:39:17.979,+44:21:13.22,0.06,Unknown,ATLAS
SN 2024lty,18:06:02.974,+59:38:35.93,0.05,Unknown,ATLAS
SN 2024luq,02:07:26.030,-02:05:20.87,0.03,Unknown,ATLAS
SN 2024lxm,03:33:34.630,-78:30:13.54,0.048,Unknown,ATLAS
SN 2024mnq,01:11:18.880,+31:53:24.07,0.017442,Unknown,ATLAS
SN 2024moo,00:38:54.430,+32:22:42.31,0.073,Unknown,ATLAS
SN 2024moy,14:02:27.860,+60:59:40.24,0.036908,Unknown,ATLAS
SN 2024mss,05:29:38.210,-61:49:21.32,0.018,Unknown,ATLAS
SN 2024msu,21:24:24.274,-80:59:04.04,0.06,Unknown,ATLAS
SN 2024mwf,16:55:46.730,+26:08:40.50,0.04,Unknown,ATLAS
SN 2024mys,12:08:57.373,+13:02:10.24,0.066,Unknown,ATLAS
SN 2024myw,12:04:46.090,+09:25:19.13,0.035,Unknown,ATLAS
SN 2024mzw,13:23:24.170,-14:31:40.03,0.098,Unknown,ATLAS
SN 2024mzx,10:54:12.490,-06:12:32.98,0.0675,Unknown,ATLAS
SN 2024mzy,23:28:57.000,+19:03:11.45,0.07,Unknown,ATLAS
SN 2024N,14:04:48.370,-29:43:52.03,0.08,Unknown,ATLAS
SN 2024npr,00:06:29.968,-04:00:19.36,0.09,Unknown,ATLAS
SN 2024nrb,04:45:28.819,-16:22:29.73,0.0339,Unknown,ATLAS
SN 2024nrj,14:39:35.409,-79:42:18.22,0.074,Unknown,ATLAS
SN 2024nsk,15:04:52.753,+20:05:53.36,0.0729,Unknown,ATLAS
SN 2024nuu,17:02:28.504,+14:34:28.56,0.041,Unknown,ATLAS
SN 2024nvn,13:28:28.563,+38:06:51.15,0.085,Unknown,ATLAS
SN 2024nwu,01:09:24.690,-66:15:38.92,0.0242,Unknown,ATLAS
SN 2024nxs,22:02:50.638,+22:37:07.63,0.087,Unknown,ATLAS
SN 2024nzy,23:55:44.476,-05:28:23.57,0.09,Unknown,ATLAS
SN 2024ozs,15:28:44.708,+03:35:10.57,0.0383,Unknown,ATLAS
SN 2024ozx,18:59:35.999,+33:18:06.77,0.068,Unknown,ATLAS
SN 2024pab,12:12:00.644,-00:46:12.30,0.0724,Unknown,ATLAS
SN 2024paf,14:21:06.984,+29:07:24.12,0.054154,Unknown,ATLAS
SN 2024pag,02:07:01.942,-13:09:30.50,0.07,Unknown,ATLAS
SN 2024pam,04:00:03.399,-36:59:44.61,0.06,Unknown,ATLAS
SN 2024pbe,02:52:50.470,-01:17:09.17,0.023,Unknown,ATLAS
SN 2024pbf,04:09:55.773,-01:22:25.81,0.0244,Unknown,ATLAS
SN 2024pcv,03:58:38.788,-05:48:35.55,0.037,Unknown,ATLAS
SN 2024pcx,14:50:22.420,-02:27:29.09,0.07,Unknown,ATLAS
SN 2024pem,04:44:57.538,-52:19:29.27,0.1,Unknown,ATLAS
SN 2024pft,13:12:34.978,-29:57:55.33,0.074,Unknown,ATLAS
SN 2024pjj,16:52:11.441,+26:09:01.78,0.1,Unknown,ATLAS
SN 2024pjl,04:28:14.132,-06:47:28.15,0.012129,Unknown,ATLAS
SN 2024pmk,02:18:51.051,-19:42:41.06,0.031,Unknown,ATLAS
SN 2024pml,00:38:33.650,-27:11:57.80,0.0608,Unknown,ATLAS
SN 2024pmm,16:15:07.160,+67:43:12.29,0.018,Unknown,ATLAS
