# Object Type: Normal SNe Ia; Date: 2004-2009, 2024-2025; Number SNe: 500
Name,RA,DEC,Redshift,Discovery Date (UT),Data Source(s)
SN 2004dt,02:02:12.77,-00:05:51.5,0.0197,2004-08-11 00:00:00.000,CSP
SN 2004ef,22:42:10.02,+19:59:40.4,0.0310,2004-09-04 00:00:00.000,CSP
SN 2004eo,20:32:54.19,+09:55:42.7,0.0157,2004-09-17 00:00:00.000,CSP
SN 2004ey,21:49:07.81,+00:26:39.2,0.0158,2004-10-14 00:00:00.000,CSP
SN 2004gc,05:21:49.95,+06:40:33.7,0.0321,2004-11-18 00:00:00.000,CSP
SN 2004gs,08:38:23.18,+17:37:39.8,0.0267,2004-12-12 00:00:00.000,CSP
SN 2005A,02:30:43.25,-02:56:19.8,0.0191,2005-01-05 00:00:00.000,CSP
SN 2005ag,14:56:43.65,+09:19:42.5,0.0797,2005-02-10 00:00:00.000,CSP
SN 2005al,13:50:00.33,-30:34:34.2,0.0124,2005-02-24 00:00:00.000,CSP
SN 2005am,09:16:12.47,-16:18:16.0,0.0079,2005-02-22 00:00:00.000,CSP
SN 2005be,14:59:32.72,+16:40:11.6,0.0350,2005-04-05 00:00:00.000,CSP
SN 2005bg,12:17:17.18,+16:22:17.6,0.0231,2005-03-28 00:00:00.000,CSP
SN 2005bo,12:49:41.03,-11:05:47.3,0.0139,2005-04-17 00:00:00.000,CSP
SN 2005el,05:11:48.72,+05:11:39.4,0.0149,2005-09-25 00:00:00.000,CSP
SN 2005hc,01:56:47.94,-00:12:49.4,0.0459,2005-10-12 00:00:00.000,CSP
SN 2005hj,01:26:48.27,-01:14:16.8,0.0574,2005-10-26 00:00:00.000,CSP
SN 2005iq,23:58:32.50,-18:42:33.0,0.0340,2005-11-05 00:00:00.000,CSP
SN 2005ir,01:16:43.76,+00:47:40.4,0.0763,2005-10-28 00:00:00.000,CSP
SN 2005kc,22:34:07.34,+05:34:06.3,0.0151,2005-11-09 00:00:00.000,CSP
SN 2005ki,10:40:28.22,+09:12:08.4,0.0192,2005-11-18 00:00:00.000,CSP
SN 2005ku,22:59:42.61,+00:00:49.3,0.0454,2005-11-10 00:00:00.000,CSP
SN 2005lu,02:36:03.71,-17:15:50.0,0.0320,2005-12-11 00:00:00.000,CSP
SN 2005mc,08:27:06.36,+21:38:45.6,0.0252,2005-12-23 00:00:00.000,CSP
SN 2005na,07:01:36.62,+14:07:59.7,0.0263,2005-12-31 00:00:00.000,CSP
SN 2006ax,11:24:03.46,-12:17:29.2,0.0167,2006-03-20 00:00:00.000,CSP
