# Combined data from 'ATLAS-ZTF' for 'SN 2018eyi'
ra, dec, filter, mjd, mag, dmag, flux, dflux, zp, source
246.30213, 40.84029, o, 58272.457594, -20.868, 2.613, -16, 43, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58272.464244, -20.534, 0.551, -22, 12, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58272.477354, -22.081, 2.49, -5, 13, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58272.48165, 21.055, 1.088, 14, 15, 21.034679910804403, ATLAS-ZTF
246.30213, 40.84029, o, 58274.442404, 24.891, 32.5, 0, 13, inf, ATLAS-ZTF
246.30213, 40.84029, o, 58274.453172, -20.169, 0.44, -31, 14, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58274.472887, -19.942, 0.312, -38, 12, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58274.473359, 18.469, 2.163, 149, 322, 18.467034328969312, ATLAS-ZTF
246.30213, 40.84029, o, 58274.47667, -20.297, 0.581, -28, 16, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58278.448388, -20.879, 0.812, -16, 13, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58278.459067, -20.552, 0.564, -22, 12, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58278.463803, -20.352, 0.433, -26, 11, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58278.47874, 19.911, 0.291, 39, 12, 19.92233848243375, ATLAS-ZTF
246.30213, 40.84029, c, 58280.452898, -18.099, 0.661, -209, 138, nan, ATLAS-ZTF
246.30213, 40.84029, c, 58280.460099, 21.634, 2.655, 8, 21, 21.64227503252014, ATLAS-ZTF
246.30213, 40.84029, c, 58280.477531, 19.051, 0.509, 87, 44, 19.051201868453454, ATLAS-ZTF
246.30213, 40.84029, o, 58282.442499, -21.197, 1.07, -12, 13, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58282.451999, 0.0, 21.217, 0, 12, inf, ATLAS-ZTF
246.30213, 40.84029, o, 58282.473449, -19.45, 0.176, -60, 11, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58282.478011, -22.312, 2.909, -4, 13, nan, ATLAS-ZTF
246.30213, 40.84029, c, 58284.449011, 20.957, 0.504, 15, 8, 20.959771852360795, ATLAS-ZTF
246.30213, 40.84029, c, 58284.457063, -23.046, 3.167, -2, 7, nan, ATLAS-ZTF
246.30213, 40.84029, c, 58284.470884, 20.482, 0.36, 23, 8, 20.495680409956016, ATLAS-ZTF
246.30213, 40.84029, c, 58284.474795, 20.732, 0.442, 18, 8, 20.761818737241732, ATLAS-ZTF
246.30213, 40.84029, o, 58286.435276, -20.958, 0.821, -15, 12, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58286.444653, -19.62, 0.209, -52, 11, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58286.457158, -20.494, 0.57, -23, 13, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58286.461454, -19.701, 0.253, -48, 12, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58290.417808, -19.604, 0.246, -52, 13, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58290.424928, -20.37, 0.49, -26, 13, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58290.437507, -21.109, 1.064, -13, 14, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58290.442703, -19.756, 0.342, -46, 16, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58292.426584, 0.0, 21.271, 0, 11, inf, ATLAS-ZTF
246.30213, 40.84029, o, 58292.435107, -22.449, 3.286, -4, 12, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58292.448507, -19.841, 0.366, -42, 15, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58292.451928, -20.585, 0.647, -21, 14, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58294.411594, -19.804, 0.453, -44, 20, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58294.422215, -20.609, 0.908, -21, 19, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58294.441867, -23.648, 16.857, -1, 21, nan, ATLAS-ZTF
