# Combined data from 'ATLAS-ZTF' for 'SN 2019noh'
ra, dec, filter, mjd, mag, dmag, flux, dflux, zp, source
346.41982, 27.66598, o, 58674.615494, -21.165, 1.19, -12, 15, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58674.620064, -21.087, 1.432, -13, 19, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58677.583192, -21.694, 1.233, -8, 9, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58677.58846, -20.578, 0.58, -21, 12, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58677.592418, -21.543, 1.216, -9, 11, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58677.606055, 20.092, 0.382, 33, 13, 20.10371515030528, ATLAS-ZTF
346.41982, 27.66598, o, 58679.549403, 17.881, 0.089, 256, 23, 17.879400086720374, ATLAS-ZTF
346.41982, 27.66598, o, 58679.570096, -18.983, 0.044, -93, 4, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58679.579806, -19.893, 0.433, -40, 17, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58681.560002, 19.148, 0.338, 80, 27, 19.14227503252014, ATLAS-ZTF
346.41982, 27.66598, o, 58681.565415, 20.051, 0.667, 35, 23, 20.03982988912431, ATLAS-ZTF
346.41982, 27.66598, o, 58681.573403, 19.07, 0.287, 86, 25, 19.06375387189108, ATLAS-ZTF
346.41982, 27.66598, o, 58681.5774, 20.363, 0.958, 26, 25, 20.362566630072955, ATLAS-ZTF
346.41982, 27.66598, o, 58685.549392, -20.142, 0.647, -32, 21, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58685.557026, -19.705, 0.349, -48, 17, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58685.567147, -19.663, 0.33, -50, 16, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58685.570012, 20.746, 0.992, 18, 18, 20.761818737241732, ATLAS-ZTF
346.41982, 27.66598, o, 58689.592394, 20.276, 0.447, 28, 13, 20.28210492164445, ATLAS-ZTF
346.41982, 27.66598, o, 58689.596154, 20.266, 0.434, 28, 12, 20.28210492164445, ATLAS-ZTF
346.41982, 27.66598, o, 58689.601647, -20.363, 0.523, -26, 14, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58689.61354, 19.495, 0.223, 58, 13, 19.491430016092657, ATLAS-ZTF
346.41982, 27.66598, c, 58691.594679, -20.231, 0.301, -29, 9, nan, ATLAS-ZTF
346.41982, 27.66598, c, 58691.598754, -20.451, 0.429, -24, 10, nan, ATLAS-ZTF
346.41982, 27.66598, c, 58691.604335, -19.939, 0.227, -38, 9, nan, ATLAS-ZTF
346.41982, 27.66598, c, 58691.61497, -20.276, 0.342, -28, 10, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58693.46237, -22.024, 2.094, -6, 12, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58693.465673, 20.897, 0.816, 16, 13, 20.889700043360186, ATLAS-ZTF
346.41982, 27.66598, o, 58693.475008, -20.261, 0.466, -29, 13, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58693.484969, 19.69, 0.289, 48, 14, 19.69689690656103, ATLAS-ZTF
346.41982, 27.66598, c, 58695.635152, -19.188, 0.791, -77, 61, nan, ATLAS-ZTF
346.41982, 27.66598, c, 58699.535698, -19.756, 0.184, -45, 8, nan, ATLAS-ZTF
346.41982, 27.66598, c, 58699.538544, -20.129, 0.265, -32, 8, nan, ATLAS-ZTF
346.41982, 27.66598, c, 58699.545916, -21.769, 2.308, -7, 16, nan, ATLAS-ZTF
346.41982, 27.66598, c, 58699.564168, -20.725, 0.485, -19, 9, nan, ATLAS-ZTF
346.41982, 27.66598, c, 58703.435275, -19.871, 0.182, -41, 7, nan, ATLAS-ZTF
346.41982, 27.66598, c, 58703.438599, -22.169, 1.55, -5, 8, nan, ATLAS-ZTF
346.41982, 27.66598, c, 58703.448724, -22.18, 1.683, -5, 8, nan, ATLAS-ZTF
346.41982, 27.66598, c, 58703.454837, -20.53, 0.357, -22, 8, nan, ATLAS-ZTF
346.41982, 27.66598, c, 58703.632945, -20.601, 1.467, -21, 31, nan, ATLAS-ZTF
346.41982, 27.66598, c, 58707.44602, 19.773, 0.536, 45, 24, 19.76696871556164, ATLAS-ZTF
346.41982, 27.66598, c, 58707.454573, 21.217, 1.641, 12, 19, 21.202046884880936, ATLAS-ZTF
346.41982, 27.66598, c, 58707.469723, 21.811, 3.071, 7, 21, 21.787254899964356, ATLAS-ZTF
346.41982, 27.66598, c, 58707.47294, -20.473, 0.851, -24, 20, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58709.410772, 18.468, 0.735, 149, 109, 18.467034328969312, ATLAS-ZTF
346.41982, 27.66598, o, 58709.415132, 17.919, 0.477, 247, 118, 17.918257616850834, ATLAS-ZTF
346.41982, 27.66598, o, 58709.424044, 19.9, 3.397, 40, 135, 19.894850021680092, ATLAS-ZTF
346.41982, 27.66598, o, 58709.435654, -19.043, 0.779, -88, 68, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58713.486268, 18.833, 0.229, 106, 24, 18.836735336838075, ATLAS-ZTF
346.41982, 27.66598, o, 58713.48719, 18.458, 0.168, 150, 25, 18.459771852360795, ATLAS-ZTF
346.41982, 27.66598, o, 58713.489057, 18.815, 0.218, 108, 24, 18.816440611282623, ATLAS-ZTF
346.41982, 27.66598, o, 58713.489976, 18.203, 0.131, 190, 25, 18.203115997617928, ATLAS-ZTF
346.41982, 27.66598, o, 58713.503386, 18.395, 0.145, 159, 23, 18.39650718919887, ATLAS-ZTF
346.41982, 27.66598, o, 58713.504308, 18.705, 0.221, 120, 26, 18.702046884880936, ATLAS-ZTF
346.41982, 27.66598, o, 58713.509727, 18.48, 0.167, 147, 25, 18.481706663129557, ATLAS-ZTF
346.41982, 27.66598, o, 58713.515564, 18.177, 0.126, 195, 25, 18.174913471593705, ATLAS-ZTF
346.41982, 27.66598, o, 58719.487976, 18.383, 0.088, 161, 14, 18.382935309920374, ATLAS-ZTF
346.41982, 27.66598, o, 58719.491617, 18.38, 0.076, 161, 12, 18.382935309920374, ATLAS-ZTF
346.41982, 27.66598, o, 58719.496865, 18.226, 0.064, 186, 12, 18.226217639455207, ATLAS-ZTF
346.41982, 27.66598, o, 58719.507426, 18.292, 0.072, 175, 13, 18.292404878284263, ATLAS-ZTF
346.41982, 27.66598, o, 58721.527055, 18.591, 0.106, 133, 14, 18.590370897582282, ATLAS-ZTF
346.41982, 27.66598, o, 58721.530354, 18.529, 0.124, 141, 17, 18.52695221836155, ATLAS-ZTF
346.41982, 27.66598, o, 58721.545942, 18.304, 0.117, 173, 20, 18.30488474217801, ATLAS-ZTF
346.41982, 27.66598, o, 58721.555475, 18.68, 0.153, 122, 19, 18.684100423313126, ATLAS-ZTF
346.41982, 27.66598, c, 58723.5741, 19.9, 0.207, 40, 8, 19.894850021680092, ATLAS-ZTF
346.41982, 27.66598, c, 58723.581415, 21.161, 0.653, 12, 8, 21.202046884880936, ATLAS-ZTF
346.41982, 27.66598, c, 58723.584337, 19.185, 0.12, 77, 9, 19.183773187068795, ATLAS-ZTF
346.41982, 27.66598, c, 58723.594284, 19.581, 0.176, 53, 9, 19.589310325998028, ATLAS-ZTF
346.41982, 27.66598, c, 58727.352404, 19.964, 0.288, 38, 11, 19.950541008457975, ATLAS-ZTF
