# Combination of '2024sag' data from 'ATLAS', 'ZTF'
filter, zp, z, ra, dec, mjd, mag, dmag, flux, dflux, source
o, 23.9, nan, 83.87009, -17.801, 60535.14093, 17.851, 0.137, 263.0, 36.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60535.152446, 17.871, 0.092, 258.0, 24.0, ATLAS
c, 23.9, nan, 83.87009, -17.801, 60537.336909, 15.914, 2.768, 1565.0, 4330.0, ATLAS
c, 23.9, nan, 83.87009, -17.801, 60537.339699, -17.278, 1.641, -445.0, 731.0, ATLAS
c, 23.9, nan, 83.87009, -17.801, 60537.345706, 17.467, 2.805, 374.0, 1050.0, ATLAS
c, 23.9, nan, 83.87009, -17.801, 60537.351777, 16.734, 0.445, 735.0, 327.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60539.115695, 16.6, 0.035, 832.0, 29.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60539.118853, 16.649, 0.03, 795.0, 24.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60539.124633, 16.704, 0.034, 756.0, 26.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60539.135055, 16.675, 0.033, 776.0, 25.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60540.150312, 16.421, 0.023, 981.0, 22.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60540.15438, 16.464, 0.022, 943.0, 21.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60540.158889, 16.411, 0.024, 990.0, 24.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60540.16932, 16.414, 0.023, 987.0, 22.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60542.590487, 16.023, 0.026, 1415.0, 36.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60542.594322, 16.027, 0.024, 1410.0, 34.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60542.600805, 15.997, 0.021, 1449.0, 30.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60542.619567, 16.04, 0.028, 1393.0, 40.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60544.146422, 15.832, 0.016, 1687.0, 27.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60545.139526, 15.791, 0.017, 1752.0, 30.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60545.152805, 15.721, 0.015, 1869.0, 28.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60545.15687, 15.743, 0.015, 1831.0, 28.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60545.167715, 15.798, 0.017, 1742.0, 29.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60550.566376, 15.752, 0.014, 1817.0, 25.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60550.576338, 15.75, 0.013, 1820.0, 24.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60550.582637, 15.767, 0.012, 1791.0, 21.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60550.590635, 15.761, 0.011, 1802.0, 21.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60553.143796, 15.861, 0.014, 1643.0, 23.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60553.147854, 15.878, 0.012, 1617.0, 20.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60553.151668, 15.865, 0.013, 1637.0, 21.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60553.161641, 15.891, 0.017, 1598.0, 26.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60554.373449, 15.86, 0.014, 1645.0, 23.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60554.376603, 15.948, 0.012, 1516.0, 19.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60554.382394, 15.904, 0.013, 1579.0, 21.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60554.390054, 15.904, 0.013, 1579.0, 21.0, ATLAS
c, 23.9, nan, 83.87009, -17.801, 60555.099213, 16.377, 0.017, 1022.0, 18.0, ATLAS
c, 23.9, nan, 83.87009, -17.801, 60555.102816, 16.392, 0.016, 1008.0, 16.0, ATLAS
c, 23.9, nan, 83.87009, -17.801, 60555.108223, 16.371, 0.016, 1027.0, 16.0, ATLAS
c, 23.9, nan, 83.87009, -17.801, 60555.115888, 16.425, 0.016, 978.0, 16.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60557.348018, 16.115, 0.015, 1301.0, 20.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60557.35121, 16.113, 0.014, 1303.0, 19.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60557.356803, 16.058, 0.016, 1370.0, 22.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60557.367227, 16.034, 0.016, 1401.0, 22.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60558.35141, 16.172, 0.014, 1233.0, 18.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60558.354574, 16.242, 0.016, 1156.0, 19.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60558.361465, 16.228, 0.015, 1171.0, 18.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60558.37016, 16.215, 0.016, 1186.0, 19.0, ATLAS
c, 23.9, nan, 83.87009, -17.801, 60559.08538, 16.805, 0.022, 688.0, 15.0, ATLAS
c, 23.9, nan, 83.87009, -17.801, 60559.089017, 16.812, 0.023, 684.0, 16.0, ATLAS
c, 23.9, nan, 83.87009, -17.801, 60559.094506, 16.769, 0.021, 712.0, 15.0, ATLAS
c, 23.9, nan, 83.87009, -17.801, 60559.103175, 16.835, 0.022, 670.0, 15.0, ATLAS
c, 23.9, nan, 83.87009, -17.801, 60560.087713, 16.944, 0.027, 606.0, 16.0, ATLAS
c, 23.9, nan, 83.87009, -17.801, 60560.091351, 16.877, 0.027, 645.0, 18.0, ATLAS
c, 23.9, nan, 83.87009, -17.801, 60560.098187, 16.963, 0.026, 595.0, 16.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60561.345742, 16.444, 0.075, 960.0, 72.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60561.349819, 16.535, 0.061, 883.0, 54.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60561.35302, 16.389, 0.081, 1011.0, 82.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60561.366436, 15.949, 0.53, 1515.0, 804.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60562.343033, 16.367, 0.019, 1031.0, 20.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60562.346235, 16.437, 0.02, 966.0, 19.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60562.351708, 16.499, 0.019, 913.0, 18.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60562.357817, 16.414, 0.024, 987.0, 24.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60565.349001, 16.833, 0.075, 671.0, 50.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60565.352166, 16.666, 0.093, 783.0, 73.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60565.368123, 16.889, 0.09, 637.0, 57.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60565.37177, 16.746, 0.076, 727.0, 56.0, ATLAS
c, 23.9, nan, 83.87009, -17.801, 60567.095996, 17.535, 0.049, 352.0, 17.0, ATLAS
c, 23.9, nan, 83.87009, -17.801, 60567.099178, 17.566, 0.046, 342.0, 16.0, ATLAS
c, 23.9, nan, 83.87009, -17.801, 60567.104193, 17.47, 0.04, 373.0, 15.0, ATLAS
c, 23.9, nan, 83.87009, -17.801, 60567.114294, 17.49, 0.043, 366.0, 16.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60568.075133, 16.862, 0.04, 654.0, 26.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60568.07935, 16.973, 0.043, 590.0, 25.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60569.243386, 17.084, 0.062, 532.0, 33.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60569.26572, 17.015, 0.05, 568.0, 28.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60569.279967, 17.106, 0.045, 522.0, 23.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60569.282789, 17.094, 0.044, 528.0, 23.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60570.326645, 17.211, 0.061, 474.0, 29.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60570.329834, 17.148, 0.052, 502.0, 26.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60570.33257, 17.201, 0.055, 478.0, 26.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60570.340399, 17.151, 0.056, 500.0, 28.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60571.061523, 17.179, 0.071, 488.0, 34.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60571.064721, 17.283, 0.084, 443.0, 37.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60571.070173, 17.266, 0.07, 450.0, 31.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60571.077761, 17.245, 0.064, 459.0, 29.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60574.327843, 17.406, 0.208, 396.0, 82.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60574.333622, 17.286, 0.168, 442.0, 74.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60574.336805, 17.2, 0.214, 479.0, 102.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60574.347443, 17.756, 0.228, 287.0, 65.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60576.087622, 17.519, 0.1, 357.0, 36.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60576.089431, 17.465, 0.077, 375.0, 29.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60576.094909, 17.639, 0.098, 319.0, 31.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60576.1092, 17.664, 0.09, 312.0, 28.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60580.064891, 17.796, 0.055, 276.0, 15.0, ATLAS
