# Data from 'ATLAS' for 'SN ATLAS2023omo'
RA, Dec, F, MJD, m, dm, uJy, duJy, zp, source
214.2616, 10.82196, o, 60063.159824, -21.17, 1.509, -12, 19, nan, ATLAS
214.2616, 10.82196, o, 60063.161637, 21.84, 2.286, 7, 15, 21.787254899964356, ATLAS
214.2616, 10.82196, o, 60063.164384, 20.377, 0.521, 26, 13, 20.362566630072955, ATLAS
214.2616, 10.82196, o, 60063.188581, 21.067, 1.159, 14, 16, 21.034679910804403, ATLAS
214.2616, 10.82196, o, 60064.91145, -21.233, 1.536, -12, 18, nan, ATLAS
214.2616, 10.82196, o, 60064.916958, -20.951, 1.269, -15, 19, nan, ATLAS
214.2616, 10.82196, o, 60064.926772, -20.38, 0.69, -26, 18, nan, ATLAS
214.2616, 10.82196, o, 60066.110643, 20.775, 1.768, 18, 31, 20.761818737241732, ATLAS
214.2616, 10.82196, o, 60066.113819, 21.66, 3.314, 8, 26, 21.64227503252014, ATLAS
214.2616, 10.82196, o, 60066.116568, -22.778, 8.444, -3, 24, nan, ATLAS
214.2616, 10.82196, o, 60066.126936, 19.789, 0.608, 44, 27, 19.79136830878453, ATLAS
214.2616, 10.82196, o, 60070.950022, 20.111, 0.816, 33, 27, 20.10371515030528, ATLAS
214.2616, 10.82196, o, 60070.953222, 19.849, 0.726, 42, 30, 19.841876774005247, ATLAS
214.2616, 10.82196, o, 60070.959605, -19.558, 0.605, -55, 33, nan, ATLAS
214.2616, 10.82196, o, 60070.969463, -20.95, 2.033, -15, 31, nan, ATLAS
214.2616, 10.82196, o, 60072.173783, 22.332, 5.686, 4, 24, 22.394850021680092, ATLAS
214.2616, 10.82196, o, 60072.176991, 21.697, 2.921, 8, 22, 21.64227503252014, ATLAS
214.2616, 10.82196, o, 60072.184005, -22.899, 7.19, -2, 18, nan, ATLAS
214.2616, 10.82196, o, 60072.194487, 19.53, 0.433, 56, 24, 19.529529932484497, ATLAS
214.2616, 10.82196, o, 60073.914718, 22.816, 6.6, 3, 18, 22.707196863200842, ATLAS
214.2616, 10.82196, o, 60073.917924, -22.413, 4.276, -4, 17, nan, ATLAS
214.2616, 10.82196, o, 60073.926656, -20.925, 1.198, -16, 19, nan, ATLAS
214.2616, 10.82196, o, 60073.939527, -20.699, 1.0, -19, 19, nan, ATLAS
214.2616, 10.82196, o, 60075.158806, -21.14, 1.361, -13, 17, nan, ATLAS
214.2616, 10.82196, o, 60075.161983, -21.976, 2.612, -6, 15, nan, ATLAS
214.2616, 10.82196, o, 60075.16708, 21.593, 2.569, 8, 22, 21.64227503252014, ATLAS
214.2616, 10.82196, o, 60075.196818, 21.994, 2.66, 6, 15, 21.95462187404089, ATLAS
214.2616, 10.82196, o, 60078.273218, 21.62, 1.83, 8, 15, 21.64227503252014, ATLAS
214.2616, 10.82196, o, 60078.276004, 20.453, 0.805, 24, 19, 20.449471895720983, ATLAS
214.2616, 10.82196, o, 60078.285159, 23.215, 11.846, 2, 22, 23.147425010840045, ATLAS
214.2616, 10.82196, o, 60078.295277, -22.291, 4.571, -4, 20, nan, ATLAS
214.2616, 10.82196, c, 60079.386477, -21.569, 1.136, -9, 10, nan, ATLAS
214.2616, 10.82196, c, 60079.403494, -23.557, 7.8, -1, 11, nan, ATLAS
214.2616, 10.82196, c, 60079.406658, -20.915, 0.709, -16, 11, nan, ATLAS
214.2616, 10.82196, c, 60079.412047, -21.82, 1.412, -7, 10, nan, ATLAS
214.2616, 10.82196, c, 60082.887832, 21.13, 0.678, 13, 9, 21.115141619232908, ATLAS
214.2616, 10.82196, c, 60082.891036, -21.627, 1.0, -8, 8, nan, ATLAS
