# Data from 'ATLAS' for 'SN ATLAS2020aclx'
RA, Dec, F, MJD, m, dm, uJy, duJy, zp, source
9.473, -21.47193, o, 59093.426458, -20.296, 1.589, -28, 44, nan, ATLAS
9.473, -21.47193, o, 59093.430141, 20.831, 2.228, 17, 38, 20.823877696554312, ATLAS
9.473, -21.47193, o, 59093.43612, -20.51, 1.656, -23, 38, nan, ATLAS
9.473, -21.47193, o, 59093.442115, -20.061, 1.202, -34, 41, nan, ATLAS
9.473, -21.47193, o, 59098.536448, -21.06, 1.88, -14, 26, nan, ATLAS
9.473, -21.47193, o, 59098.539242, -19.662, 0.456, -50, 23, nan, ATLAS
9.473, -21.47193, o, 59098.54665, 21.524, 2.353, 9, 21, 21.514393726401686, ATLAS
9.473, -21.47193, o, 59098.579728, 21.585, 2.429, 8, 20, 21.64227503252014, ATLAS
9.473, -21.47193, o, 59099.510715, -20.452, 0.734, -24, 18, nan, ATLAS
9.473, -21.47193, o, 59099.538919, 22.033, 2.722, 6, 15, 21.95462187404089, ATLAS
9.473, -21.47193, o, 59099.567433, 20.987, 0.916, 15, 13, 20.959771852360795, ATLAS
9.473, -21.47193, o, 59099.592477, 20.842, 0.932, 17, 16, 20.823877696554312, ATLAS
9.473, -21.47193, o, 59101.466092, 21.93, 1.791, 6, 11, 21.95462187404089, ATLAS
9.473, -21.47193, o, 59101.469793, 20.083, 0.347, 34, 12, 20.07130270739436, ATLAS
9.473, -21.47193, o, 59101.47254, -21.065, 0.877, -14, 12, nan, ATLAS
9.473, -21.47193, o, 59101.478561, 20.771, 0.672, 18, 12, 20.761818737241732, ATLAS
9.473, -21.47193, o, 59103.439497, -21.837, 1.407, -7, 9, nan, ATLAS
9.473, -21.47193, o, 59103.442259, -25.48, 43.0, 0, 10, inf, ATLAS
9.473, -21.47193, o, 59103.448383, -24.103, 8.6, -1, 7, nan, ATLAS
9.473, -21.47193, o, 59103.45391, 22.563, 2.75, 3, 9, 22.707196863200842, ATLAS
9.473, -21.47193, c, 59105.486121, -22.578, 2.16, -3, 7, nan, ATLAS
9.473, -21.47193, c, 59105.494033, -22.305, 2.062, -4, 9, nan, ATLAS
9.473, -21.47193, c, 59105.4992, -21.812, 1.756, -7, 12, nan, ATLAS
9.473, -21.47193, c, 59105.513242, -22.896, 3.333, -2, 8, nan, ATLAS
