# Data from 'ATLAS' for 'SN ATLAS2022an'
RA, Dec, F, MJD, m, dm, uJy, duJy, zp, source
190.88433, -41.36599, c, 59616.085303, 16.498, 0.013, 914, 12, 16.49763451066542, ATLAS
190.88433, -41.36599, c, 59616.104805, 18.063, 0.069, 216, 15, 18.06386562212267, ATLAS
190.88433, -41.36599, c, 59617.951309, 17.663, 0.047, 312, 15, 17.664613514953892, ATLAS
190.88433, -41.36599, c, 59617.967804, 16.491, 0.014, 920, 13, 16.49053043163611, ATLAS
190.88433, -41.36599, c, 59617.976788, 18.076, 0.065, 214, 14, 18.07396556662702, ATLAS
190.88433, -41.36599, c, 59617.979536, 18.195, 0.062, 192, 12, 18.191746928241123, ATLAS
190.88433, -41.36599, c, 59619.059653, 16.138, 0.011, 1272, 14, 16.138782221719012, ATLAS
190.88433, -41.36599, c, 59619.063388, 18.196, 0.085, 191, 16, 18.19741658188068, ATLAS
190.88433, -41.36599, c, 59619.083584, 18.308, 0.094, 172, 16, 18.311178882731127, ATLAS
190.88433, -41.36599, c, 59619.089927, 18.322, 0.099, 170, 17, 18.323877696554312, ATLAS
190.88433, -41.36599, c, 59620.05337, 18.234, 0.071, 185, 13, 18.232070678992464, ATLAS
190.88433, -41.36599, c, 59620.05476, 16.029, 0.009, 1407, 13, 16.029264756413134, ATLAS
190.88433, -41.36599, c, 59620.08236, 18.219, 0.079, 187, 15, 18.22039598365875, ATLAS
190.88433, -41.36599, c, 59620.085102, 16.027, 0.009, 1410, 13, 16.02695221836155, ATLAS
190.88433, -41.36599, c, 59622.006338, 16.192, 0.012, 1211, 15, 16.19213964214237, ATLAS
190.88433, -41.36599, c, 59622.007714, 17.446, 0.035, 382, 13, 17.444841592720728, ATLAS
190.88433, -41.36599, c, 59622.010968, 17.942, 0.063, 242, 15, 17.940461585048922, ATLAS
190.88433, -41.36599, c, 59622.026476, 16.203, 0.011, 1199, 14, 16.202952042252875, ATLAS
190.88433, -41.36599, o, 59624.002134, 17.928, 0.112, 245, 27, 17.927084789088667, ATLAS
190.88433, -41.36599, o, 59624.005475, 18.063, 0.115, 216, 25, 18.06386562212267, ATLAS
