oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
306108100009300,284046090,2460594.9629844874,60594.460902799998,20.4794178,0.179627419,0,zg,83.868496800000003,-17.799266599999999,0.862999976,-0.186000004,20241011460903,306,0x8,0x1,20.6499996,26.2306557,0.0355630033,-0.0395667367,1.47282499e-05,30,1.653,1
306108100009300,284142464,2460595.9267870421,60595.424641199999,20.8153305,0.208785295,0,zg,83.868235299999995,-17.7995345,0.361000001,-0.0909999982,20241012424630,306,0x8,0x1,21.1100006,26.2215862,0.0304154046,-0.0729549006,9.59080899e-06,30,1.85599995,1
306208100007093,281046585,2460564.9657721226,60564.465856499999,19.5435753,0.0789444223,0,zr,83.868417699999995,-17.799344999999999,0.950999975,-0.128000006,20240911465856,306,0x8,0x1,20.9500008,26.2388096,0.0227488056,0.108294018,5.19376727e-06,30,2.4519999,1
306208100007093,281247745,2460566.9775189739,60566.477453699998,19.5929527,0.0818377808,0,zr,83.868445100000002,-17.799307800000001,0.552999973,-0.0489999987,20240913477442,306,0x8,0x1,20.6200008,25.9204464,0.026222907,0.109466992,6.90527713e-06,30,2.15100002,1
306208100007093,283750061,2460592.0024947925,60591.5006134,19.4536209,0.0739196166,32768,zr,83.868401599999999,-17.799310500000001,0.479000002,-0.0610000007,20241008500567,306,0x8,0x1,20.3299999,25.6477604,0.0490517952,0.0973500684,2.43350878e-05,30,1.57099998,1
306208100007093,284053679,2460595.038880758,60594.536794,19.2825565,0.0652109087,0,zr,83.868521599999994,-17.7992755,0.338,-0.0460000001,20241011536794,306,0x8,0x1,19.7900009,26.2821674,0.034023609,0.117438436,1.14752766e-05,30,1.59099996,1
306208100007093,284148228,2460595.9844297757,60595.482280099997,19.5458431,0.0790752396,0,zr,83.868370299999995,-17.799296699999999,0.708999991,-0.0149999997,20241012482269,306,0x8,0x1,21.0200005,26.2973156,0.0212480687,0.10642755,4.50524249e-06,30,1.58200002,1
306208100007093,284338140,2460597.8836748488,60597.381400500002,19.4680786,0.0747060403,0,zr,83.868436399999993,-17.799381400000001,0.731000006,-0.0970000029,20241014381400,306,0x8,0x1,20.3500004,26.2396545,0.0270094033,0.108228363,7.22126606e-06,30,2.33899999,1
306208100007093,284442025,2460598.9225962572,60598.420254600001,19.4239159,0.07232894,0,zr,83.868415999999996,-17.799310200000001,0.555000007,0.0240000002,20241015420255,306,0x8,0x1,20.4099998,26.2857094,0.0276033729,0.106561057,7.59709383e-06,30,1.82500005,1
306208100007093,284644462,2460600.9471003534,60600.444629600002,19.6367722,0.0844869763,32768,zr,83.868298199999998,-17.7994029,0.455000013,-0.136999995,20241017444618,306,0x8,0x1,19.5,26.283102,0.0395749807,0.103588507,1.62174947e-05,30,1.65199995,1
306208100007093,285441863,2460608.9215848078,60608.418634299996,19.4317856,0.0727470443,0,zr,83.868380500000001,-17.799304800000002,1.58599997,-0.239999995,20241025418623,306,0x8,0x1,21.1599998,26.2864876,0.0233422685,0.109259613,5.36858397e-06,30,1.66999996,1
306208100007093,285636461,2460610.8676780029,60610.3646181,19.4641991,0.0744942501,0,zr,83.868362599999998,-17.799296500000001,1.48800004,-0.244000003,20241027364468,306,0x8,0x1,20.8400002,26.2103882,0.0214540344,0.103599042,4.64717641e-06,30,2.05299997,1
