objname,hostMass,hostMassErr
2006bd,12.327227584343689,0.0010375416044816365
2009F,10.507359299115938,0.000511704806211565
2008bt,10.724456328263154,0.0005206097319448586
2007N,9.587336481996891,0.0008157243912581323
2007ba,11.141102329068884,0.0008626674562506656
2005ke,9.964494815008727,0.0001733967672340931
2008bd,11.066906876654066,0.0008724495479113708
2007al,9.351354001759011,0.0018110245506318002
2006gt,10.111136946318842,0.0037506224022017622
2021pom,10.663880527855868,0.000928960190165358
2024bjb,10.881913964858091,0.000479011282422774
2024fid,10.486180726114952,0.0015869039746378127
2009al,10.676596531095123,0.0005467162453691708
2022skw,9.753736398646302,0.06527938593441808
2022fjx,7.902232705509368,0.09912341714318443
2018lph,10.34149581173226,0.004396506937327917
2023bhm,10.944880130229151,0.0007042302707270253
2023fwb,8.083420755485886,0.029802813525155545
2022yv,10.917175755717277,0.0010493485218829883
2021afur,10.30385583831088,0.0010795880607671832
2018baz,8.666571789473174,0.1010321439244665
2005be,10.545044668481573,0.0010384127802137444
2019noh,10.77252153435704,0.0007017531518671983
2020nta,10.968085313226508,0.0006007041323623824
2019cp,10.54711612988143,0.0023269572276193662
2022kbc,10.001102966465442,0.006605906576879489
2020acbx,10.202182551202336,0.003249982662315169
2021wzb,11.289712997692881,0.0007520392347699466
2022zvu,10.542607440652626,0.0012099832400037588
2023abdv,9.106052225138164,0.04069200151682838
2021zqs,11.368436726427328,0.0012292703565977665
2022omn,8.002245848661948,0.06677605996871594
2020aclx,10.830670491282186,0.00202550586383922
2022xhh,10.79645631191364,0.0017011828138871884
2023sps,10.404162102271735,0.0019997084090541987
2022rjs,10.48999877821179,0.0018017453246977574
2023dk,10.658403563986226,0.0008657073789887531
2021twa,9.602104848459891,0.0012216131463648687
2019bwi,8.839761027821579,0.012505917069982822
2021agej,10.009293562787725,0.0023065127158425625
2021abzd,10.78600418510209,0.0005559682094218451
2021qqr,10.790195811074476,0.0016918990432472334
2022abom,10.316452277637097,0.0025523463538686332
2023fot,10.60069767104924,0.0010828350223605655
2020abmg,11.273524100202275,0.0013318939814542631
2021fnr,10.287436116011223,0.0011406832616291658
2021xfm,10.643884474652957,0.0019805168293122876
