ra, dec, objname, z, discoverydate
129.54410056904976, 25.1015512071405, 2023cvq, 0.0286, 60013.0
259.0309957767601, 40.78653616073643, 2020mfd, 0.048, 59011.0
186.07860812799996, 10.446222309333331, 2024fid, 0.06, 60398.0
224.8782900000003, 28.183017142857167, 2018ciw, 0.056, 58276.0
70.72892278173794, 0.6184249592668026, 2023bhm, 0.015419, 59977.0
6.615451630801495, 38.12323958954662, 2019moq, 0.0596, 58688.0
35.424411807065226, -25.927152895531414, 2019op, 0.04, 58493.0
332.9550000000001, 38.700416862745115, 2018gro, 0.0217, 58381.0
214.26159164612946, 10.82196199633322, 2023omo, 0.025, 60160.0
145.7009452853535, -3.607072175084175, 2022ihz, 0.006, 59694.0
163.93943331216897, 24.027655583774298, 2021cad, 0.041546, 59251.0
163.70850834642195, -7.381002755962771, 2019cp, 0.05, 58487.0
241.8472750596027, 13.89262257100807, 2020nta, 0.033953, 59029.0
145.3088623214286, 26.088574642857136, 2020acoo, 0.044125, 59194.0
176.11872, 10.783829999999998, 2020ais, 0.02, 58867.0
139.17512524999998, 18.96503052777782, 2019ecx, 0.029, 58599.0
244.1254436226075, 21.25148269817277, 2022rjs, 0.037, 59808.0
257.3738167, -22.447686150000003, 2021qqr, 0.030955, 59384.0
32.76211249226006, 36.481725015479874, 2021twa, 0.012129, 59415.0
96.72040000000001, -24.614724923371647, 2023yrs, 0.023312, 60281.0
268.3069708300265, 42.78852498015874, 2022rey, 0.04, 59802.0
15.95129165762511, 10.59236094233473, 2018jag, 0.04, 58447.0
131.58829163223172, -12.65597258953166, 2020acbx, 0.051, 59188.0
55.28806987193749, -2.84855516118365, 2022abom, 0.036, 59907.0
195.060516488961, 27.956851988870966, 2019be, 0.02, 58485.0
296.98993261904724, 3.945110873015872, 2019exc, 0.06, 58612.0
297.40179587254903, 42.23985275163399, 2021uef, 0.0304, 59422.0
39.594921914893646, -11.739152127659567, 2018hkw, 0.027, 58407.0
1.1623624739583331, -8.099930549768521, 2022xnq, 0.0286, 59866.0
246.30195878077, 40.84015867651314, 2018eyi, 0.03038, 58338.0
28.936116381357838, -25.24875903125883, 2022skw, 0.07, 59813.0
123.85227081039723, -6.95770567787972, 2020abmg, 0.04, 59186.0
60.66323758937184, 25.233483784940436, 2023vjh, 0.019, 60234.0
72.76725099496328, -5.9569042092469795, 2021wzb, 0.0478, 59452.0
215.1955776020314, -19.7861385531405, 2021jvp, 0.044, 59317.0
317.81558329196224, 37.88565, 2022vxf, 0.028, 59846.0
138.7534865020058, 22.589552112748233, 2022aaok, 0.027214, 59900.0
22.49195833963057, 19.43908889308704, 2021agej, 0.04, 59557.0
201.24156000000002, -24.18077, 2021jbp, 0.042, 59315.0
90.91666962962962, -26.663247061728395, 2021aare, 0.0404, 59493.0
250.83637083211238, 61.59486667154951, 2021bls, 0.019, 59246.0
29.135698771206332, 3.8603541297806023, 2021uve, 0.055, 59427.0
19.51905804911563, 14.553678286245928, 2021bmu, 0.053, 59245.0
228.61520416157083, 50.317027780495536, 2022bsi, 0.0369, 59619.0
210.56308, 9.78315, 2019ahh, 0.0225, 58513.0
160.87567918376067, 19.083002720797722, 2022fjx, 0.046, 59664.0
186.6345305428797, 31.428387910575893, 2021gel, 0.06, 59291.0
nan, nan, 2021bls, 0.019, 59246.0
332.68679, -20.78811, 2008go, 0.0623, 54761.0
18.488792000000007, 0.3716669999999999, 2006hx, 0.0455, 54006.0
192.42095800000007, -11.096471999999995, 2005bo, 0.0139, 53477.0
41.293333000000004, -4.713721999999999, 2009I, 0.0262, 54844.0
171.25958299999994, -9.798277999999996, 2007bm, 0.0062, 54210.0
136.89191699999998, 3.392249999999999, 2008hv, 0.0126, 54802.0
80.458125, 6.676028, 2004gc, 0.0321, 53327.0
20.228417000000007, 4.805306, 2008gl, 0.034, 54759.0
193.14141700000005, -9.775222, 2006D, 0.0085, 53746.0
104.39358299999995, -45.81230599999998, 2008O, 0.0389, 54487.0
126.77649999999997, 21.646, 2005mc, 0.0252, 53727.0
6.319417, 12.886806000000002, 2007A, 0.0177, 54102.0
354.7017079999999, -6.522582999999999, 2007le, 0.0067, 54386.0
9.749042000000001, -9.015721999999998, 2006ej, 0.0205, 53970.0
122.31150000000001, -18.653639, 2008hu, 0.0497, 54801.0
129.596583, 17.627722000000002, 2004gs, 0.0267, 53351.0
220.59937499999998, -17.246778000000006, 2009Y, 0.0094, 54863.0
215.58762500000006, -0.39377800000000013, 2007af, 0.0055, 54160.0
39.01545800000001, -17.263889000000002, 2005lu, 0.032, 53715.0
24.34875, -0.3119999999999999, 2007ol, 0.0559, 54402.0
294.1868329999999, -37.551249999999996, 2008fl, 0.0199, 54716.0
340.42520800000005, -0.13691700000000004, 2006py, 0.0579, 54054.0
308.22579200000007, 9.928528000000002, 2004eo, 0.0157, 53265.0
55.460333, 8.156943999999996, 2006kf, 0.0213, 54029.0
132.64645799999994, -61.27794400000002, 2008ia, 0.0219, 54807.0
54.71208300000001, -35.574999999999996, 2007on, 0.0065, 54409.0
224.18187500000002, 9.328472000000001, 2005ag, 0.0797, 53411.0
141.900042, -80.177556, 2007as, 0.0176, 54172.0
26.793083000000006, -0.147, 2006fw, 0.0835, 53989.0
327.28254200000003, 0.44422200000000006, 2004ey, 0.0158, 53292.0
198.75729200000006, -15.951889, 2008cd, 0.0074, 54585.0
44.972374999999985, 1.1607220000000007, 2007jd, 0.0726, 54348.0
344.92754199999996, 0.013694, 2005ku, 0.0454, 53684.0
338.53058299999987, 5.568416999999997, 2005kc, 0.0151, 53683.0
144.63012499999994, -63.973778, 2008bc, 0.0151, 54538.0
