# Created by M.D. Woods -- 2025-05-27 11:29:13.052195 -- NUM TARGETS: 292
# Avg. 'av_16': 0.4390
# Avg. 'av_50': 0.8816
# Avg. 'av_84': 1.5452
objname, av_16, av_50, av_84
2023sps, 0.44075626433823917, 0.9380896298632793, 1.7461784293362477
2022omn, 0.46357704698347457, 2.042155512527655, 3.8583497104821167
2024jih, 0.23433307606497417, 0.48451202213377925, 0.8264050337968107
2022ubt, 0.441806720558604, 0.8221683159205029, 1.4262138297015403
2023vjh, 0.13168074441806843, 0.4443859125059137, 0.9242183944419756
2020dq, 0.04105047418061971, 0.21156268800912403, 0.9014931565221835
2019be, 0.21309023908086228, 0.536678143162784, 0.9830362541123318
2006bd, 1.531512864792015, 2.1915862165242053, 3.2648077543388827
2020yo, 0.3414347876337315, 0.75147838213235, 1.3270848957940617
2024zwb, 0.7498898435022948, 1.2649542197233221, 1.9500849569959016
2018gro, 0.2012790318448789, 0.4491968081322949, 0.8691748905398499
2023abdv, 3.3572428202724005, 5.630824273241564, 8.307899505660878
2024lhg, 0.5160392797808367, 0.9877533191256723, 1.647258933903902
2021pom, 0.2928847961123974, 0.8188162341178097, 1.4854111682170519
2021agej, 0.7342889156341145, 1.3029155550830485, 2.0207119856536955
2021wzb, 0.2080783581242855, 0.5773779738545812, 1.4759467750842368
2020abmg, 0.1376850793543543, 0.33129383378989186, 0.6831544778817072
2019luv, 0.2580435605628448, 0.6418285429751369, 1.3070645286140723
2018eyi, 0.1905629744868526, 0.39847495262892874, 0.7168943370995559
2018jag, 0.18450250962977163, 0.3724384343822414, 0.6440619034688395
2021mab, 0.08988755193162987, 0.22831882889914468, 0.4568533367274378
2022vxf, 0.15175183877327947, 0.3414600903493431, 0.6767793612536241
2018lph, 0.4109109160078705, 0.8433118601544393, 1.4661866303852085
2019ecx, 0.2139790000891784, 0.45156687546640456, 1.1128203454093395
2008bt, 0.43006722044926765, 0.7536929243214038, 1.2422406523192557
2022abom, 0.2748979021186715, 0.5994013106816953, 1.1277622285871531
2024nev, 0.3752045089100417, 0.6950155865540091, 1.166633504843453
2021fnr, 0.052126025349289624, 0.1536374114400508, 0.3707023328104787
2022skw, 1.7173161846327714, 2.916632098140225, 4.373449344284883
2019cp, 0.3802790484333981, 0.8833344172396881, 1.4916077818604503
2019moq, 0.7662259180559466, 1.3098366793083542, 2.101462778634346
