# Combination of '2021fck' data from 'ATLAS', 'ZTF' (sourced from HSF)
filter, zp, z, ra, dec, mjd, mag, dmag, flux, dflux, source
o, 23.9, 0.056, 130.344511289, 2.88982340711, 59292.339099, 18.186106727480563, 0.06750691428559585, 193.0, 12.0, ATLAS
o, 23.9, 0.056, 130.344511289, 2.88982340711, 59292.349424, 18.226217639455207, 0.05837291423440861, 186.0, 10.0, ATLAS
o, 23.9, 0.056, 130.344511289, 2.88982340711, 59300.330857, 18.382935309920374, 0.18882368778434783, 161.0, 28.0, ATLAS
o, 23.9, 0.056, 130.344511289, 2.88982340711, 59300.334085, 18.261818737241732, 0.2533384477773334, 180.0, 42.0, ATLAS
o, 23.9, 0.056, 130.344511289, 2.88982340711, 59300.339617, 18.169359821608808, 0.1661841129734694, 196.0, 30.0, ATLAS
o, 23.9, 0.056, 130.344511289, 2.88982340711, 59300.353455, 18.574165578762482, 0.28148716419703707, 135.0, 35.0, ATLAS
o, 23.9, 0.056, 130.344511289, 2.88982340711, 59304.418738, 18.459771852360795, 0.1592413100314667, 150.0, 22.0, ATLAS
o, 23.9, 0.056, 130.344511289, 2.88982340711, 59304.430095, 18.542462999364762, 0.15622103665611511, 139.0, 20.0, ATLAS
o, 23.9, 0.056, 130.344511289, 2.88982340711, 59304.443892, 18.816440611282623, 0.2412747121688889, 108.0, 24.0, ATLAS
o, 23.9, 0.056, 130.344511289, 2.88982340711, 59304.457589, 18.796518287104437, 0.3454615196963637, 110.0, 35.0, ATLAS
o, 23.9, 0.056, 130.344511289, 2.88982340711, 59306.341221, 18.738855026932704, 0.12167733329206898, 116.0, 13.0, ATLAS
o, 23.9, 0.056, 130.344511289, 2.88982340711, 59306.346719, 18.496579994412564, 0.10482970252855173, 145.0, 14.0, ATLAS
o, 23.9, 0.056, 130.344511289, 2.88982340711, 59306.350863, 18.606821760860587, 0.09945675158106872, 131.0, 12.0, ATLAS
o, 23.9, 0.056, 130.344511289, 2.88982340711, 59306.36103, 18.640490697610105, 0.10258924769385827, 127.0, 12.0, ATLAS
o, 23.9, 0.056, 130.344511289, 2.88982340711, 59322.276767, 18.92193481076876, 0.15510517210857144, 98.0, 14.0, ATLAS
o, 23.9, 0.056, 130.344511289, 2.88982340711, 59322.279974, 18.944321917401076, 0.15833652986083335, 96.0, 14.0, ATLAS
o, 23.9, 0.056, 130.344511289, 2.88982340711, 59322.286391, 18.889196565543394, 0.13974822437504952, 101.0, 13.0, ATLAS
o, 23.9, 0.056, 130.344511289, 2.88982340711, 59322.296484, 18.558198582108982, 0.09510098143883212, 137.0, 12.0, ATLAS
o, 23.9, 0.056, 130.344511289, 2.88982340711, 59324.286106, 18.738855026932704, 0.11231753842344828, 116.0, 12.0, ATLAS
o, 23.9, 0.056, 130.344511289, 2.88982340711, 59324.290259, 19.051201868453454, 0.18719589737241382, 87.0, 15.0, ATLAS
o, 23.9, 0.056, 130.344511289, 2.88982340711, 59324.296245, 19.089301784845293, 0.21973232715380955, 84.0, 17.0, ATLAS
o, 23.9, 0.056, 130.344511289, 2.88982340711, 59324.306378, 19.183773187068795, 0.2115070528753247, 77.0, 15.0, ATLAS
o, 23.9, 0.056, 130.344511289, 2.88982340711, 59326.267218, 18.955690986777878, 0.3657216689717895, 95.0, 32.0, ATLAS
o, 23.9, 0.056, 130.344511289, 2.88982340711, 59326.270436, 19.128787452803373, 0.33510376690123456, 81.0, 25.0, ATLAS
o, 23.9, 0.056, 130.344511289, 2.88982340711, 59326.278255, 19.51031286081877, 0.47620008980701756, 57.0, 25.0, ATLAS
o, 23.9, 0.056, 130.344511289, 2.88982340711, 59326.296255, 19.491430016092657, 0.44927015369379314, 58.0, 24.0, ATLAS
o, 23.9, 0.056, 130.344511289, 2.88982340711, 59328.306807, 20.00924374808178, 0.6031867804222223, 36.0, 20.0, ATLAS
o, 23.9, 0.056, 130.344511289, 2.88982340711, 59328.310032, 18.786692553033355, 0.1956281450018018, 111.0, 20.0, ATLAS
o, 23.9, 0.056, 130.344511289, 2.88982340711, 59328.316959, 19.401648626366043, 0.4308477003015873, 63.0, 25.0, ATLAS
o, 23.9, 0.056, 130.344511289, 2.88982340711, 59328.328488, 19.183773187068795, 0.3243108144088312, 77.0, 23.0, ATLAS
o, 23.9, 0.056, 130.344511289, 2.88982340711, 59332.267536, 19.45462187404089, 0.2533384477773334, 60.0, 14.0, ATLAS
o, 23.9, 0.056, 130.344511289, 2.88982340711, 59332.270758, 19.97949568983251, 0.44016332625405413, 37.0, 15.0, ATLAS
o, 23.9, 0.056, 130.344511289, 2.88982340711, 59332.276298, 19.026524983387716, 0.2195870975919101, 89.0, 18.0, ATLAS
o, 23.9, 0.056, 130.344511289, 2.88982340711, 59332.286902, 19.1697634932738, 0.29231359358923076, 78.0, 21.0, ATLAS
o, 23.9, 0.056, 130.344511289, 2.88982340711, 59334.262957, 19.43667541247308, 0.23138640429311477, 61.0, 13.0, ATLAS
o, 23.9, 0.056, 130.344511289, 2.88982340711, 59334.266637, 19.816328861051034, 0.3534955085265117, 43.0, 14.0, ATLAS
o, 23.9, 0.056, 130.344511289, 2.88982340711, 59334.273543, 19.950541008457975, 0.3428640646610526, 38.0, 12.0, ATLAS
o, 23.9, 0.056, 130.344511289, 2.88982340711, 59334.284573, 19.38455006504028, 0.23750479479125003, 64.0, 14.0, ATLAS
o, 23.9, 0.056, 130.344511289, 2.88982340711, 59336.290371, 19.351140161145327, 0.1974065826836364, 66.0, 12.0, ATLAS
o, 23.9, 0.056, 130.344511289, 2.88982340711, 59336.29406, 20.24400500525261, 0.4867093331682759, 29.0, 13.0, ATLAS
o, 23.9, 0.056, 130.344511289, 2.88982340711, 59336.299588, 19.69689690656103, 0.27143405119, 48.0, 12.0, ATLAS
o, 23.9, 0.056, 130.344511289, 2.88982340711, 59336.313421, 19.743105420796063, 0.33044145362260874, 46.0, 14.0, ATLAS
ZTF_g, 23.9, 0.056, 130.344511289, 2.88982340711, 59281.32353009982, 19.555798, 0.17525149988630426, 54.661406199173214, 8.823039501033461, ZTF
ZTF_g, 23.9, 0.056, 130.344511289, 2.88982340711, 59293.15084489994, 17.871496, 0.05405100706962275, 257.87046298473143, 12.837518134449255, ZTF
ZTF_g, 23.9, 0.056, 130.344511289, 2.88982340711, 59296.28722220007, 17.89098, 0.09614321960500356, 253.28414219234818, 22.42860908432794, ZTF
ZTF_g, 23.9, 0.056, 130.344511289, 2.88982340711, 59301.24850689992, 18.17624, 0.15706884146119757, 194.76189880936056, 28.175376000776676, ZTF
